hour,Z00,Z01,Z02,Z03,Z04
123,512.94,481.54,759.08,639.94,514.75
124,513.59,485.87,775.7,637.93,516.47
125,544.68,512.49,804.87,683.57,552.39
126,584.58,577.19,882.86,754.28,610.6
127,647.14,635.92,953.05,819.89,665.36
128,661.17,663.09,1001.18,863.6,690.14
129,683.77,673.96,1029.49,879.16,710.71
130,685.31,696.51,1037.03,875.48,714.68
131,701.5,699.53,1051.66,881.97,734.11
132,704.79,683.27,1067.54,885.89,741.99
133,686.35,687.73,1054.49,883.17,735.99
134,699.91,683.95,1063.25,894.41,734.48
135,721.42,672.92,1086.29,914.21,757.14
136,742.78,681.72,1103.17,949.12,775.56
137,776.03,703.39,1137.83,991.43,820.51
138,803.44,710.64,1156.88,1022.62,843.45
139,788.18,701.03,1152.18,1007.44,833.03
140,765.92,668.79,1101.68,947.72,782.41
141,713.35,643.19,1052.9,892.76,719.62
142,658.6,594.91,965.83,827.94,671.15
143,598.17,542.8,891.15,758.06,629.55
144,560.66,512.37,839.96,719.6,590.48
145,525.99,490.49,788.8,682.82,563.47
146,522.26,485.68,765.39,661.32,547.95
147,515.45,488.49,768.28,639.65,544.14
148,529.69,483.87,759.42,644.52,559.71
149,558.4,501.3,811.83,679.38,581.58
150,609.75,553.36,888.92,751.15,630.02
151,663.57,620.65,968.95,816.57,681.59
152,687.61,643.87,1001.67,846.03,716.27
153,702.85,667.19,1026.86,858.09,739.71
154,707.77,670.08,1039.23,869.63,749.07
155,713.43,673.08,1048.98,872.32,766.34
156,702.65,672.28,1044.8,867.45,762.03
157,690.8,678.74,996.12,851.37,736.28
158,707.73,675.52,998.98,848.98,736.05
159,710.07,683.64,1009.98,852.36,740.59
160,722.62,707.1,1046.66,873.52,762.78
161,761.86,749.17,1112.53,933.91,816.61
162,805.12,776.8,1151.81,965.47,841.18
163,785.05,778.64,1150.03,933.73,826.29
164,750.74,759.68,1106.69,891.05,789.2
165,699.07,717.12,1046.74,834.93,748.95
166,632.15,657.55,980.93,780.12,695.48
167,586.58,600.47,910.1,730.71,628.23
168,596.25,609.71,925.14,733.02,655.01
169,569.33,577.49,870.79,697.93,619.09
170,550.95,554.76,863.46,677.42,602.91
171,548.51,541.23,858.7,667.57,590.06
172,553.49,544.95,882.45,680.67,589.44
173,583.2,560.37,916.14,723.17,627.86
174,634.3,639.73,994.19,795.53,683.79
175,683.51,704.98,1064.33,866.36,749.2
176,727.19,729.05,1113.53,897.81,787.89
177,739.11,736.89,1129.48,934.72,806.02
178,751.43,755.27,1160.75,937.97,828.27
179,760.47,749.53,1162.08,944.87,830.31
180,758.22,740.57,1167.37,958.25,827.43
181,748.17,743.45,1165.19,953.61,815.26
182,756.37,742.98,1162.67,953.74,815.24
183,762.64,757.46,1179.62,965.16,806.64
184,785.07,780.21,1215.57,1002.58,818.39
185,823.98,816.51,1268.96,1053.83,856.82
186,867.96,839.04,1320.34,1084.46,884.59
187,868.91,836.8,1292.44,1102.64,863.7
188,835.78,802.64,1249.45,1041.69,824.11
189,777.72,753.47,1174.23,976.05,779.26
190,705.87,691.19,1095.33,896.85,722.93
191,655.2,642.01,981.41,814.47,657.82
192,625.66,605.01,925.33,768.57,621.82
193,594.38,579.13,875.16,723.12,598.12
194,583.22,555.97,850.14,712.98,578.77
195,581.04,537.71,822.73,706.25,580.94
196,594.42,550.08,826.01,705.63,580.74
197,632.01,574.61,866.93,738.09,612.2
198,690.6,626.02,959.33,812.03,682.24
199,766.08,686.69,1039.48,874.62,748.21
200,785.06,727.44,1065.66,914.16,789.73
201,808.09,739.5,1085.31,938.69,812.54
202,819.54,744.2,1089.57,931.07,810.86
203,834.52,755.63,1095.59,936.97,830.8
204,850.85,760.59,1098.65,928.94,819.37
205,854.29,753.63,1097.6,914.26,809.57
206,840.31,737.21,1086.84,897.99,815.08
207,829.84,751.87,1105.66,912.75,826.51
208,860.33,766.56,1153.7,929.44,853.91
209,888.1,823.24,1205.69,974.93,895.05
210,918.32,845.2,1259.88,1046.86,926.03
211,918.05,840.01,1240.61,1053.04,894.55
212,859.85,802.77,1179.44,1008.19,860.2
213,784.44,753.32,1102.64,950.87,803.25
214,726.16,715.24,1003.84,889.99,726.39
215,665.59,651.97,913.51,804.59,665.12
216,625.77,620.75,852.26,751.14,624.31
217,595.77,589.35,809.52,712.74,582.59
218,574.68,570.85,790.62,693.46,564.54
219,557.14,567.41,791.35,687.11,553.12
220,564.42,576.1,800.03,690.62,559.14
221,588.02,603.93,839.62,718.83,598.73
222,634.99,655.7,934.97,790.68,659.19
223,699.5,717.99,1030.25,862.85,727.48
224,730.13,776.45,1064.55,919.18,763.4
225,750.58,788.31,1076.15,932.28,789.21
226,750.27,799.37,1081.29,924.97,812.57
227,753.37,799.37,1095.46,945.32,819.03
228,746.13,828.58,1100.0,945.42,816.76
229,733.21,804.31,1066.39,918.97,805.51
230,738.04,796.37,1068.14,913.69,794.5
231,740.45,784.78,1075.47,902.96,804.28
232,768.41,812.42,1120.64,925.82,822.87
233,810.71,850.15,1166.77,988.06,860.05
234,864.02,883.04,1188.82,1026.47,903.97
235,843.2,873.4,1192.21,1031.82,900.78
236,817.56,848.62,1162.08,999.06,871.59
237,766.05,804.7,1112.74,931.65,827.89
238,707.65,749.35,1021.81,852.31,765.82
239,637.49,663.29,936.93,767.9,694.63
240,598.97,617.19,880.55,721.71,647.49
241,576.64,586.86,825.1,684.05,612.34
242,562.43,576.75,813.42,668.21,590.19
243,556.7,550.12,826.46,662.94,574.89
244,563.13,567.76,845.0,681.45,578.69
245,602.45,599.24,880.37,729.85,607.26
246,663.26,670.48,975.35,785.42,671.82
247,704.81,720.07,1064.28,852.93,741.01
248,729.56,742.31,1119.13,876.51,754.63
249,727.65,747.16,1129.89,882.93,786.09
250,706.75,748.66,1125.27,883.46,779.78
251,712.87,748.95,1123.34,906.14,793.31
252,730.06,733.55,1129.38,903.67,790.05
253,726.98,739.28,1091.23,887.62,778.31
254,719.12,744.65,1063.65,879.33,778.38
255,720.78,744.66,1068.41,892.62,786.19
256,756.85,747.59,1104.36,928.02,818.69
257,797.35,795.42,1165.23,969.54,859.45
258,829.69,801.75,1202.94,983.23,889.12
259,825.1,785.8,1181.46,984.43,869.58
260,792.49,741.84,1143.31,972.24,831.89
261,752.26,690.69,1072.0,914.5,745.15
262,700.55,643.47,970.5,847.47,680.7
263,644.7,597.9,891.05,770.52,637.07
264,601.0,567.28,833.14,725.23,592.04
265,576.8,533.0,781.57,689.18,557.76
266,558.36,529.54,764.78,682.61,549.64
267,559.91,531.42,764.74,686.06,545.65
268,559.34,544.32,760.04,696.65,566.5
269,589.12,589.86,799.15,724.01,606.75
270,649.44,640.11,884.97,782.1,648.92
271,698.26,691.78,988.57,845.92,704.86
272,745.39,714.0,1019.2,860.93,738.16
273,775.3,723.31,1045.48,866.13,768.69
274,778.99,736.99,1054.08,880.69,780.55
275,794.67,746.49,1088.07,899.58,783.85
276,798.61,743.17,1103.39,915.07,805.33
277,766.16,746.89,1105.13,913.45,801.99
278,769.88,746.1,1098.41,908.22,810.33
279,777.93,748.24,1132.74,924.08,837.32
280,802.36,764.19,1168.04,928.18,859.2
281,829.83,787.69,1208.64,971.9,893.3
282,858.26,814.65,1227.59,993.32,924.36
283,850.69,800.13,1219.53,984.48,893.76
284,827.43,765.76,1159.79,934.66,869.99
285,778.87,721.76,1096.09,870.51,838.82
286,718.97,670.54,1019.76,803.28,760.47
287,671.28,611.36,943.3,732.44,694.81
288,584.49,549.2,842.51,654.08,605.15
289,553.49,515.19,793.45,624.81,577.4
290,527.68,506.75,767.88,631.02,562.0
291,531.66,500.41,745.17,618.38,550.86
292,545.32,508.99,745.88,633.69,537.53
293,580.26,531.44,779.24,677.7,573.82
294,642.94,579.32,841.87,735.41,636.61
295,701.59,637.55,938.9,824.13,698.88
296,731.94,650.49,967.67,858.48,741.44
297,743.56,665.64,993.2,875.92,764.51
298,748.38,660.89,998.26,883.78,781.26
299,755.58,653.36,996.55,887.75,793.67
300,768.54,656.17,1013.21,884.43,792.36
301,764.89,647.16,1001.08,851.82,776.31
302,763.0,665.49,1006.14,857.17,776.2
303,763.94,658.4,1024.13,880.78,776.28
304,779.15,680.66,1049.27,912.56,798.02
305,830.3,715.33,1111.69,936.51,841.3
306,863.53,744.3,1141.55,961.94,863.72
307,855.12,735.15,1137.7,948.28,842.4
308,813.16,690.49,1081.79,911.16,807.89
309,750.4,654.85,1020.61,850.67,749.04
310,690.97,611.37,936.49,777.01,688.75
311,638.82,563.78,860.11,706.51,631.75
312,598.64,534.09,809.11,651.58,594.44
313,567.37,516.36,778.51,626.37,562.36
314,550.94,509.47,751.44,608.57,540.08
315,544.07,506.98,746.46,606.87,537.02
316,540.56,509.67,750.22,608.21,531.77
317,567.59,543.06,787.55,641.1,556.77
318,618.18,590.8,866.74,688.0,611.19
319,682.32,647.5,936.21,762.52,664.78
320,704.4,666.2,983.37,794.91,687.85
321,724.14,678.42,983.65,817.85,696.62
322,745.04,691.95,1003.01,837.93,715.08
323,749.1,696.0,1022.02,846.18,743.55
324,743.5,704.08,1055.97,851.89,735.97
325,738.11,693.03,1038.39,828.36,734.7
326,738.06,706.82,1027.92,816.7,730.91
327,736.32,711.56,1042.63,812.39,756.05
328,762.23,753.92,1073.35,841.26,782.89
329,817.45,793.77,1125.72,889.98,812.7
330,843.27,819.56,1156.5,907.46,843.2
331,833.37,800.02,1155.93,893.5,830.14
332,786.79,760.14,1119.78,861.11,805.26
333,739.58,727.16,1056.54,808.6,762.67
334,671.87,659.43,973.93,747.99,707.09
335,607.4,591.87,890.95,688.42,642.6
336,626.09,601.56,915.18,694.52,647.73
337,589.28,580.28,890.59,669.8,623.68
338,582.31,562.05,877.9,651.76,617.13
339,585.36,548.37,864.6,647.35,608.42
340,594.58,553.84,881.28,657.51,614.32
341,629.47,581.2,922.6,714.14,649.97
342,707.55,647.7,1028.69,791.23,716.93
343,768.5,721.58,1106.73,876.8,768.11
344,793.51,748.86,1131.33,911.99,808.66
345,795.43,755.12,1174.55,915.67,819.63
346,803.12,750.81,1181.01,922.09,839.04
347,824.62,742.01,1215.02,930.44,843.76
348,832.65,741.76,1212.39,916.6,843.26
349,814.1,721.06,1178.48,911.23,841.56
350,804.91,728.51,1182.19,919.71,824.69
351,807.28,734.18,1189.14,910.24,847.67
352,833.13,749.59,1229.78,971.19,858.04
353,869.45,799.77,1278.2,1020.08,903.1
354,902.43,811.18,1319.91,1045.1,951.94
355,897.35,814.47,1302.27,1052.41,943.61
356,854.73,780.77,1227.13,998.41,917.47
357,799.59,733.95,1160.36,949.74,862.36
358,739.0,677.22,1070.36,862.82,779.45
359,675.75,611.91,992.32,786.13,717.31
360,640.46,581.78,931.25,754.36,678.47
361,622.27,561.94,893.09,716.61,650.58
362,609.42,534.14,877.69,693.67,631.2
363,600.59,528.42,857.57,697.33,608.85
364,595.59,535.27,864.69,709.57,615.54
365,629.26,562.0,921.96,744.51,653.61
366,675.62,622.1,989.52,814.3,706.28
367,724.65,677.61,1081.09,896.75,791.36
368,763.5,703.01,1117.44,919.53,817.0
369,785.76,728.52,1130.47,960.9,843.52
370,792.02,727.24,1152.62,977.44,861.99
371,783.33,731.29,1175.59,1002.44,867.05
372,780.63,728.28,1183.62,1003.04,858.2
373,767.67,715.03,1181.67,989.02,834.96
374,775.0,711.58,1159.7,982.25,820.72
375,805.13,732.63,1173.33,1008.95,832.42
376,830.28,746.72,1187.48,1011.14,855.27
377,860.68,807.19,1253.85,1052.31,909.55
378,878.96,819.88,1307.19,1088.72,922.95
379,871.49,789.12,1298.02,1094.89,895.3
380,832.48,749.82,1250.8,1028.3,860.93
381,769.22,692.53,1141.59,960.49,799.11
382,711.6,651.18,1059.11,880.58,750.89
383,643.33,601.19,981.06,814.49,678.57
384,616.03,560.07,883.04,753.66,639.51
385,594.37,532.69,843.14,729.92,604.57
386,587.05,518.23,829.02,725.07,591.75
387,575.95,529.91,824.22,708.64,583.38
388,587.32,538.31,828.55,715.53,585.87
389,617.14,568.85,864.77,754.29,614.51
390,675.63,630.07,954.87,825.36,683.32
391,734.15,689.29,1037.09,895.48,763.74
392,752.99,717.93,1055.14,934.78,803.7
393,755.31,724.54,1075.72,964.49,810.15
394,771.8,732.77,1095.98,958.44,833.57
395,778.53,742.03,1118.78,973.84,838.79
396,781.72,730.01,1118.87,962.71,840.96
397,784.68,724.44,1110.63,955.84,831.69
398,768.61,713.81,1100.47,958.05,816.99
399,769.77,706.71,1119.83,957.54,810.25
400,795.3,728.35,1162.71,981.4,820.6
401,838.02,769.43,1213.66,1026.21,846.78
402,865.17,808.07,1265.43,1062.58,896.62
403,870.04,796.58,1250.46,1075.49,895.48
404,835.09,749.13,1180.98,1022.2,858.72
405,770.95,695.18,1117.4,948.92,806.33
406,703.93,640.95,1038.75,874.54,731.0
407,652.38,587.88,939.09,804.58,652.3
408,619.21,559.15,887.42,749.49,610.05
409,575.89,531.93,835.37,708.83,589.82
410,571.79,526.57,818.56,692.38,563.27
411,569.07,516.3,807.91,672.93,556.83
412,586.52,527.32,798.76,675.53,554.19
413,614.48,560.42,841.08,711.29,586.76
414,673.61,620.12,905.52,783.3,653.34
415,725.07,681.5,979.14,854.93,710.69
416,779.45,700.66,1020.37,879.89,753.76
417,792.9,723.3,1033.42,897.97,780.28
418,815.4,726.14,1024.09,909.02,790.76
419,815.97,732.1,1024.06,903.82,796.12
420,816.79,723.52,1031.71,920.6,794.96
421,792.23,720.93,1036.76,913.2,784.11
422,788.63,717.78,1024.7,910.3,785.34
423,805.96,719.54,1042.03,918.18,799.91
424,816.57,747.99,1075.58,934.96,825.14
425,866.2,776.44,1112.16,965.72,855.74
426,900.56,809.19,1142.2,988.17,872.07
427,881.33,805.16,1117.65,972.49,868.03
428,838.11,776.19,1086.57,922.56,831.35
429,780.82,727.82,984.15,877.6,775.18
430,720.31,661.72,908.42,810.96,716.43
431,655.85,608.01,831.94,738.71,662.38
432,612.51,576.56,778.45,702.55,620.51
433,581.33,561.77,739.96,664.97,591.56
434,560.15,559.64,722.04,652.84,577.2
435,545.08,557.35,725.08,645.2,571.39
436,553.64,570.35,744.83,655.3,570.04
437,590.97,581.14,785.19,673.91,600.38
438,639.0,634.81,876.5,749.37,669.4
439,699.22,683.23,942.86,807.27,729.61
440,724.43,717.33,1004.72,849.6,763.09
441,732.03,736.55,1033.73,871.54,777.28
442,750.02,748.53,1036.01,870.02,792.36
443,754.49,760.74,1026.19,884.24,798.61
444,771.2,763.41,1039.89,868.86,790.91
445,757.82,754.34,1026.77,857.85,783.92
446,763.26,748.4,1061.03,857.98,781.07
447,769.99,761.77,1088.54,849.92,786.13
448,786.33,783.12,1103.07,878.31,801.62
449,831.11,829.45,1155.99,932.34,846.24
450,860.75,853.38,1189.77,970.39,849.07
451,861.34,842.38,1189.15,974.98,839.33
452,824.56,797.5,1135.16,930.98,789.24
453,762.8,752.42,1061.32,866.91,761.0
454,704.05,686.65,982.17,819.12,695.32
455,646.43,610.71,921.41,761.37,640.58
456,574.36,530.71,809.24,670.99,564.19
457,540.87,501.29,782.48,623.26,546.83
458,527.6,489.41,758.59,613.85,547.42
459,510.38,481.76,750.41,612.51,542.79
460,522.78,497.06,754.3,636.85,547.07
461,543.99,525.95,793.24,671.15,570.33
462,586.31,586.06,867.35,767.42,624.84
463,641.51,650.45,947.9,842.74,677.8
464,680.13,685.73,965.76,882.13,711.99
465,682.2,706.34,988.24,892.47,734.94
466,681.68,708.17,1012.2,895.6,748.36
467,684.47,717.94,1008.78,906.32,756.98
468,677.39,716.1,1006.42,907.13,752.74
469,677.56,714.82,1003.81,886.34,736.57
470,673.41,708.8,1004.41,894.88,726.88
471,676.73,720.42,1023.68,907.95,729.01
472,705.11,735.72,1057.56,924.07,754.95
473,733.97,776.03,1103.72,960.75,787.49
474,768.02,814.11,1149.58,982.76,817.45
475,754.9,816.9,1169.87,974.53,822.23
476,713.89,775.66,1121.06,916.37,788.06
477,655.67,735.73,1057.96,856.08,745.25
478,623.7,663.34,979.12,804.02,701.63
479,571.37,607.56,894.19,749.75,633.23
480,542.61,562.26,838.19,705.68,604.56
481,518.05,534.45,776.25,672.25,582.32
482,507.77,512.96,768.21,663.09,567.92
483,503.2,505.89,753.3,656.91,560.34
484,524.08,508.19,768.3,664.18,557.83
485,545.57,543.41,797.73,707.83,593.37
486,589.85,613.0,872.19,770.91,655.76
487,637.31,674.39,954.74,851.08,711.65
488,655.0,709.47,997.95,893.43,749.23
489,677.75,725.77,1032.18,921.32,766.68
490,694.3,730.27,1024.01,944.04,786.57
491,694.62,733.71,1023.85,946.94,789.76
492,684.7,722.28,1034.07,941.49,793.27
493,677.93,707.74,1002.32,929.85,802.6
494,693.21,713.81,1015.07,924.49,799.38
495,676.98,716.34,1031.7,937.65,810.05
496,704.82,739.66,1054.86,962.44,844.72
497,730.61,765.2,1094.71,993.21,871.56
498,770.75,813.78,1135.98,999.73,909.73
499,756.42,818.04,1116.71,981.22,905.25
500,724.03,779.77,1075.96,940.29,858.07
501,667.6,744.19,997.67,867.26,783.44
502,610.98,688.19,920.7,798.95,724.95
503,573.05,635.95,848.48,730.87,674.69
504,589.42,641.22,861.98,742.15,677.05
505,559.76,604.8,828.28,717.7,638.37
506,541.27,596.97,806.32,698.11,621.27
507,523.19,591.85,807.22,686.34,615.81
508,530.14,602.99,809.74,695.27,627.59
509,560.69,639.21,860.17,742.73,652.67
510,619.11,701.09,944.41,820.44,713.61
511,677.73,757.8,1002.89,899.73,778.63
512,698.79,789.75,1072.88,913.92,790.18
513,715.75,786.87,1079.2,920.69,809.45
514,725.9,793.27,1092.59,931.87,819.39
515,748.72,809.13,1096.08,927.8,826.08
516,769.23,804.6,1089.73,936.24,810.91
517,762.08,811.41,1068.4,920.97,801.14
518,756.32,805.35,1080.49,918.15,795.88
519,764.88,801.08,1069.41,928.07,773.38
520,782.76,827.52,1088.33,966.88,807.03
521,813.79,862.1,1138.74,1022.75,844.96
522,844.72,896.87,1175.9,1085.45,892.49
523,828.74,880.21,1129.04,1053.43,905.27
524,801.56,845.31,1078.24,993.06,865.69
525,751.67,790.59,1010.95,924.57,807.34
526,697.38,729.52,937.03,866.9,754.29
527,638.73,673.67,843.56,799.34,692.23
528,597.86,627.87,800.92,743.13,647.06
529,563.44,594.74,752.68,698.93,631.6
530,549.12,585.62,736.94,697.95,608.78
531,539.86,584.42,730.64,691.85,595.86
532,550.59,595.12,723.61,691.28,593.93
533,581.33,616.6,754.13,717.9,642.5
534,630.28,678.05,823.08,798.18,704.41
535,690.73,734.4,878.16,861.98,765.83
536,709.61,760.51,935.45,895.56,784.73
537,721.05,760.51,947.01,911.29,781.51
538,728.54,748.45,964.82,910.5,809.93
539,718.92,764.8,971.63,925.06,824.48
540,723.86,771.83,958.87,926.47,824.09
541,722.12,750.77,965.11,918.44,822.06
542,724.14,747.62,972.39,922.6,819.94
543,730.55,755.59,970.08,931.98,826.86
544,751.52,772.12,998.57,966.05,846.31
545,780.3,813.51,1059.12,989.59,892.33
546,809.5,838.79,1085.03,1050.16,914.26
547,800.78,817.99,1091.14,1055.17,931.43
548,770.91,779.38,1046.74,1008.87,885.99
549,713.94,734.83,999.72,938.12,826.13
550,664.18,670.87,944.73,866.9,755.72
551,612.46,621.02,854.42,800.55,696.64
552,578.76,593.61,816.12,743.82,655.63
553,549.84,568.95,781.09,701.76,624.95
554,542.07,558.03,752.69,698.13,620.31
555,525.51,549.87,755.33,685.68,618.02
556,538.36,560.61,756.1,694.81,618.09
557,570.93,584.67,799.63,726.47,655.28
558,632.77,625.1,879.36,798.69,716.4
559,696.11,676.91,932.8,864.55,779.0
560,721.29,718.85,975.17,889.73,806.64
561,735.72,742.81,1000.43,912.83,828.72
562,751.47,740.5,1018.39,914.9,826.58
563,764.96,746.08,1018.14,917.88,851.22
564,768.71,740.05,1015.79,924.89,850.48
565,748.47,723.09,1018.24,923.24,849.37
566,755.78,721.37,1030.16,936.96,844.65
567,776.2,736.82,1050.24,949.84,836.28
568,809.79,759.49,1097.71,976.53,838.02
569,850.75,793.43,1137.24,1019.96,881.5
570,865.02,800.92,1173.38,1059.28,914.7
571,868.93,817.83,1162.6,1039.24,894.09
572,830.41,771.94,1119.75,973.69,860.96
573,754.23,724.18,1057.13,924.61,800.44
574,700.72,675.68,987.74,849.46,732.68
575,631.1,620.7,908.32,772.44,678.36
576,586.69,591.65,857.18,743.06,636.97
577,555.59,547.17,805.56,695.56,602.22
578,552.43,528.2,786.19,684.22,587.25
579,544.18,517.92,766.52,667.11,566.72
580,554.99,517.21,768.14,678.19,582.27
581,598.67,535.18,804.64,714.95,610.81
582,672.4,597.79,891.37,790.86,670.75
583,732.85,643.61,991.33,849.34,733.94
584,761.45,682.57,1020.39,880.52,759.67
585,765.2,706.23,1029.33,905.63,773.99
586,767.08,711.62,1063.94,918.34,783.95
587,779.88,707.65,1109.38,921.35,807.69
588,784.68,704.53,1109.33,922.98,810.84
589,778.94,693.67,1110.12,917.52,800.23
590,789.06,690.35,1121.99,894.93,807.06
591,789.47,692.76,1140.68,894.09,817.32
592,812.22,716.22,1163.83,929.98,831.51
593,858.3,749.84,1224.44,979.34,875.33
594,895.37,779.12,1262.45,1017.35,913.35
595,898.87,775.06,1242.18,1013.16,911.31
596,863.13,755.66,1205.23,947.0,871.4
597,804.46,727.34,1123.38,892.13,792.04
598,744.59,671.76,1032.39,819.03,725.2
599,673.2,615.25,938.81,768.84,652.8
600,621.76,579.63,890.83,707.7,601.62
601,596.02,558.47,842.15,675.08,579.88
602,580.54,548.99,818.67,652.75,565.43
603,575.23,542.5,807.59,641.46,570.19
604,571.07,548.78,818.61,643.14,576.7
605,599.13,581.67,861.46,671.24,610.02
606,655.05,647.63,948.74,737.42,670.98
607,708.13,702.27,1034.39,801.88,723.22
608,718.39,734.83,1062.42,824.34,754.59
609,732.19,732.93,1095.9,862.67,756.42
610,750.53,734.39,1100.29,884.64,778.24
611,763.57,746.36,1107.57,903.72,774.6
612,759.61,732.41,1093.24,898.63,780.35
613,754.15,712.87,1075.9,909.88,781.31
614,763.23,716.7,1068.68,932.04,777.93
