name,node,technology,max_mw,min_mw,heat_rate_slope_mmbtu_per_mwh,heat_rate_intercept_mmbtu_per_hr,fuel_cost_per_mmbtu,vom_cost_per_mwh,startup_cost,shutdown_cost,ramp_rate_mw_per_hr,min_up_time_hr,min_down_time_hr,num_units
gas_ct4_Z03_0,Z03,gas_ct,183.6,51.0,11.0,20.0,3.9,5.4,3500.0,400.0,183.6,1,1,1
gas_ct4_Z03_1,Z03,gas_ct,183.6,51.0,11.0,20.0,3.9,5.4,3500.0,400.0,183.6,1,1,1
wind_Z03,Z03,wind,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1,1,1
nuclear_Z04,Z04,nuclear,1000.0,900.0,10.45,30.0,0.72,2.3,120000.0,10000.0,500.0,72,48,1
coal0_Z04_0,Z04,coal,663.0,265.2,9.9,320.0,2.15,4.5,45000.0,5000.0,265.2,24,12,1
coal0_Z04_1,Z04,coal,663.0,265.2,9.9,320.0,2.15,4.5,45000.0,5000.0,265.2,24,12,1
gas_cc1_Z04_0,Z04,gas_cc,490.0,156.8,6.7,95.0,3.78,3.4,12000.0,1500.0,343.0,6,4,1
gas_cc1_Z04_1,Z04,gas_cc,490.0,156.8,6.7,95.0,3.78,3.4,12000.0,1500.0,343.0,6,4,1
gas_cc2_Z04_0,Z04,gas_cc,436.8,145.6,7.0,85.0,3.42,3.6,10000.0,1200.0,312.0,6,4,1
gas_cc2_Z04_1,Z04,gas_cc,436.8,145.6,7.0,85.0,3.42,3.6,10000.0,1200.0,312.0,6,4,1
gas_ct3_Z04_0,Z04,gas_ct,250.0,70.0,11.2,28.0,3.6,5.5,4500.0,500.0,250.0,1,1,1
gas_ct3_Z04_1,Z04,gas_ct,250.0,70.0,11.2,28.0,3.6,5.5,4500.0,500.0,250.0,1,1,1
gas_ct4_Z04_0,Z04,gas_ct,172.8,48.0,11.0,20.0,4.095,5.4,3500.0,400.0,172.8,1,1,1
gas_ct4_Z04_1,Z04,gas_ct,172.8,48.0,11.0,20.0,4.095,5.4,3500.0,400.0,172.8,1,1,1
wind_Z04,Z04,wind,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1,1,1
solar_Z04,Z04,solar,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,1,1,1
