hour,bus001,bus002,bus003,bus004,bus006,bus007,bus011,bus012,bus013,bus014,bus015,bus016,bus017,bus018,bus019,bus020,bus021,bus022,bus023,bus027,bus028,bus029,bus031,bus032,bus033,bus034,bus035,bus036,bus039,bus040,bus041,bus042,bus043,bus044,bus045,bus046,bus047,bus048,bus049,bus050,bus051,bus052,bus053,bus054,bus055,bus056,bus057,bus058,bus059,bus060,bus062,bus066,bus067,bus070,bus074,bus075,bus076,bus077,bus078,bus079,bus080,bus082,bus083,bus084,bus085,bus086,bus088,bus090,bus092,bus093,bus094,bus095,bus096,bus097,bus098,bus100,bus101,bus102,bus103,bus104,bus105,bus106,bus107,bus108,bus109,bus110,bus112,bus114,bus115,bus117,bus118
15,278.6348,109.2615,213.0676,163.918,284.0901,103.8061,382.4409,256.7619,185.7394,76.4779,491.7024,136.5897,58.6493,327.7845,245.8512,98.3508,76.4779,54.6565,38.2389,338.7466,92.8954,131.1344,234.9405,322.3291,78.3657,200.9847,112.4141,105.6108,86.6452,63.4975,118.736,118.736,18.8078,16.7181,55.3786,29.2566,35.5259,20.8976,90.9046,17.763,17.763,18.8078,24.0322,118.0714,65.8274,87.7699,12.5386,12.5386,289.4318,81.5006,80.4558,40.7503,29.2566,110.5979,113.9493,78.7591,71.0518,63.7377,74.1865,40.7503,135.8344,139.6709,51.73,28.4515,62.0759,54.3165,124.1519,201.7468,250.0778,46.1682,115.4205,161.5888,146.1993,23.3135,52.8439,142.352,84.6417,19.2368,88.4891,146.1993,119.2679,165.4361,106.2929,7.6947,30.7788,150.0467,96.1838,21.1622,58.2022,52.9179,51.2897
16,301.9616,118.4087,230.9053,177.6409,307.8737,112.4966,414.4582,278.2576,201.2892,82.8805,532.8669,148.0248,63.5593,355.226,266.4334,106.5845,82.8805,59.2322,41.4402,367.1059,100.6725,142.1127,254.6093,349.3139,84.9264,217.8108,121.8252,114.4524,93.899,68.8134,128.6763,128.6763,19.7841,17.5858,58.2531,30.7752,37.3699,21.9823,95.623,18.685,18.685,19.7841,25.2797,124.2,69.2443,92.3257,13.1894,13.1894,304.455,85.731,84.6319,42.8655,30.7752,116.3386,119.864,82.8472,74.7399,67.046,78.0372,42.8655,142.885,146.9206,54.415,29.9283,65.2981,57.1358,130.5961,212.2187,270.273,49.8966,124.7414,174.638,158.0058,25.1962,57.1114,153.8477,91.477,20.7902,95.6351,158.0058,128.8995,178.796,114.8767,8.3161,33.2644,162.1638,103.9512,22.8711,62.9024,57.1913,55.4316
17,322.4787,126.4541,246.5943,189.7109,328.7925,120.1403,442.619,297.1641,214.9659,88.5119,569.073,158.0825,67.8779,379.3622,284.5365,113.8265,88.5119,63.2568,44.2559,392.0493,107.5127,151.7687,271.909,373.0484,90.6968,232.6102,130.1027,122.229,100.279,73.489,137.4194,137.4194,23.6301,21.0045,69.5774,36.7579,44.6346,26.2556,114.212,22.3173,22.3173,23.6301,30.194,148.3443,82.7052,110.2737,15.7534,15.7534,363.6405,102.397,101.0842,51.1985,36.7579,138.9546,143.1654,98.9525,89.2692,80.0797,93.2075,51.1985,170.6616,175.4817,64.9932,35.7463,77.9919,68.2429,155.9838,253.4736,332.6284,61.4083,153.5208,214.9291,194.4597,31.0093,70.2877,189.3423,112.5819,25.5868,117.6993,194.4597,158.6381,220.0465,141.3801,10.2347,40.9389,199.577,127.934,28.1478,77.4147,70.3861,68.2204
18,318.5212,124.9022,243.5681,187.3827,324.7575,118.6659,437.1871,293.5173,212.3279,87.4257,562.0894,156.1425,67.0449,374.7066,281.0447,112.4296,87.4257,62.4805,43.7128,387.238,106.1933,149.9062,268.5721,368.4703,89.5838,229.7556,128.5061,120.729,99.0484,72.5871,135.733,135.733,23.9681,21.3049,70.5726,37.2837,45.273,26.6312,115.8457,22.6365,22.6365,23.9681,30.6259,150.4662,83.8882,111.851,15.9787,15.9787,368.8419,103.8616,102.5301,51.9308,37.2837,140.9422,145.2131,100.3679,90.546,81.2251,94.5407,51.9308,173.1027,177.9918,65.9229,36.2576,79.1075,69.219,158.2149,257.0992,339.9176,62.754,156.885,219.6391,198.721,31.6888,71.828,193.4915,115.049,26.1475,120.2785,198.721,162.1145,224.8686,144.4783,10.459,41.836,203.9505,130.7375,28.7646,79.1112,71.9285,69.7154
19,312.5101,122.545,238.9715,183.8464,318.6286,116.4265,428.9365,287.978,208.3208,85.7758,551.4815,153.1957,65.7797,367.6351,275.7408,110.3078,85.7758,61.3014,42.8879,379.93,104.1892,147.0771,263.5036,361.5165,87.8931,225.4196,126.0809,118.4506,97.1791,71.2173,133.1714,133.1714,23.8052,21.1602,70.093,37.0303,44.9653,26.4502,115.0583,22.4827,22.4827,23.8052,30.4177,149.4436,83.3181,111.0908,15.8701,15.8701,366.3352,103.1558,101.8332,51.5779,37.0303,139.9843,144.2262,99.6858,89.9307,80.6731,93.8982,51.5779,171.9263,176.7821,65.4749,36.0112,78.5698,68.7486,157.1396,255.3519,336.8872,62.1945,155.4864,217.6809,196.9494,31.4063,71.1876,191.7665,114.0234,25.9144,119.2062,196.9494,160.6693,222.8638,143.1903,10.3658,41.463,202.1323,129.572,28.5082,78.4059,71.2873,69.0938
20,305.7312,119.8868,233.7878,179.8585,311.7171,113.901,419.6322,281.7313,203.802,83.9151,539.519,149.8727,64.3528,359.6605,269.7595,107.9151,83.9151,59.9717,41.9576,371.6887,101.9292,143.8868,257.7878,353.6746,85.9866,220.5299,123.346,115.8812,95.0712,69.6724,130.2827,130.2827,23.3868,20.7883,68.8612,36.3795,44.1751,25.9854,113.0364,22.0876,22.0876,23.3868,29.8832,146.8173,81.8539,109.1386,15.5912,15.5912,359.8974,101.3429,100.0437,50.6715,36.3795,137.5243,141.6917,97.934,88.3503,79.2554,92.2481,50.6715,168.9049,173.6754,64.3242,35.3783,77.1891,67.5404,154.3781,250.8645,328.051,60.5632,151.4081,211.9714,191.7836,30.5825,69.3204,186.7367,111.0326,25.2347,116.0796,191.7836,156.4551,217.0184,139.4346,10.0939,40.3755,196.8306,126.1735,27.7605,76.3494,69.4175,67.2816
21,290.8957,114.0694,222.4433,171.1309,296.5911,108.374,399.2696,268.0603,193.9125,79.8432,513.339,142.6001,61.2301,342.2081,256.6695,102.6785,79.8432,57.0616,39.9216,353.6526,96.9831,136.9047,245.2787,336.5127,81.8141,209.8287,117.3607,110.2581,90.4579,66.2916,123.9608,123.9608,22.2139,19.7456,65.4074,34.5549,41.9595,24.6821,107.3669,20.9797,20.9797,22.2139,28.3844,139.4536,77.7485,103.6646,14.8092,14.8092,341.8465,96.26,95.0259,48.13,34.5549,130.6266,134.585,93.022,83.919,75.2803,87.6213,48.13,160.4334,164.9646,61.098,33.6039,73.3176,64.1529,146.6352,238.2822,304.3988,56.1967,140.4918,196.6885,177.9562,28.3776,64.3225,173.2732,103.0273,23.4153,107.7104,177.9562,145.1748,201.3716,129.3815,9.3661,37.4645,182.6393,117.0765,25.759,70.8447,64.4125,62.4307
22,266.5253,104.513,203.8077,156.7941,271.7436,99.2947,365.8201,245.6031,177.6671,73.1542,470.333,130.6535,56.1004,313.539,235.1665,94.0765,73.1542,52.2811,36.5771,324.0247,88.8582,125.4353,224.73,308.3207,74.96,192.2499,107.5286,101.021,82.8796,60.7379,113.5757,113.5757,20.0187,17.7944,58.944,31.1402,37.8132,22.243,96.7572,18.9066,18.9066,20.0187,25.5795,125.6731,70.0655,93.4207,13.3458,13.3458,308.066,86.7478,85.6357,43.3739,31.1402,117.7184,121.2856,83.8298,75.6263,67.8412,78.9628,43.3739,144.5797,148.6632,55.0604,30.2832,66.0725,57.8135,132.145,214.7357,264.1216,48.7609,121.9023,170.6632,154.4095,24.6227,55.8115,150.3461,89.395,20.317,93.4584,154.4095,125.9657,174.7266,112.262,8.1268,32.5073,158.4729,101.5852,22.3506,61.4707,55.8896,54.17
23,248.7714,97.5511,190.2316,146.3496,253.6421,92.6805,341.4519,229.2428,165.8323,68.2812,439.003,121.9504,52.3634,292.6533,219.5015,87.8098,68.2812,48.7985,34.1406,302.4406,82.9391,117.0797,209.7602,287.7827,69.9667,179.4437,100.3658,94.2917,77.3588,56.692,106.0101,106.0101,18.3105,16.276,53.9141,28.4829,34.5864,20.345,88.5005,17.2932,17.2932,18.3105,23.3967,114.949,64.0866,85.4488,12.207,12.207,281.7775,79.3453,78.3281,39.6727,28.4829,107.6731,110.9359,76.6763,69.1728,62.0521,72.2246,39.6727,132.2422,135.9772,50.3619,27.6991,60.4343,52.88,120.8686,196.4115,236.5324,43.6675,109.1688,152.8363,138.2805,22.0507,49.9816,134.6415,80.0571,18.1948,83.6961,138.2805,112.8078,156.4753,100.5356,7.2779,29.1117,141.9194,90.974,20.0159,55.0497,50.0516,48.5116
24,226.9523,88.9951,173.5468,133.5137,231.3957,84.5517,311.5039,209.1365,151.2875,62.2924,400.4991,111.2544,47.7708,266.9854,200.2495,80.1082,62.2924,44.5185,31.1462,275.9143,75.6647,106.8109,191.3626,262.542,63.8301,163.7051,91.563,86.0216,70.5738,51.7197,96.7123,96.7123,15.1989,13.5101,44.7523,23.6427,28.709,16.8877,73.4613,14.3545,14.3545,15.1989,19.4208,95.4153,53.1961,70.9282,10.1326,10.1326,233.8941,65.8619,65.0175,32.9309,23.6427,89.3758,92.0842,63.6464,57.4181,51.5074,59.9512,32.9309,109.7698,112.8701,41.8038,22.9921,50.1645,43.8939,100.329,163.0346,182.0189,33.6035,84.0087,117.6122,106.411,16.9687,38.4624,103.6107,61.6064,14.0014,64.4067,106.411,86.809,120.4125,77.3652,5.6006,22.4023,109.2113,70.0073,15.4029,42.3624,38.5162,37.3311
25,223.1082,87.4878,170.6073,131.2522,227.4764,83.1196,306.2277,205.5942,148.7251,61.2373,393.7155,109.37,46.9616,262.4633,196.8577,78.7513,61.2373,43.7645,30.6187,271.2409,74.3831,105.0018,188.1213,258.0951,62.749,160.9323,90.0121,84.5646,69.3784,50.8437,95.0742,95.0742,14.6744,13.0439,43.2081,22.8269,27.7184,16.3049,70.9264,13.8592,13.8592,14.6744,18.7507,92.1229,51.3605,68.4807,9.783,9.783,225.8233,63.5892,62.774,31.7946,22.8269,86.2918,88.9067,61.4502,55.4368,49.73,57.8825,31.7946,105.9821,108.9754,40.3613,22.1987,48.4335,42.3793,96.867,157.4089,174.5052,32.2163,80.5409,112.7572,102.0184,16.2682,36.8747,99.3337,59.0633,13.4235,61.748,102.0184,83.2256,115.4419,74.1716,5.3694,21.4776,104.7031,67.1174,14.767,40.6137,36.9263,35.7901
26,212.6646,83.3925,162.6213,125.1084,216.8284,79.2288,291.8934,195.9704,141.7633,58.3708,375.2859,104.2504,44.7634,250.1775,187.6429,75.065,58.3708,41.7159,29.1854,258.5443,70.9013,100.0867,179.3155,246.0138,59.8117,153.3991,85.7987,80.6062,66.1309,48.4637,90.6238,90.6238,13.8146,12.2797,40.6764,21.4894,26.0943,15.3496,66.7708,13.0472,13.0472,13.8146,17.652,86.7252,48.3512,64.4683,9.2098,9.2098,212.592,59.8634,59.096,29.9317,21.4894,81.2358,83.6975,57.8497,52.1886,46.8163,54.4911,29.9317,99.7724,102.5903,37.9964,20.898,45.5957,39.8962,91.1914,148.1861,171.0523,31.5789,78.9472,110.5261,99.9998,15.9463,36.145,97.3682,57.8946,13.1579,60.5262,99.9998,81.5788,113.1577,72.7039,5.2631,21.0526,102.6314,65.7893,14.4749,39.8101,36.1956,35.082
27,209.7073,82.2329,160.3599,123.3687,213.8132,78.127,287.8344,193.2453,139.792,57.5591,370.0672,102.8008,44.1409,246.6986,185.0336,74.0212,57.5591,41.1358,28.7796,254.949,69.9154,98.6949,176.8219,242.5927,58.98,151.266,84.6056,79.4853,65.2113,47.7898,89.3636,89.3636,13.7677,12.2379,40.5382,21.4164,26.0056,15.2974,66.5438,13.0028,13.0028,13.7677,17.592,86.4304,48.1869,64.2491,9.1784,9.1784,211.8692,59.6599,58.8951,29.83,21.4164,80.9596,83.413,57.6531,52.0112,46.6571,54.3058,29.83,99.4332,102.2416,37.8672,20.827,45.4407,39.7606,90.8814,147.6823,177.2685,32.7265,81.8163,114.5428,103.6339,16.5259,37.4586,100.9067,59.9986,13.636,62.7258,103.6339,84.5435,117.27,75.3461,5.4544,21.8177,106.3611,68.1802,15.0009,41.2568,37.511,36.3569
28,210.7806,82.6537,161.1806,124.0,214.9074,78.5269,289.3075,194.2343,140.5074,57.8537,371.9612,103.3269,44.3668,247.9611,185.9806,74.4,57.8537,41.3463,28.9269,256.2538,70.2732,99.2,177.7269,243.8343,59.2818,152.0401,85.0386,79.8921,65.545,48.0343,89.8209,89.8209,13.8489,12.3102,40.7774,21.5428,26.1591,15.3877,66.9365,13.0795,13.0795,13.8489,17.6958,86.9405,48.4712,64.6283,9.2326,9.2326,213.1196,60.012,59.2426,30.006,21.5428,81.4374,83.9052,57.9933,52.3182,46.9325,54.6263,30.006,100.02,102.8449,38.0907,20.9499,45.7089,39.9953,91.4177,148.5538,182.4212,33.6777,84.1944,117.8721,106.6462,17.0062,38.5474,103.8397,61.7425,14.0324,64.549,106.6462,87.0009,120.6786,77.5362,5.613,22.4518,109.4527,70.162,15.4369,42.456,38.6014,37.4137
