name,node,technology,max_mw,min_mw,heat_rate_slope_mmbtu_per_mwh,heat_rate_intercept_mmbtu_per_hr,fuel_cost_per_mmbtu,vom_cost_per_mwh,startup_cost,shutdown_cost,ramp_rate_mw_per_hr,min_up_time_hr,min_down_time_hr,num_units
CC NG 24,bus025,natural_gas,672.3,302.54,6.330729999999997,2419.0000000000014,5.4,1.08,56303.71,0.0,150.0,8,4,1
CC NG 25,bus010,natural_gas,32.49,32.17,6.489000000000006,247.99999999999983,5.4,1.08,2720.97,0.0,13.2,8,4,1
CC NG 26,bus010,natural_gas,655.0,262.0,7.199999999999998,1886.4000000000005,5.4,1.08,54854.88,0.0,180.0,8,4,1
CC NG 27,bus004,natural_gas,34.5,34.15,6.488999999999909,263.3400000000031,5.4,1.08,2889.3,0.0,15.0,8,4,1
CC NG 28,bus100,natural_gas,181.5,99.82499695,6.997739999999999,882.2746000000003,5.4,1.081302047,15200.24023,0.0,150.0,8,4,1
CC NG 29,bus107,natural_gas,49.9,49.4,6.489000000000033,380.8999999999984,5.4,1.08,4179.02,0.0,25.2,8,6,1
CC NG 31,bus089,natural_gas,336.5,185.07,6.287452513372516,1344.6831634501484,5.4,1.08,28181.17,0.0,150.0,8,4,1
CC NG 32,bus090,natural_gas,38.55,38.16,6.488999999999988,610.5100000000004,5.4,1.08,3228.48,0.0,70.19999999999999,2,2,1
CC NG 33,bus090,natural_gas,24.88,24.63,9.798041999999896,67.46368904000258,5.4,1.08,2083.65,0.0,150.0,8,8,1
CC NG 34,bus087,natural_gas,688.3,338.08,6.927467471874824,1988.5803859085586,5.4,1.08,57643.68,0.0,337.2,8,4,1
CC NG 35,bus089,natural_gas,595.0,298.29,6.585495893296482,1935.0582458885929,5.4,1.08,49830.0,0.0,220.8,8,4,1
CC NG 36,bus087,natural_gas,668.0,367.4,6.069155000000004,2576.6867509999993,5.4,1.08,55943.6,0.0,150.0,8,4,1
CC NG 37,bus065,natural_gas,636.0,298.19,6.159701960569549,1954.1817530777655,5.4,1.08,53263.66,0.0,400.79999999999995,8,4,1
CC NG 38,bus049,natural_gas,98.2,42.69,7.250701140335075,262.8872264190956,5.4,1.08,8224.04,0.0,150.0,8,4,1
CC NG 39,bus018,natural_gas,247.0,244.53,6.489000000000001,2132.1099999999997,5.4,1.08,20685.73,0.0,121.79999999999998,8,4,1
CC NG 40,bus107,natural_gas,751.1,412.5,6.12175541523922,772.1566662138216,5.4,1.08,62810.93,0.0,111.0,8,4,1
CT NG 01,bus006,natural_gas,25.4,11.43,9.403031818181821,128.24748701818174,5.4,0.7,861.65,0.0,160.2,2,2,1
CT NG 02,bus018,natural_gas,25.4,11.43,9.41300659269864,127.8842045454546,5.4,0.7,861.65,0.0,160.2,2,2,1
CT NG 03,bus004,natural_gas,24.75,11.14,9.403598574577515,124.96429047920643,5.4,0.7,839.6,0.0,160.2,2,2,1
CT NG 04,bus004,natural_gas,24.75,11.14,9.403598574577515,124.96429047920643,5.4,0.7,839.6,0.0,160.2,2,2,1
CT NG 05,bus004,natural_gas,49.9,14.97,11.30487714285714,237.39382277142863,5.4,0.7,1692.77,0.0,79.80000000000001,2,2,1
CT NG 06,bus006,natural_gas,49.9,14.97,11.30487714285714,237.39382277142863,5.4,0.7,1692.77,0.0,79.80000000000001,2,2,1
CT NG 07,bus006,natural_gas,49.9,14.97,11.30487714285714,237.39382277142863,5.4,0.7,1692.77,0.0,79.80000000000001,2,2,1
CT NG 08,bus008,natural_gas,50.0,15.0,11.218914285714286,224.29998571428567,5.4,0.7,1696.16,0.0,100.19999999999999,2,2,1
CT NG 09,bus008,natural_gas,50.0,25.0,9.621821124000002,234.7609719,5.4,0.7,1696.16,0.0,118.2,1,1,1
CT NG 10,bus008,natural_gas,50.0,25.0,9.621821124000002,234.7609719,5.4,0.7,1696.16,0.0,118.2,1,1,1
CT NG 11,bus010,natural_gas,50.0,25.0,9.621821124000002,234.7609719,5.4,0.7,1696.16,0.0,118.2,1,1,1
CT NG 12,bus010,natural_gas,50.0,25.0,9.621821124000002,234.7609719,5.4,0.7,1696.16,0.0,118.2,1,1,1
CT NG 13,bus006,natural_gas,21.6,21.3,10.845314000000005,86.40206579999983,5.4,0.7,732.74,0.0,40.2,1,1,1
CT NG 14,bus006,natural_gas,21.6,21.3,10.845314000000005,86.40206579999983,5.4,0.7,732.74,0.0,40.2,1,1,1
CT NG 15,bus025,natural_gas,21.6,21.3,10.845314000000005,86.40206579999983,5.4,0.7,732.74,0.0,40.2,1,1,1
CT NG 16,bus025,natural_gas,49.9,22.45,9.402954488160288,251.96077224080153,5.4,0.7,1692.77,0.0,79.80000000000001,2,2,1
CT NG 17,bus004,natural_gas,6.9,3.11,7.651789999999999,17.330000000000005,5.4,0.7,234.07,0.0,60.0,1,1,1
CT NG 18,bus004,natural_gas,3.9,1.75,7.651789999999999,9.79,5.4,0.7,132.3,0.0,60.0,1,1,1
CT NG 19,bus018,natural_gas,3.9,1.75,7.651789999999999,9.79,5.4,0.7,132.3,0.0,60.0,1,1,1
CT NG 20,bus025,natural_gas,6.9,3.11,7.651789999999999,17.330000000000005,5.4,0.7,234.07,0.0,60.0,1,1,1
CT NG 21,bus085,natural_gas,100.0,20.0,6.075338,592.8666400000001,5.4,0.699666023,3392.320068,0.0,376.00000002,1,1,1
CT NG 22,bus091,natural_gas,100.0,20.0,6.075338,592.8666400000001,5.4,0.7,3392.32,0.0,376.2,1,1,1
CT NG 23,bus091,natural_gas,100.0,20.0,6.075338,592.8666400000001,5.4,0.7,3392.32,0.0,376.2,1,1,1
CT NG 24,bus100,natural_gas,100.0,20.0,6.075338,592.8666400000001,5.4,0.7,3392.32,0.0,376.2,1,1,1
CT NG 25,bus100,natural_gas,100.0,20.0,6.075338,592.8666400000001,5.4,0.7,3392.32,0.0,376.2,1,1,1
CT NG 26,bus100,natural_gas,100.0,20.0,6.075338,592.8666400000001,5.4,0.7,3392.32,0.0,376.2,1,1,1
CT NG 27,bus107,natural_gas,1.05,0.0,7.65179,2.64,5.4,0.7,35.62,0.0,60.0,1,1,1
CT NG 28,bus100,natural_gas,44.02,13.21,11.102053988964622,222.09281280577733,5.4,0.7,1493.3,0.0,160.2,2,2,1
CT NG 29,bus107,natural_gas,0.6,0.0,7.65179,1.51,5.4,0.7,20.35,0.0,60.0,1,1,1
CT NG 30,bus090,natural_gas,18.0,5.4,11.263934285714283,79.00847485714286,5.4,0.7,610.62,0.0,160.2,2,2,1
CT NG 31,bus107,natural_gas,1.54,0.0,7.65179,3.87,5.4,0.7,52.24,0.0,60.0,1,1,1
CT NG 32,bus107,natural_gas,1.6,0.0,7.65179,4.02,5.4,0.7,54.28,0.0,60.0,1,1,1
CT NG 33,bus107,natural_gas,1.3,0.0,7.651790000000001,3.26,5.4,0.7,44.1,0.0,60.0,1,1,1
CT NG 34,bus100,natural_gas,100.0,45.0,6.117040000000004,510.9345499999998,5.4,0.6,10919.03,0.0,319.8,1,1,1
CT NG 35,bus100,natural_gas,100.0,45.0,6.117040000000004,510.9345499999998,5.4,0.6,10919.03,0.0,319.8,1,1,1
CT NG 36,bus100,natural_gas,100.0,45.0,6.117040000000004,510.9345499999998,5.4,0.6,10919.03,0.0,319.8,1,1,1
CT NG 37,bus107,natural_gas,1.3,0.0,7.651790000000001,3.26,5.4,0.7,44.1,0.0,60.0,1,1,1
CT NG 38,bus090,natural_gas,9.5,0.0,7.651790000000001,23.86,5.4,0.7,322.27,0.0,60.0,1,1,1
CT NG 39,bus112,natural_gas,1.3,0.0,7.651790000000001,3.26,5.4,0.7,44.1,0.0,60.0,1,1,1
CT NG 40,bus112,natural_gas,3.1,0.93,7.65179,7.779999999999999,5.4,0.7,105.16,0.0,60.0,1,1,1
CT NG 41,bus040,natural_gas,54.0,16.2,8.156887505291005,165.4393064142857,5.4,0.7,1831.85,0.0,48.0,8,8,1
CT NG 42,bus036,natural_gas,82.4,19.78,10.790749233471734,239.79788716192905,5.4,0.7,2795.27,0.0,79.80000000000001,2,2,1
CT NG 43,bus062,natural_gas,25.0,7.5,9.480178017142855,153.47546487142858,5.4,0.7,848.08,0.0,208.20000000000002,1,1,1
CT NG 44,bus055,natural_gas,60.35,27.16,9.403264224163905,304.7231320717083,5.4,0.7,2047.27,0.0,79.80000000000001,2,2,1
CT NG 45,bus055,natural_gas,60.35,27.16,9.403264224163905,304.7231320717083,5.4,0.7,2047.27,0.0,79.80000000000001,2,2,1
CT NG 46,bus026,natural_gas,180.0,81.0,6.009966000000003,1047.786784,5.4,0.6,19654.25,0.0,319.8,2,2,1
CT NG 47,bus026,natural_gas,180.0,81.0,6.009966000000003,1047.786784,5.4,0.6,19654.25,0.0,319.8,2,2,1
CT NG 48,bus026,natural_gas,180.0,81.0,6.009966000000003,1047.786784,5.4,0.6,19654.25,0.0,319.8,2,2,1
CT NG 49,bus026,natural_gas,180.0,81.0,6.009966000000003,1047.786784,5.4,0.6,19654.25,0.0,319.8,2,2,1
CT NG 50,bus111,natural_gas,49.96,22.48,9.444040236535663,249.34422988267826,5.4,0.6,5455.15,0.0,160.2,2,2,1
CT NG 51,bus085,natural_gas,8.57,8.48,5.597000000000216,81.44999999999814,5.4,0.6,935.76,0.0,28.2,8,8,1
CT NG 52,bus085,natural_gas,10.71,10.6,5.597000000000146,101.78999999999846,5.4,0.6,1169.43,0.0,28.2,8,8,1
CT NG 53,bus085,natural_gas,10.71,10.6,5.597000000000146,101.78999999999846,5.4,0.6,1169.43,0.0,28.2,8,8,1
CT NG 54,bus111,natural_gas,49.9,22.45,9.26361,262.72,5.4,0.6,5448.6,0.0,160.2,2,2,1
CT NG 55,bus091,natural_gas,15.0,4.5,11.318556152380953,64.62769231428571,5.4,0.6,1637.85,0.0,160.2,2,2,1
CT NG 56,bus111,natural_gas,46.9,21.1,9.479704317829457,231.7013798937984,5.4,0.6,5121.02,0.0,160.2,2,2,1
CT NG 66,bus111,natural_gas,45.0,20.25,9.403031818181816,227.2230281818182,5.4,0.6,4913.56,0.0,160.2,2,2,1
CT NG 67,bus111,natural_gas,45.0,20.25,9.403031818181816,227.2230281818182,5.4,0.6,4913.56,0.0,160.2,2,2,1
CT NG 68,bus111,natural_gas,46.7,21.01,9.415795223822498,234.9465255474893,5.4,0.6,5099.19,0.0,91.8,2,2,1
CT NG 69,bus111,natural_gas,49.5,22.27,7.824756000734487,585.3828650636428,5.4,0.6,5404.92,0.0,160.2,2,2,1
CT NG 70,bus111,natural_gas,44.02,19.81,9.447483957042548,219.47899261098712,5.4,0.6,4806.56,0.0,160.2,2,2,1
CT NG 71,bus111,natural_gas,44.02,19.81,9.447483957042548,219.47899261098712,5.4,0.6,4806.56,0.0,160.2,2,2,1
CT NG 72,bus112,natural_gas,50.0,22.5,7.830998000000004,591.2555199999998,5.4,0.6,5459.52,0.0,319.8,2,2,1
CT NG 73,bus112,natural_gas,50.0,22.5,7.830998000000004,591.2555199999998,5.4,0.6,5459.52,0.0,319.8,2,2,1
CT NG 74,bus042,natural_gas,42.0,16.8,8.129024396825399,154.5145421333333,5.4,0.6,4585.99,0.0,73.8,8,4,1
CT NG 75,bus049,natural_gas,50.4,21.91,10.705986535626534,145.63798260442263,5.4,0.6,5503.19,0.0,79.80000000000001,1,1,1
CT Oil 01,bus026,oil,74.5,22.35,11.218914285714286,334.19677871428576,21.0,1.91,2369.32,0.0,109.80000000000001,2,2,1
CT Oil 02,bus010,oil,74.5,22.35,11.218914285714286,334.19677871428576,21.0,1.91,2369.32,0.0,109.80000000000001,2,2,1
CT Oil 03,bus010,oil,74.5,22.35,11.218914285714286,334.19677871428576,21.0,1.91,2369.32,0.0,109.80000000000001,2,2,1
CT Oil 04,bus054,oil,71.2,21.36,11.263934285714285,312.53841165714283,21.0,1.91,2264.37,0.0,79.80000000000001,2,2,1
CT Oil 05,bus054,oil,71.2,21.36,11.263934285714285,312.53841165714283,21.0,1.91,2264.37,0.0,79.80000000000001,2,2,1
Geo 01,bus055,geothermal,22.0,11.0,4.11,45.20999999999999,0.0,2.92,0.0,0.0,4.2,6,6,1
Hydro 01,bus056,hydro,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1,1,1
Hydro 02,bus056,hydro,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1,1,1
Hydro 03,bus066,hydro,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1,1,1
Hydro 04,bus076,hydro,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1,1,1
Hydro 05,bus049,hydro,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1,1,1
Hydro 06,bus059,hydro,1225.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.31,1,1,1
Hydro 07,bus059,hydro,1225.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.31,1,1,1
Hydro 08,bus061,hydro,1225.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.31,1,1,1
Hydro 09,bus061,hydro,1225.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.31,1,1,1
Hydro 10,bus062,hydro,1225.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.31,1,1,1
Hydro 11,bus076,hydro,810.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.77,1,1,1
Hydro 12,bus077,hydro,810.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.78,1,1,1
Hydro 13,bus059,hydro,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,1,1,1
Hydro 14,bus099,hydro,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,1,1,1
Hydro 15,bus080,hydro,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,1,1,1
Hydro 16,bus032,hydro,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,1,1
Hydro 17,bus112,hydro,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1,1,1
Hydro 18,bus112,hydro,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,1,1,1
Hydro 19,bus116,hydro,648.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.44,1,1,1
Hydro 20,bus077,hydro,765.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.77,1,1,1
Hydro 21,bus099,hydro,765.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.77,1,1,1
Hydro 22,bus099,hydro,765.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.77,1,1,1
Hydro 23,bus069,hydro,742.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.63,1,1,1
Hydro 24,bus069,hydro,742.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.63,1,1,1
Hydro 25,bus061,hydro,286.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.46,1,1,1
Hydro 26,bus116,hydro,286.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.46,1,1,1
Hydro 27,bus080,hydro,286.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.46,1,1,1
Hydro 28,bus080,hydro,1116.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.06,1,1,1
Hydro 29,bus080,hydro,1116.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.06,1,1,1
Hydro 30,bus034,hydro,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,1,1
Hydro 31,bus034,hydro,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,1,1
Hydro 32,bus034,hydro,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1,1,1
Hydro 33,bus069,hydro,1112.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.39,1,1,1
Hydro 34,bus069,hydro,1112.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.39,1,1,1
Hydro 35,bus034,hydro,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1,1,1
Hydro 36,bus034,hydro,10.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.76,1,1,1
Hydro 37,bus036,hydro,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1,1,1,1
Hydro 38,bus034,hydro,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,1,1,1
Hydro 39,bus034,hydro,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,1,1,1
Hydro 40,bus065,hydro,96.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.93,1,1,1
Hydro 41,bus046,hydro,96.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.26,1,1,1
