hour,Region_R1,Region_R2,Region_R3
58,6565.8,2838.6495,2430.8076
59,6534.0727,2801.3415,2448.1341
60,6460.588,2760.8553,2463.6058
61,6393.2402,2742.1276,2441.6299
62,6411.7477,2723.621,2454.7595
63,6961.7552,2983.1416,2663.8725
64,7061.7833,3076.2299,2649.1073
65,6698.5336,3110.4754,2451.504
66,6525.8578,2944.4379,2458.5297
67,6212.0239,2719.2496,2312.3299
68,5754.1333,2476.903,2031.3294
69,5354.3506,2245.3556,1757.7309
70,5015.9088,2037.1466,1572.3966
71,4835.8419,1929.8915,1499.0857
72,4841.7017,2055.3769,1778.7156
73,4567.1109,1951.3659,1572.5583
74,4436.5994,1980.7426,1519.2923
75,4370.6703,2106.3596,1502.7455
76,4420.5078,2332.9463,1565.1268
77,4769.1841,2446.5869,1711.1136
78,5342.0485,2590.1122,1927.0377
79,5648.557,2696.09,2109.7437
80,5867.0653,2711.5683,2234.4831
81,6096.7489,2702.2834,2418.806
82,6276.4072,2741.0792,2552.7228
83,6442.7384,2740.9687,2638.9083
84,6470.2521,2699.0341,2706.7295
85,6454.9671,2734.6226,2744.3217
86,6353.1785,2850.8522,2681.9186
87,6129.7037,3018.3091,2514.2358
88,6230.0885,2871.0782,2562.1148
89,6747.0373,3059.2453,2724.8833
90,6679.4332,3002.185,2649.7035
91,6534.9938,2856.3235,2540.5743
92,6331.0329,2640.5806,2404.8447
93,5932.1132,2413.8203,2185.4506
94,5467.1501,2203.8946,1946.6263
95,5054.4818,2113.4688,1789.4207
96,4924.731,2137.9162,1747.8126
97,4864.5977,2196.6197,1674.312
98,4710.7878,2300.4649,1625.8088
99,4669.3888,2517.593,1626.0219
100,4729.5075,2899.2234,1678.5735
101,5031.3239,3098.2343,1871.2756
102,5550.429,3066.6766,2179.5784
103,6026.2609,3102.8941,2318.1476
104,6308.8599,3108.9954,2373.1254
105,6532.1452,3110.5306,2384.0659
106,6683.0166,3082.576,2395.9276
107,6727.7957,2984.711,2378.4518
108,6733.7369,2882.1614,2343.5734
109,6688.7223,2788.9468,2302.3152
110,6679.7213,2842.9736,2260.3053
111,6686.568,3126.5863,2208.6322
112,6910.2585,3348.5279,2255.4765
113,7598.1485,3447.0192,2601.0356
114,7478.7985,3300.1067,2759.628
115,7270.1922,3095.3602,2699.8578
116,7050.002,2803.7056,2615.1834
117,6775.5678,2580.0236,2460.7506
118,6326.8582,2438.2414,2244.9913
119,5671.2259,2267.0984,1970.7609
120,5142.2985,2398.5141,1694.7954
121,4910.4181,2284.9945,1622.3061
122,4935.7107,2238.2938,1589.1534
123,5147.9004,2180.8072,1610.1272
124,5571.6678,2218.0257,1727.4132
125,5998.2934,2475.89,2010.8787
126,6451.6286,3108.0087,2279.935
127,6635.7169,3446.6613,2363.6758
128,6675.4766,3415.7283,2383.8995
129,6645.8301,3319.5801,2383.9244
130,6532.5096,3255.95,2371.1618
131,6502.7263,3142.5857,2362.8775
132,6420.9443,3040.1098,2345.4344
133,6424.9173,2965.5202,2310.601
134,6508.5273,2849.0854,2254.629
135,6909.307,2699.9535,2188.4278
136,6635.4624,2631.9863,2287.4692
137,6738.5668,3065.7282,2519.0905
138,6978.5853,3393.2634,2600.8381
139,6759.0876,3329.6833,2522.0032
140,6439.3039,3326.5761,2412.9051
141,6064.9888,3223.9292,2262.3793
142,5624.1333,2981.2985,2042.8825
143,5326.3937,2715.5292,1899.4788
144,4858.4989,2138.1504,1709.3988
145,4801.1328,2092.9191,1663.3155
146,4773.671,1976.5133,1571.5579
147,4819.0128,1861.7189,1482.5902
148,5024.9939,1819.9317,1452.3736
149,5493.325,2056.0927,1662.5218
150,6028.5728,2557.944,2100.3206
151,6253.3893,2880.9894,2320.6468
152,6322.773,2914.9875,2366.5575
153,6325.6977,2966.1964,2407.7644
154,6293.9652,3015.7834,2442.5635
155,6254.1034,3052.9651,2442.5371
156,6277.4225,3108.6981,2446.1736
157,6317.1545,3100.8642,2449.7914
158,6459.0595,3085.2806,2398.3817
159,6707.5017,2920.7494,2221.3301
160,6646.2699,2940.9596,2219.4691
161,6781.1283,3281.1974,2648.0935
162,6998.8083,3472.4507,2897.7106
163,6851.3957,3463.1501,2880.2332
164,6552.6356,3442.8477,2838.9128
165,6098.6504,3247.0809,2657.2275
166,5583.5287,2916.0438,2308.5814
167,5161.785,2543.2325,2036.0176
168,5033.169,2294.6478,1718.5903
169,4849.42,2126.9146,1589.1269
170,4905.1926,2052.4828,1573.4251
171,5114.2238,2015.388,1610.0153
172,5554.0059,2049.7466,1764.909
173,6131.7581,2239.1963,2033.5487
174,6377.0799,2701.6808,2228.9505
175,6501.9809,2894.3088,2215.3709
176,6715.0016,2931.8247,2225.7867
177,6827.8609,2992.3949,2263.609
178,6843.4419,3024.9446,2276.5629
179,6729.1874,2990.7544,2260.1452
180,6598.5357,2965.8702,2270.1847
181,6487.2111,2934.9082,2251.7613
182,6602.403,2882.2693,2208.5784
183,7121.6594,2792.5698,2176.4153
184,7237.6183,2964.977,2396.6233
185,7455.3495,3477.0511,2630.1227
186,7419.8813,3548.144,2607.4386
187,7111.5499,3506.0068,2528.568
188,6617.4701,3491.7242,2385.4847
189,6150.6962,3371.9191,2164.3586
190,5721.4125,2986.942,1912.8945
191,5310.1948,2626.7676,1732.8183
192,4872.4043,2449.6547,1581.1536
193,4383.8156,2188.8858,1446.9974
194,4216.1574,2098.8889,1458.7626
195,4131.262,2072.6141,1566.8276
196,4183.2123,2083.6658,1703.3727
197,4444.5418,2162.9531,1846.4078
198,4814.1032,2277.8369,1951.8959
199,5141.8639,2405.1628,2044.5452
200,5489.4401,2575.9954,2116.3139
201,5733.8729,2665.9923,2151.3385
202,5918.9696,2658.2505,2178.0523
203,5997.6694,2610.0751,2178.1052
204,6022.2133,2541.7341,2152.4618
205,6002.732,2468.8508,2129.557
206,5960.7322,2405.3812,2185.3999
207,5922.7313,2374.9219,2408.0356
208,6089.556,2553.691,2420.3264
209,6571.5725,3067.3029,2356.0912
210,6576.0822,3121.4086,2246.1155
211,6425.0291,3094.8365,2099.4501
212,6227.0312,3055.725,1936.272
213,5936.6862,2928.0964,1752.6526
214,5551.1091,2771.0859,1642.2213
215,5164.522,2541.3,1580.4253
216,5202.6032,2443.4139,1684.5817
217,4876.6307,2347.0894,1546.8543
218,4795.9714,2410.4668,1504.521
219,4802.2173,2590.1528,1520.8532
220,4915.9742,2828.9,1609.6716
221,5470.0464,3001.5046,1849.1216
222,6214.9954,3137.5327,2064.1851
223,6490.0693,3240.6112,2223.16
224,6549.2929,3186.3528,2307.7582
225,6545.2507,3091.8951,2378.5374
226,6531.9375,2994.359,2430.8947
227,6446.1548,2913.747,2440.0395
228,6355.216,2819.1313,2427.2038
229,6258.3879,2795.8217,2424.4201
230,6232.0333,2912.0828,2405.0413
231,6189.3056,3232.7141,2365.3036
232,6577.1944,3266.8385,2564.3901
233,7225.8563,3489.5037,2769.6598
234,7150.5211,3438.6395,2677.3588
235,7035.851,3283.5194,2590.3298
236,6849.4897,3063.3051,2442.7728
237,6432.3395,2816.3872,2207.9333
238,5818.1011,2547.3239,1934.2462
239,5259.1134,2362.1008,1706.3625
240,5127.9284,2321.2515,1834.1505
241,5092.9492,2116.1708,1705.4793
242,4984.8402,2044.6937,1635.7178
243,5052.5931,2027.5486,1621.8971
244,5315.7517,2097.4194,1669.5802
245,5941.316,2327.3896,1854.0866
246,6502.9982,2759.3201,2206.5977
247,6615.4731,3037.3367,2388.3375
248,6711.6079,3102.6178,2469.1748
249,6776.9615,3201.9285,2510.5621
250,6699.3446,3254.5622,2505.1843
251,6560.463,3251.2339,2456.6516
252,6459.3279,3223.124,2398.0203
253,6324.5629,3125.2038,2344.8988
254,6309.2849,3052.1599,2289.8418
255,6467.0462,3053.5898,2249.3912
256,7064.5566,3117.5541,2271.4635
257,7389.455,3414.9615,2601.0993
258,7470.7972,3553.1285,2752.4203
259,7328.4248,3503.51,2713.8261
260,7070.4743,3450.7843,2675.1868
261,6576.7225,3252.1128,2554.8201
262,6008.4776,2894.8509,2314.1333
263,5395.393,2635.0909,2019.3915
264,4559.0525,1972.0971,1754.1146
265,4403.7962,1895.6434,1529.4174
266,4431.7947,2089.5645,1574.5437
267,4647.1351,2485.317,1707.0178
268,5050.0946,3087.5958,1972.7767
269,5155.1396,3139.1942,2238.8052
270,5414.5362,2926.8691,2280.6892
271,5652.9905,2807.4508,2292.442
272,5754.8916,2711.2368,2336.3782
273,5822.0386,2602.449,2370.2111
274,5817.6381,2580.5036,2349.9516
275,5817.4684,2530.993,2334.3337
276,5785.729,2478.1699,2305.8537
277,5778.5197,2471.9343,2247.14
278,5949.1303,2701.7282,2291.2145
279,6408.0424,3353.7308,2484.5215
280,6265.548,3267.0254,2491.1065
281,6493.3472,3128.9583,2612.6593
282,6364.0439,2942.629,2521.6052
283,5993.8384,2684.8541,2336.0594
284,5615.1278,2360.2709,2088.0609
285,5241.712,2110.1984,1825.5366
286,4973.9149,1970.3619,1636.5503
287,4720.7996,1942.2836,1596.2117
288,4624.02,2249.2981,1566.0464
289,4488.4614,2357.8516,1629.3707
290,4728.2513,2447.8564,1645.8739
291,5278.6473,2654.3486,1738.5543
292,6246.7934,2991.3134,1907.4677
293,6655.7035,3277.1218,2049.86
294,6385.8751,3531.7974,2197.7327
295,6299.5463,3609.51,2268.431
296,6332.3305,3486.9528,2300.5568
297,6328.335,3339.6061,2320.7246
298,6255.921,3226.3312,2315.2287
299,6231.455,3094.4076,2306.0621
300,6149.8375,3040.023,2280.386
301,6146.7396,2970.1442,2271.2163
302,6341.7625,3018.1828,2310.6415
303,7216.9548,3307.0169,2521.6394
304,7494.3855,3049.7841,2482.2453
305,6866.3154,3355.6713,2435.8239
306,6414.3306,3361.62,2451.3252
307,5894.4509,3178.3137,2318.2005
308,5211.1682,2943.7984,2147.437
309,4658.4472,2695.2664,1961.9192
310,4502.6992,2501.1321,1849.756
311,4598.1951,2381.4111,1730.368
312,4475.4321,1932.8882,1837.434
313,4306.8019,1803.9218,1700.7584
314,4236.1242,1777.4129,1631.9211
315,4264.5095,1809.8969,1592.4446
316,4418.6137,1915.3694,1578.7157
317,4909.7931,2210.2312,1677.8769
318,5552.9362,2458.8791,1973.543
319,5855.0953,2567.7773,2128.768
320,5941.2104,2602.1306,2177.5292
321,6079.3312,2650.4955,2260.1654
322,6220.3853,2712.6904,2341.8897
323,6267.3941,2756.1471,2374.9693
324,6283.6356,2794.9244,2364.9173
325,6227.463,2799.5353,2389.6738
326,6143.64,2793.2182,2382.3091
327,6084.3194,2776.0915,2375.8158
328,5978.0246,2715.6003,2335.3762
329,5887.877,2696.0926,2261.5639
330,6302.4894,2902.4769,2311.1235
331,6165.4324,2817.0514,2427.3251
332,5944.6892,2691.287,2417.9999
333,5612.559,2466.1224,2327.0048
334,5210.7076,2245.4108,2168.0936
335,4924.3096,2048.0535,1957.0553
336,4758.4397,2077.2355,1568.2946
337,4493.6695,1948.327,1581.0075
338,4298.354,1873.8269,1511.2428
339,4191.9968,1839.7235,1475.4136
340,4272.4917,1918.9214,1513.8586
341,4399.1429,2079.0444,1595.5471
342,4648.3077,2223.4549,1686.4193
343,4781.3658,2296.4988,1722.2143
344,5115.646,2471.8896,1862.643
345,5398.7783,2552.5516,1976.4589
346,5632.7863,2558.6766,2033.3568
347,5716.5712,2552.3727,2051.6697
348,5673.6686,2491.7472,2029.6161
349,5603.0498,2435.7905,1988.291
350,5532.3721,2362.844,1943.2906
351,5505.4235,2334.8183,1912.8781
352,5433.992,2271.6487,1900.0828
353,5755.5718,2383.7173,2098.6586
354,6351.552,2852.34,2289.6023
355,6230.0657,2829.0173,2244.6626
356,6121.8355,2740.4924,2191.4618
357,5929.7477,2605.2958,2110.6836
358,5672.1972,2456.0508,2000.4404
359,5291.8612,2278.9248,1872.7525
360,4837.9591,2100.2899,1789.0739
361,4567.8925,1988.4028,1634.8899
362,4429.8514,2000.6581,1582.5528
363,4337.8228,2025.3766,1544.8984
364,4314.2439,2118.436,1542.1271
365,4377.6414,2281.4321,1595.3621
366,4535.0304,2385.5273,1671.5081
367,4691.3107,2506.6335,1749.4295
368,4959.2116,2576.7017,1876.0936
369,5240.3843,2555.3194,1981.633
370,5466.1815,2526.0927,2032.1713
371,5570.4266,2470.3465,2038.6023
372,5615.365,2433.1306,2022.9751
373,5624.4664,2386.522,2000.8997
374,5616.1743,2363.194,1980.6776
375,5693.4346,2395.5937,1949.3998
376,5870.9843,2721.3569,2074.0832
377,6418.3043,2911.4224,2484.4817
378,6469.5207,2900.9233,2540.7585
379,6408.4084,2829.6067,2498.6304
380,6216.5267,2663.5955,2421.6239
381,5960.0919,2458.6017,2271.1432
382,5532.6639,2239.3937,2090.2717
383,5141.8961,2116.2576,1902.9365
384,4651.2386,1999.4124,1565.332
385,4529.2987,2013.116,1462.4722
386,4736.4759,2196.3118,1489.9595
387,5228.5424,2528.55,1606.4177
388,5998.4274,3051.7388,1845.779
389,6248.9798,3118.7025,2126.4483
390,6212.9776,2970.0284,2235.8185
391,6219.691,2881.8772,2302.0322
392,6272.1123,2843.2814,2376.4447
393,6242.684,2799.8826,2404.9418
394,6166.1655,2761.0632,2399.4832
395,6168.0939,2711.3841,2389.4032
396,6165.8763,2658.6005,2383.8622
397,6133.9638,2647.7488,2371.915
398,6217.5687,2702.2334,2409.4435
399,6685.131,3030.2028,2579.9893
400,7202.762,3323.3926,2821.1028
401,6982.0596,3166.3268,2774.6052
402,6636.3402,3000.0077,2627.0513
403,6188.0028,2766.875,2450.0169
404,5614.9602,2437.4441,2198.6508
405,5111.0639,2184.1223,1935.3344
406,4858.2333,2092.3481,1744.4141
407,4848.3147,2078.2734,1650.6959
408,4607.8946,2296.9604,1673.4375
409,4471.794,2106.2544,1597.2713
410,4554.4044,2191.6536,1704.4913
411,4804.5828,2371.8368,1938.2634
412,5241.7379,2736.8984,2343.5414
413,5561.8281,3145.5008,2520.7453
414,5740.3699,3313.1709,2537.6233
415,5844.0586,3268.0106,2557.0441
416,5897.2388,3238.4155,2583.632
417,5795.2546,3165.3848,2526.7886
418,5748.3029,3112.4985,2488.2612
419,5689.0342,3061.1869,2458.8678
420,5630.767,3003.745,2409.3191
421,5607.2834,2941.6185,2411.1365
422,5716.4666,2957.1706,2562.3347
423,6099.1664,3250.4524,3012.3286
424,6526.2082,3541.3454,2961.2609
425,6208.0943,3439.0116,2765.462
426,5956.5553,3316.3097,2620.6886
427,5720.5599,3185.8003,2374.0062
428,5528.2367,2910.925,2053.0123
429,5438.7485,2576.9517,1775.0163
430,5390.0024,2297.4445,1601.5002
431,5205.5332,2182.5187,1566.4476
432,4578.371,1836.6189,1550.7193
433,4135.3024,1797.881,1488.3349
434,4162.27,1884.7786,1610.2609
435,4323.4841,2074.2125,1878.0105
436,4631.2444,2404.9944,2221.0378
437,4845.0882,2662.7429,2349.5131
438,5123.2901,2656.9258,2348.8438
439,5318.069,2731.5417,2345.3116
440,5436.5457,2782.6718,2326.1225
441,5574.218,2799.78,2285.8072
442,5607.7405,2756.3312,2268.389
443,5589.3697,2725.2562,2248.2197
444,5567.8284,2711.2183,2245.4547
445,5547.4219,2687.8351,2245.4329
446,5605.7739,2788.5626,2394.8198
447,5844.8439,3071.1612,2795.5386
448,5812.3679,3174.9433,2698.3209
449,5936.1176,2895.8572,2464.7835
450,5904.7961,2762.7589,2341.0136
451,5678.3825,2612.0418,2140.0801
452,5426.33,2417.8602,1894.2239
453,5113.2795,2157.0123,1668.5386
454,4869.0648,1975.2149,1520.7515
455,4639.3293,1857.0449,1519.6686
456,4509.7274,1780.7964,1595.6093
457,4482.2345,1802.3077,1591.8313
458,4436.3657,1781.9922,1536.723
459,4495.9841,1848.6295,1490.8325
460,4825.5392,2051.9224,1535.7847
461,5434.0978,2449.6442,1706.6757
462,5832.3025,2641.1685,1949.1084
463,5953.6105,2678.6054,2092.2711
464,6030.9971,2675.4535,2173.8492
465,6138.9936,2694.1153,2234.3509
466,6145.9588,2735.9763,2265.512
467,6140.6849,2754.5119,2275.5407
468,6134.5619,2766.9277,2270.9628
469,6096.8224,2776.1599,2269.122
470,6049.959,2740.4266,2235.1819
471,5927.5457,2709.1937,2200.1417
472,5708.9709,2594.5888,2115.9602
473,5753.2973,2621.6556,2151.3565
474,6296.9454,2840.6347,2277.9366
475,6637.4272,2981.7642,2513.4639
476,6371.3491,2823.4159,2566.4999
477,5782.5574,2517.4472,2402.1394
478,5178.6764,2177.1041,2123.1119
479,4755.8412,1945.5645,1910.2001
480,4621.0278,1859.9995,1564.4964
481,4678.1273,1937.4149,1487.4028
482,4582.0323,1990.0906,1516.675
483,4523.8482,2179.3904,1641.3427
484,4574.1921,2519.3151,1872.454
485,5077.9983,2763.3336,2082.6614
486,5686.0964,2815.1031,2151.6961
487,6033.7193,2778.0425,2138.9988
488,6100.1955,2746.9753,2147.3111
489,6231.0187,2728.274,2158.3402
490,6331.1022,2706.4601,2161.0835
491,6368.8434,2616.3948,2169.29
492,6383.094,2555.8351,2167.3824
493,6393.2402,2571.3108,2161.8196
494,6346.1621,2634.9093,2157.1796
495,6228.6314,2681.4601,2109.439
496,6275.9571,2681.6837,2075.687
497,6333.7041,2682.0811,2200.7808
498,6773.4689,2843.484,2337.3973
499,6894.666,2758.0664,2241.0867
500,6730.014,2540.7726,2006.3499
501,6258.0078,2261.3654,1741.2985
502,5746.0497,2105.7533,1589.8344
503,5263.7917,1978.1642,1529.1384
504,4534.6834,1816.5692,1764.5041
505,4312.8799,1814.8551,1662.6229
506,4170.7966,1754.3401,1585.5076
507,4114.6362,1715.6233,1535.9557
508,4110.7377,1745.2552,1511.2226
509,4202.0262,1784.4299,1528.7465
510,4328.8522,1820.158,1572.8149
511,4513.1241,1969.2688,1637.983
512,4802.2772,2138.2373,1742.6215
513,5061.5276,2249.8585,1857.2684
514,5195.1439,2330.3864,1936.1125
515,5235.9293,2333.3989,1960.8255
516,5269.5296,2334.8209,1953.4328
517,5268.3689,2314.6002,1911.2052
518,5236.5776,2261.8191,1870.8309
519,5267.8374,2257.0293,1841.3317
520,5265.671,2262.2349,1820.5336
521,5181.1868,2211.6232,1770.821
522,5375.9224,2304.6011,1883.624
523,5621.6726,2396.0437,2120.9719
524,5767.2596,2496.687,2146.5858
525,5510.5911,2460.7116,2057.5373
526,5154.8354,2243.2888,1925.3353
527,4738.9619,1979.4311,1705.9816
528,4691.5773,1875.3858,1529.6988
529,4585.0852,1745.0079,1522.1242
530,4450.0969,1740.2628,1482.6228
531,4369.3042,1746.4273,1467.8826
532,4370.252,1817.8518,1468.7944
533,4547.9109,1977.8011,1537.5975
534,4728.7957,2070.9368,1589.9408
535,4944.3117,2254.0221,1662.4177
536,5355.1364,2465.162,1786.3649
537,5677.1446,2559.8539,1884.594
538,5878.4533,2562.948,1945.161
539,5990.9023,2514.8594,1963.5081
540,5978.7602,2471.3186,1962.5807
541,5908.3595,2427.8145,1943.3124
542,5802.0993,2387.4704,1907.5128
543,5758.8557,2395.249,1878.9441
544,5841.1803,2440.6093,1913.6547
545,6048.3758,2479.663,2033.3117
546,6603.626,2745.0849,2254.6119
547,6630.2958,2861.4354,2237.2559
548,6436.5998,2720.3559,2151.1621
549,6077.1014,2475.0205,2022.6759
550,5514.9363,2158.1896,1847.2521
551,5048.7864,1963.9896,1679.1853
552,4715.4194,2168.4887,1501.0975
553,4528.1345,2093.9017,1518.3214
554,4410.4307,2067.477,1499.0188
555,4347.8703,2048.8704,1533.8444
556,4372.2116,2117.3166,1654.0665
557,4622.7329,2342.789,1892.8052
558,5320.2049,2825.6232,2088.4014
559,5925.406,3042.8802,2228.8534
560,6073.6954,3010.3331,2309.5586
561,6208.6941,2982.4416,2338.966
562,6277.2667,2956.1169,2334.4503
563,6303.843,2934.3636,2325.3288
564,6256.9121,2875.3075,2310.6524
565,6241.5665,2838.0574,2266.6275
566,6189.3115,2788.3705,2272.0861
567,6084.8378,2710.7921,2284.9016
568,6021.2551,2644.31,2382.2967
569,6852.2309,3093.1803,2742.034
570,7020.4206,3333.5969,2704.4201
571,6932.7199,3285.4215,2613.5556
572,6815.4628,3235.603,2446.5203
573,6491.5105,3039.7072,2198.629
574,6032.3587,2729.0277,1953.481
575,5516.773,2450.9847,1767.9633
576,4417.5267,1853.5509,1519.3234
577,4377.9963,1875.1305,1465.158
578,4498.4725,1918.6398,1565.1999
579,4864.2047,2069.3727,1824.0363
580,5529.2742,2330.3995,2263.6355
581,5946.4608,2512.3443,2344.4044
582,5960.3523,2721.9358,2264.6422
583,6011.5851,2807.3139,2296.7897
584,6112.8328,2867.8052,2339.9276
585,6249.7963,2881.7536,2346.3462
586,6369.278,2908.0099,2326.1614
587,6478.2741,2923.4645,2339.9431
588,6598.5201,2921.8451,2321.6006
589,6667.831,2903.1832,2301.3894
590,6695.3499,2892.2921,2284.01
591,6753.8127,2968.5564,2343.0565
592,7299.3088,3276.2524,2653.1441
593,6928.0544,3330.4528,2548.4357
594,6488.9397,3195.3588,2365.8478
595,5987.4099,2996.5742,2107.9465
596,5416.2888,2740.3188,1804.1329
597,4972.5553,2480.835,1568.2044
598,4594.243,2230.7625,1443.3593
599,4407.2923,2041.4259,1409.4145
600,4873.7026,2288.0676,1651.4134
601,5005.335,2402.9198,1574.4613
602,4863.1322,2384.3342,1520.3239
603,4807.6409,2432.6333,1515.7211
604,4987.0291,2585.0382,1586.4552
605,5398.8708,2918.8405,1773.0465
606,6119.842,3418.4725,2123.5893
607,6747.5131,3630.9449,2305.1316
608,6834.595,3486.7476,2355.5952
609,6950.0761,3347.2979,2419.7676
610,6938.0447,3223.2819,2442.7159
611,6853.2705,3089.8099,2467.4133
612,6811.2915,2995.1048,2514.1394
613,6722.3954,2889.5111,2501.2773
614,6648.7618,2847.6344,2438.9193
615,6642.0536,2847.8712,2348.9791
616,6848.0856,2770.3744,2403.4664
617,7329.8702,3421.8244,2774.8353
618,7495.4918,3549.3372,2834.6926
619,7380.409,3510.4624,2749.436
620,7212.0316,3416.9951,2625.4624
621,6848.2105,3230.4737,2414.225
622,6324.6841,2919.9336,2159.9058
623,5771.4247,2626.4834,1995.5593
624,4974.3557,2223.0075,1752.5102
625,4478.6581,2061.6519,1645.1767
626,4322.3206,1998.2455,1586.4474
627,4224.2227,1970.6909,1538.7628
628,4231.432,2022.4498,1537.8914
629,4508.6058,2244.5177,1669.2188
630,5134.3467,2630.8537,1959.2693
631,5705.5769,2894.472,2184.9328
632,6070.0549,2968.9116,2239.12
633,6276.2462,2987.4682,2283.2101
634,6358.931,2987.4235,2290.5826
635,6395.6707,2923.7224,2288.7294
636,6386.4707,2861.6696,2267.5907
637,6287.4804,2793.4655,2249.2233
638,6156.7749,2685.0173,2193.2824
639,5974.8696,2578.2305,2099.7073
640,6100.3496,2679.1949,2148.2618
641,6770.4403,3198.5555,2469.1375
642,6932.5208,3328.965,2569.5153
643,6892.7438,3288.3866,2557.6396
644,6715.9704,3241.4228,2504.3938
645,6387.9015,3073.5159,2357.5309
646,5890.0174,2792.4893,2124.3751
647,5361.5478,2500.6953,1883.9232
648,5129.1393,2049.2414,1636.1874
649,4732.6363,2032.1542,1657.9658
650,4756.8721,1987.2386,1624.8286
651,4952.6108,1993.5978,1649.4187
652,5297.6144,2083.8447,1715.3432
653,5614.9305,2343.2811,1898.916
654,5946.7153,2849.2328,2054.3493
655,6181.749,3111.4422,2172.8223
656,6180.9622,3069.7391,2207.7941
657,6140.3569,3007.7258,2283.0593
658,6023.143,2995.2232,2241.9473
659,5937.4071,2939.2849,2219.9885
660,5866.0067,2881.8483,2193.413
661,5838.5104,2804.2646,2170.4818
662,5987.616,2720.6506,2154.8654
663,6514.8546,2618.2194,2232.493
664,6557.0068,2637.0971,2609.0095
665,6560.373,2989.2008,2722.8301
666,6477.201,3139.9442,2698.778
667,6293.2823,3085.4727,2621.7668
668,5974.6213,3010.7331,2459.5395
669,5576.1032,2832.0482,2243.0643
670,5240.709,2549.4917,2017.3246
671,4877.8202,2273.2181,1863.8736
672,4642.5683,2119.5464,1835.9711
673,4379.8478,1951.9816,1681.686
674,4334.5909,1840.313,1604.5846
675,4326.0183,1759.7062,1537.6193
676,4412.6725,1728.7574,1505.5712
677,4493.6695,1800.2425,1537.8385
678,4741.8727,1933.6908,1606.6789
679,5001.2928,2054.6443,1677.3616
680,5204.9334,2267.2773,1826.0186
681,5359.4756,2487.5916,1970.9848
682,5427.033,2613.1876,2077.3722
683,5386.2389,2623.9235,2109.453
684,5411.6406,2597.4172,2121.324
685,5359.4393,2456.1534,2091.0265
686,5511.3605,2315.0107,2070.7966
687,5913.9648,2152.0567,2002.7716
688,5949.2055,2140.0198,1987.4336
689,5834.3089,2292.6773,1970.7447
690,6156.1994,2486.7905,2205.5141
691,6118.3231,2534.7528,2402.4768
692,5814.1153,2536.1249,2356.5397
693,5429.9725,2501.7584,2258.2204
694,5046.5837,2354.1275,2096.5691
695,4640.626,2114.954,1891.8467
696,4560.2773,1891.3009,1501.1348
697,4519.9844,1860.0338,1487.2193
698,4368.8984,1909.526,1520.215
699,4298.4232,2024.2177,1601.8538
700,4254.6837,2152.9814,1703.7381
701,4349.9469,2215.221,1796.4837
702,4559.2534,2316.1459,1877.2604
703,4747.4981,2390.8487,1928.7494
704,5020.3353,2442.2787,1971.0003
705,5292.9146,2440.9408,1975.5611
706,5431.6368,2420.8122,1969.0367
707,5407.0964,2399.143,1965.2867
708,5357.026,2360.3367,1949.6362
