hour,Area_1,Area_2,Area_3
204,1109.4693,1137.6672,1707.6558
205,1090.7843,1122.8632,1723.434
206,1081.618,1114.3397,1708.1066
207,1087.6113,1123.7604,1699.5413
208,1157.4159,1177.1447,1683.3122
209,1284.3333,1381.7094,1853.2664
210,1286.8011,1419.841,1852.3648
211,1268.116,1406.3828,1763.5558
212,1227.9255,1366.0082,1678.8042
213,1144.0191,1296.9227,1559.7912
214,1057.2922,1213.0332,1419.5903
215,1011.4609,1148.8824,1292.012
216,1002.6472,1112.9939,1204.1047
217,1003.3523,1096.3954,1161.7289
218,1020.2746,1090.5635,1144.1474
219,1066.1059,1097.2926,1135.1313
220,1182.7994,1125.5549,1141.8934
221,1365.7719,1194.1917,1211.3176
222,1425.7051,1264.1744,1360.5346
223,1354.4904,1240.8468,1465.5726
224,1255.0717,1222.9026,1558.4388
225,1191.6131,1213.9304,1643.1904
226,1154.2429,1206.3041,1694.5824
227,1121.1034,1187.4626,1721.6308
228,1094.6623,1170.8642,1718.926
229,1087.6113,1158.3032,1712.6147
230,1071.3941,1142.6019,1689.1727
231,1075.9772,1134.527,1644.5429
232,1126.3916,1175.7988,1643.1904
233,1221.2271,1345.8209,1767.1623
234,1201.837,1364.2138,1764.4574
235,1181.7417,1345.8209,1688.2711
236,1151.07,1318.4558,1621.1009
237,1087.9639,1276.7354,1525.9807
238,1015.6915,1215.2762,1414.6314
239,971.2704,1152.0227,1305.0854
240,950.4701,1115.2369,1217.6289
241,944.8293,1097.7412,1166.2369
242,945.8869,1085.6288,1141.4426
243,962.4567,1083.8344,1121.1563
244,998.4166,1088.3205,1121.1563
245,1065.0482,1106.7134,1140.9918
246,1133.7952,1132.7326,1180.212
247,1171.1653,1117.9285,1212.67
248,1169.4025,1134.527,1317.708
249,1141.1987,1143.0505,1429.9589
250,1121.456,1132.7326,1508.3992
251,1087.9639,1121.966,1507.4976
252,1066.811,1111.1994,1482.7033
253,1038.6071,1105.3675,1443.9339
254,1031.2036,1099.9843,1409.2218
255,1037.902,1109.8536,1385.7798
256,1097.1301,1164.5837,1407.4185
257,1194.4334,1320.6989,1576.9219
258,1178.9213,1326.5308,1635.0759
259,1152.8328,1309.9323,1591.3477
260,1112.2897,1279.8756,1544.9146
261,1052.3565,1234.5663,1474.5887
262,984.6672,1184.3224,1377.6653
263,946.2395,1133.6298,1289.758
264,920.5035,1098.6384,1221.2354
265,909.2219,1083.3858,1172.5482
266,899.3506,1069.0304,1147.3031
267,902.171,1065.4415,1126.566
268,933.5477,1071.722,1126.566
269,991.7182,1090.5635,1138.7377
270,1047.7734,1111.648,1157.2208
271,1081.9706,1092.8065,1169.3926
272,1089.3741,1109.405,1222.137
273,1086.2011,1125.1062,1272.6273
274,1071.7467,1121.5174,1305.987
275,1057.9973,1132.7326,1301.479
276,1035.4342,1120.6202,1316.8064
277,1013.5762,1121.0688,1305.0854
278,1014.6338,1117.0313,1288.4056
279,1031.2036,1122.8632,1285.7007
280,1105.5913,1180.7335,1324.4701
281,1235.329,1386.1955,1535.8984
282,1235.6816,1423.8785,1640.9364
283,1206.4201,1404.5884,1632.3711
284,1171.1653,1370.0456,1574.6678
285,1114.0524,1327.428,1499.8339
286,1036.8444,1274.0438,1407.4185
287,999.8268,1208.0985,1304.6346
288,993.481,1167.7239,1224.8418
289,997.0064,1148.4338,1170.745
290,1012.5186,1139.0131,1152.7127
291,1062.2279,1146.1908,1142.3442
292,1151.4226,1171.3128,1157.2208
293,1282.218,1228.7345,1218.0797
294,1354.8429,1291.0908,1332.5846
295,1351.67,1257.4453,1395.2468
296,1309.7167,1269.5577,1494.875
297,1279.045,1287.502,1584.1348
298,1240.2647,1265.9688,1629.2154
299,1188.4401,1240.3982,1631.9203
300,1153.5379,1217.9679,1607.1259
301,1118.9881,1195.0889,1602.6178
302,1106.2964,1178.0419,1572.8646
303,1118.9881,1171.3128,1548.0702
304,1232.1561,1240.8468,1569.2581
305,1360.4837,1473.6739,1761.7526
306,1369.2974,1510.011,1804.5792
307,1346.7343,1517.6373,1761.7526
308,1313.5948,1475.9169,1677.9026
309,1218.7593,1412.2147,1571.5122
310,1126.3916,1326.0822,1441.6798
311,1107.0015,1239.501,1312.7491
312,1098.1878,1191.9487,1221.6862
313,1104.8862,1175.7988,1169.8434
314,1131.3273,1165.9295,1150.0079
315,1188.0876,1177.1447,1141.4426
316,1320.9983,1211.6874,1154.516
317,1526.8864,1310.8295,1233.858
318,1603.0369,1419.841,1408.3202
319,1500.4453,1375.8775,1525.5299
320,1370.7076,1327.8766,1618.8469
321,1286.096,1287.9506,1660.7719
322,1218.0542,1253.8564,1713.5163
323,1175.0433,1218.4165,1710.8115
324,1135.2053,1191.0515,1717.1227
325,1110.8795,1166.3781,1695.9348
326,1093.9572,1153.8171,1688.2711
327,1108.0591,1152.4713,1654.9114
328,1191.2605,1226.0428,1645.8953
329,1346.0292,1436.8881,1883.0196
330,1360.8362,1477.7113,1919.535
331,1353.4327,1464.7017,1820.8083
332,1325.5814,1421.6354,1730.1961
333,1221.9322,1343.1292,1621.1009
334,1138.7308,1252.062,1461.0645
335,1094.3097,1164.5837,1320.4128
336,1084.0858,1130.9381,1228.8991
337,1083.3808,1116.1341,1172.5482
338,1099.2454,1108.0592,1147.3031
339,1153.5379,1113.4425,1137.8361
340,1293.147,1146.1908,1158.5732
341,1481.0552,1226.0428,1227.0959
342,1547.3342,1331.0168,1417.7871
343,1469.4211,1289.745,1527.7839
344,1351.67,1252.5106,1605.7735
345,1264.9431,1222.9026,1666.1816
346,1199.3691,1213.4818,1722.0816
347,1161.6465,1196.8834,1740.1139
348,1131.3273,1187.4626,1729.7453
349,1107.354,1177.1447,1721.18
350,1094.6623,1160.5462,1695.9348
351,1104.8862,1152.9199,1684.6647
352,1182.7994,1217.9679,1732.4502
353,1330.1645,1409.0745,1905.5599
354,1338.9782,1440.0283,1919.535
355,1328.0492,1414.4577,1869.0446
356,1289.6215,1363.7652,1765.8099
357,1181.0366,1287.502,1640.4856
358,1082.3231,1192.8459,1466.925
359,1036.4918,1121.5174,1325.8225
360,1021.3323,1084.283,1227.5467
361,1017.4542,1071.722,1188.3265
362,1018.1593,1071.2734,1158.1224
363,1064.3431,1077.5539,1147.7539
364,1167.6398,1094.1524,1162.6305
365,1336.5104,1152.0227,1232.9563
366,1412.6608,1243.5385,1394.796
367,1341.0935,1238.6038,1508.3992
368,1266.0007,1235.015,1590.8969
369,1221.2271,1221.1081,1648.6001
370,1194.0809,1189.7057,1693.6808
371,1170.1076,1179.3877,1704.5002
372,1151.4226,1168.1725,1692.7792
373,1136.263,1155.1629,1686.9187
374,1123.2187,1147.9852,1662.5751
375,1140.141,1147.5366,1633.2727
376,1211.7083,1201.3694,1642.7396
377,1351.67,1405.4856,1828.0212
378,1355.548,1457.524,1884.372
379,1334.7476,1458.8698,1830.2752
380,1303.3709,1418.4952,1762.6542
381,1200.4268,1344.4751,1647.6985
382,1114.405,1246.6787,1494.4242
383,1078.4451,1169.5183,1351.0677
384,1073.8619,1143.4991,1254.5951
385,1077.3874,1128.2465,1200.4983
386,1097.4827,1125.5549,1171.6466
387,1145.0767,1137.6672,1166.2369
388,1270.9364,1170.4156,1179.3103
389,1458.1395,1256.0995,1253.6935
390,1543.1037,1363.7652,1417.3363
391,1442.98,1331.4654,1540.8573
392,1324.1712,1300.9602,1608.9291
393,1241.3224,1272.2493,1670.2388
394,1178.2162,1240.8468,1690.0743
395,1136.263,1205.4069,1706.7542
396,1104.5336,1182.9765,1686.9187
397,1080.2078,1172.21,1671.5913
398,1061.8753,1147.9852,1649.9525
399,1072.0992,1139.0131,1613.888
400,1133.0901,1187.4626,1604.8719
401,1258.2447,1379.4664,1774.826
402,1276.5772,1431.5048,1788.801
403,1264.5905,1429.7104,1735.6058
404,1260.36,1409.0745,1659.4195
405,1202.8946,1370.0456,1580.5283
406,1135.9104,1296.4741,1473.2363
407,1105.2387,1231.4261,1352.8709
408,1093.6047,1197.7806,1264.9636
409,1098.1878,1177.1447,1201.8507
410,1110.527,1167.2753,1169.3926
411,1141.5512,1172.6586,1154.9668
412,1201.4844,1191.9487,1156.77
413,1300.1979,1233.6691,1184.2692
414,1388.335,1277.184,1235.6612
415,1406.3149,1252.5106,1272.6273
416,1345.3241,1248.9218,1361.4363
417,1276.5772,1245.3329,1420.9427
418,1201.4844,1215.7249,1455.204
419,1136.9681,1169.0697,1451.1468
420,1087.6113,1145.2936,1430.4097
421,1057.9973,1121.966,1392.5419
422,1034.7291,1110.3022,1364.5919
423,1043.1903,1106.7134,1339.3467
424,1108.0591,1159.2004,1354.2233
425,1233.5663,1349.4097,1506.1452
426,1241.3224,1392.9246,1596.3065
427,1226.1628,1383.9525,1554.8323
428,1206.4201,1365.111,1507.0468
429,1162.7041,1332.3627,1448.4419
430,1111.9372,1287.502,1374.5096
431,1084.7909,1225.1456,1327.6258
432,1076.3298,1189.7057,1221.2354
433,1080.9129,1163.2378,1169.8434
434,1096.0725,1153.3685,1141.8934
435,1124.2763,1146.1908,1126.566
436,1177.5111,1151.5741,1125.2135
437,1255.0717,1159.2004,1141.4426
438,1331.9273,1181.1821,1166.2369
439,1354.8429,1168.6211,1174.8023
440,1301.9607,1191.9487,1228.8991
441,1229.3357,1195.5375,1274.8814
442,1167.2872,1175.3502,1309.1427
443,1124.9814,1160.9948,1317.2572
444,1083.0282,1139.9103,1316.8064
445,1047.0683,1121.5174,1315.9048
446,1028.3832,1104.0217,1304.6346
447,1046.0106,1110.3022,1298.3233
448,1113.3474,1156.9573,1327.1749
449,1260.0074,1345.3723,1492.1702
450,1285.7434,1393.3732,1593.1509
451,1268.8211,1390.6816,1580.9791
452,1222.6373,1358.8305,1541.3081
453,1136.6155,1298.2685,1470.0807
454,1060.8177,1232.3233,1357.379
455,1021.3323,1169.0697,1257.2999
456,1013.5762,1130.0409,1179.3103
457,1016.7491,1114.7883,1149.1063
458,1028.0307,1112.9939,1133.7789
459,1080.2078,1124.6576,1123.8611
460,1196.5487,1158.7518,1137.3853
461,1387.9824,1242.6413,1205.9079
462,1459.5497,1344.0264,1356.9282
463,1374.2331,1315.3156,1453.8516
464,1283.9807,1289.745,1546.7178
465,1225.8102,1268.6605,1616.5928
466,1181.0366,1238.6038,1663.4767
467,1154.5955,1206.3041,1683.3122
468,1127.0967,1191.5001,1686.9187
469,1101.7133,1170.8642,1688.2711
470,1090.7843,1156.9573,1674.2961
471,1097.8352,1147.5366,1655.813
472,1158.4735,1195.0889,1643.6413
473,1292.4419,1400.1023,1784.7438
474,1299.8454,1454.3838,1826.218
475,1271.289,1445.4116,1759.4986
476,1214.5287,1409.0745,1690.0743
477,1118.6356,1325.185,1569.709
478,1032.2613,1237.7066,1418.2379
479,982.1994,1158.3032,1299.6757
480,970.9179,1119.723,1207.2604
481,963.5143,1105.3675,1162.1797
482,978.3214,1106.7134,1133.7789
483,1015.3389,1119.723,1123.8611
484,1127.0967,1156.0601,1137.3853
485,1288.5638,1235.4636,1202.3015
486,1350.6123,1334.1571,1362.7887
487,1285.7434,1292.8853,1454.7532
488,1227.9255,1275.8382,1547.6194
489,1186.3248,1259.6883,1619.2977
490,1151.7751,1217.5193,1683.3122
491,1134.8528,1197.7806,1727.9421
492,1117.5779,1176.696,1740.1139
493,1122.8662,1161.892,1744.1711
494,1099.2454,1160.0976,1740.5647
495,1099.2454,1156.0601,1703.5985
496,1144.3716,1188.8084,1670.2388
497,1275.167,1383.0552,1812.6938
498,1267.0584,1444.0658,1862.7333
499,1237.0918,1431.5048,1790.1534
500,1191.9656,1396.5135,1654.9114
501,1087.9639,1328.7738,1541.3081
502,995.9488,1233.6691,1404.2629
503,950.4701,1165.0323,1270.3733
504,934.9579,1125.1062,1193.2854
505,933.1952,1105.8162,1154.9668
506,940.5987,1100.4329,1136.9345
507,979.379,1106.7134,1122.0579
508,1080.9129,1137.2186,1130.1724
509,1259.3023,1214.8276,1198.695
510,1366.8295,1313.9698,1348.8137
511,1305.8387,1278.5298,1474.1379
512,1218.4067,1248.4732,1533.6444
513,1172.928,1228.7345,1602.6178
514,1142.9614,1194.1917,1649.9525
515,1135.5579,1174.453,1677.0009
516,1121.456,1159.649,1670.6897
517,1110.8795,1147.088,1664.8292
518,1101.7133,1134.9756,1649.0509
519,1110.527,1132.7326,1619.7485
520,1163.0567,1181.1821,1613.4372
521,1295.6148,1341.7834,1766.2607
522,1305.4861,1388.8871,1820.8083
523,1281.8654,1374.5317,1772.1212
524,1240.9698,1341.7834,1677.9026
525,1134.8528,1279.8756,1560.6928
526,1051.6514,1187.9112,1421.8444
527,1011.8135,1130.9381,1299.2249
528,1000.5319,1101.3301,1214.9241
529,1007.9354,1092.3579,1175.2531
530,1027.6781,1088.7691,1158.1224
531,1084.0858,1093.7038,1140.541
532,1212.766,1122.8632,1150.0079
533,1403.8471,1194.1917,1208.6128
534,1478.2348,1293.7825,1363.6903
535,1398.5589,1250.2676,1468.2774
536,1291.7368,1244.4357,1561.5944
537,1220.522,1228.7345,1631.9203
538,1162.7041,1195.9861,1669.788
539,1130.2697,1180.2849,1692.3284
540,1107.7066,1163.6864,1714.8687
541,1083.0282,1147.5366,1681.509
542,1081.9706,1134.527,1659.8703
543,1095.0148,1132.284,1629.2154
544,1156.7108,1165.9295,1618.8469
545,1293.4995,1351.6528,1746.4252
546,1307.6014,1405.4856,1814.497
547,1286.8011,1396.5135,1773.0228
548,1248.3733,1367.8026,1690.0743
549,1149.6598,1293.7825,1574.217
550,1058.3498,1215.7249,1442.5815
551,1029.4409,1139.4617,1305.0854
552,1018.1593,1099.087,1226.1942
553,1025.5628,1082.4886,1177.9579
554,1047.0683,1070.3762,1163.9829
555,1103.8286,1073.0678,1150.9095
556,1223.695,1088.3205,1155.8684
557,1405.2573,1146.1908,1221.6862
558,1478.5873,1236.3608,1382.1734
559,1401.0267,1209.4444,1470.0807
560,1294.9097,1194.6403,1561.1436
561,1239.9122,1194.6403,1624.2566
562,1182.4468,1182.5279,1663.4767
563,1142.6089,1165.9295,1675.6485
564,1112.2897,1160.9948,1665.28
565,1090.7843,1139.9103,1656.2638
566,1082.3231,1133.1812,1631.9203
567,1085.1435,1121.5174,1605.7735
568,1134.5002,1151.5741,1599.4622
569,1246.9631,1314.867,1731.0978
570,1256.4819,1357.036,1770.3179
571,1237.4443,1344.4751,1704.0494
572,1216.2914,1312.624,1642.2888
573,1148.2496,1277.6326,1550.7751
574,1082.3231,1226.0428,1434.9177
575,1048.1259,1160.0976,1313.1999
576,1034.7291,1123.7604,1231.6039
577,1039.6648,1108.0592,1179.3103
578,1048.4785,1099.087,1148.2047
579,1076.3298,1098.1898,1141.4426
580,1139.0834,1104.4703,1142.795
581,1225.4577,1133.6298,1166.6878
582,1307.954,1159.649,1215.3749
583,1319.9406,1139.4617,1246.9314
584,1286.096,1157.4059,1336.1911
585,1227.573,1173.5558,1402.4597
586,1173.2806,1158.3032,1443.4831
587,1119.6932,1149.331,1447.0895
588,1081.2655,1134.527,1427.7048
589,1049.1836,1117.0313,1394.796
590,1030.8511,1106.7134,1367.7475
591,1043.8953,1108.9564,1340.2483
592,1100.6556,1152.0227,1342.9532
593,1214.8812,1326.0822,1475.4904
594,1223.695,1360.6249,1577.8235
595,1205.715,1344.0264,1554.8323
596,1181.0366,1318.0072,1509.3009
597,1127.0967,1277.6326,1448.4419
598,1065.7533,1241.2955,1365.9443
599,1034.3765,1182.9765,1280.7419
600,1017.8068,1144.845,1207.2604
601,1016.3966,1122.8632,1154.0652
602,1019.5695,1113.8911,1130.6232
603,1045.6581,1113.4425,1118.9022
604,1085.8486,1119.723,1113.9434
605,1156.3582,1145.7422,1131.9756
606,1223.3424,1166.3781,1150.9095
607,1240.6173,1144.3963,1157.2208
608,1203.9523,1151.1255,1214.4733
609,1156.3582,1156.0601,1260.9064
610,1109.4693,1134.527,1290.6596
611,1075.6247,1120.1716,1299.2249
612,1039.3122,1106.7134,1299.6757
613,1023.095,1092.8065,1292.9136
614,1013.2237,1083.3858,1290.6596
615,1019.9221,1085.1802,1292.012
616,1079.1502,1114.7883,1333.0354
617,1262.8278,1269.5577,1459.2613
618,1248.0208,1332.3627,1564.7501
619,1222.6373,1326.5308,1553.9307
620,1181.3892,1298.2685,1526.4315
621,1101.3607,1252.062,1463.3186
622,1013.9287,1186.1168,1357.379
623,983.9621,1137.2186,1248.7346
624,977.6163,1102.6759,1182.0152
625,980.7892,1088.7691,1146.4015
626,1001.9421,1085.6288,1133.3281
627,1055.5294,1090.1149,1128.3692
628,1179.979,1118.3771,1137.3853
629,1373.8805,1197.332,1208.6128
630,1442.98,1298.7171,1374.5096
631,1358.7209,1261.9314,1473.6871
632,1265.6482,1243.5385,1567.4549
633,1206.4201,1224.2484,1633.2727
634,1159.1786,1198.6778,1681.509
635,1139.7885,1174.9016,1704.5002
636,1109.8219,1165.4809,1714.4179
637,1093.2521,1159.2004,1700.4429
638,1092.8996,1151.1255,1685.5663
639,1087.6113,1144.3963,1650.4034
640,1133.4426,1169.9669,1650.4034
641,1258.9498,1341.7834,1759.9494
642,1273.0517,1401.8967,1827.1196
643,1241.3224,1385.2983,1783.3913
644,1194.0809,1343.1292,1709.9098
645,1094.6623,1274.0438,1587.2904
646,1004.0574,1187.9112,1443.4831
647,965.6296,1110.3022,1319.5112
648,955.0532,1078.4511,1204.5555
649,950.4701,1064.0957,1157.6716
650,971.623,1056.0208,1137.8361
651,1020.6272,1060.0582,1123.4103
652,1140.4936,1082.04,1132.4264
653,1318.883,1139.4617,1195.5394
654,1383.3993,1211.2388,1344.3056
655,1293.147,1186.1168,1431.3113
656,1212.766,1178.4905,1509.7517
657,1167.6398,1187.4626,1574.6678
658,1142.6089,1175.3502,1628.3138
659,1116.8728,1165.9295,1648.1493
660,1101.0082,1165.4809,1642.2888
661,1083.0282,1147.9852,1645.4445
662,1081.618,1101.7787,1632.8219
663,1087.9639,1095.0496,1609.8308
664,1128.8595,1120.1716,1598.5606
665,1255.4243,1261.0342,1719.8276
666,1271.9941,1319.3531,1770.3179
667,1250.1361,1303.2032,1720.7292
668,1197.6064,1272.2493,1650.8542
669,1106.2964,1210.3416,1533.6444
670,1019.5695,1135.8728,1399.304
671,986.0774,1078.0025,1279.3894
672,978.6739,1047.9459,1221.6862
673,979.7316,1036.2821,1180.6628
674,994.8911,1030.8988,1151.3603
675,1040.7224,1032.6932,1145.9506
676,1161.999,1047.9459,1151.8111
677,1330.8696,1095.9468,1215.8257
678,1384.1044,1140.8075,1379.9193
679,1324.8763,1158.7518,1479.0968
680,1247.6682,1147.5366,1571.0614
681,1199.0166,1165.9295,1623.8058
682,1156.0057,1167.7239,1676.5501
683,1123.5713,1165.9295,1688.7219
684,1109.1168,1158.3032,1690.976
685,1093.2521,1150.2282,1701.7953
686,1087.9639,1153.3685,1681.509
687,1092.547,1146.1908,1654.9114
688,1123.9238,1166.3781,1632.8219
689,1244.4953,1311.2781,1737.409
690,1259.6549,1367.8026,1814.0462
691,1244.8478,1357.9333,1758.1462
692,1201.1319,1313.5212,1691.4268
693,1108.4117,1255.2023,1571.0614
694,1020.6272,1178.9391,1425.0
695,989.9555,1108.0592,1306.8886
696,977.9688,1071.2734,1215.3749
697,982.1994,1059.161,1168.9418
698,995.9488,1056.4694,1144.5982
699,1048.1259,1059.6096,1136.4837
700,1162.7041,1081.1428,1141.8934
701,1341.7986,1139.4617,1209.5144
702,1390.0977,1218.4165,1360.9854
703,1313.2422,1195.9861,1479.0968
704,1221.5797,1194.6403,1559.3404
705,1171.8704,1181.6307,1625.1582
706,1133.7952,1173.5558,1672.9437
707,1111.2321,1160.9948,1695.484
708,1101.7133,1159.2004,1697.7381
709,1090.4317,1158.3032,1702.6969
710,1084.0858,1152.4713,1696.8364
