name,node,technology,max_mw,min_mw,heat_rate_slope_mmbtu_per_mwh,heat_rate_intercept_mmbtu_per_hr,fuel_cost_per_mmbtu,vom_cost_per_mwh,startup_cost,shutdown_cost,ramp_rate_mw_per_hr,min_up_time_hr,min_down_time_hr,num_units
115_STEAM_2,Area_1,steam,12.0,5.0,12.341999999556004,24.99000002221198,10.3494,0.0,393.2772,0.0,60.0,4,2,1
115_STEAM_3,Area_1,steam,155.0,62.0,11.028666666666664,25.874666666666712,2.11399,0.0,14569.830479,0.0,180.0,8,8,1
116_STEAM_1,Area_1,steam,155.0,62.0,10.254666666666667,184.96666666666658,2.11399,0.0,14569.830479,0.0,180.0,8,8,1
118_CC_1,Area_1,cc,355.0,170.0,7.099666664188063,26.74666706364269,3.88722,0.0,12425.887452,0.0,248.39999999999998,8,5,1
123_STEAM_2,Area_1,steam,155.0,62.0,11.5234,0.0,2.11399,0.0,14569.830479,0.0,180.0,8,8,1
123_STEAM_3,Area_1,steam,350.0,140.0,10.260000000000002,258.4399999999996,2.11399,0.0,20649.877118,0.0,240.0,24,48,1
123_CT_1,Area_1,ct,55.0,22.0,7.474,115.52199999999999,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
123_CT_4,Area_1,ct,55.0,22.0,7.474,115.52199999999999,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
123_CT_5,Area_1,ct,55.0,22.0,7.474,115.52199999999999,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
201_CT_1,Area_2,ct,20.0,8.0,8.952666666666666,40.19466666666668,10.3494,0.0,51.747,0.0,180.0,1,1,1
201_CT_2,Area_2,ct,20.0,8.0,8.952666666666666,40.19466666666668,10.3494,0.0,51.747,0.0,180.0,1,1,1
201_STEAM_3,Area_2,steam,76.0,30.0,11.256666666666666,51.969999986141374,2.11399,0.0,7144.017806,0.0,120.0,8,4,1
202_CT_1,Area_2,ct,20.0,8.0,8.577333333333334,40.68533333333333,10.3494,0.0,51.747,0.0,180.0,1,1,1
202_CT_2,Area_2,ct,20.0,8.0,8.577333333333334,40.68533333333333,10.3494,0.0,51.747,0.0,180.0,1,1,1
202_STEAM_3,Area_2,steam,76.0,30.0,10.987,25.76999999312801,2.11399,0.0,7144.017806,0.0,120.0,8,4,1
202_STEAM_4,Area_2,steam,76.0,30.0,10.987,25.76999999312801,2.11399,0.0,7144.017806,0.0,120.0,8,4,1
207_CT_1,Area_2,ct,55.0,22.0,9.746666666666664,72.6953333333334,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
207_CT_2,Area_2,ct,55.0,22.0,9.746666666666664,72.6953333333334,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
213_CC_3,Area_2,cc,355.0,170.0,7.353999998042704,79.90000025989025,3.88722,0.0,12425.887452,0.0,248.39999999999998,8,5,1
213_CT_1,Area_2,ct,55.0,22.0,7.432666666666667,125.23133333333334,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
213_CT_2,Area_2,ct,55.0,22.0,7.432666666666667,125.23133333333334,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
215_CT_4,Area_2,ct,55.0,22.0,7.358666666666667,151.14733333333334,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
215_CT_5,Area_2,ct,55.0,22.0,7.358666666666667,151.14733333333334,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
216_STEAM_1,Area_2,steam,155.0,62.0,10.103333333333335,48.21533333333332,2.11399,0.0,14569.830479,0.0,180.0,8,8,1
218_CC_1,Area_2,cc,355.0,170.0,6.206999998428406,880.2599994645807,3.88722,0.0,12425.887452,0.0,248.39999999999998,8,5,1
221_CC_1,Area_2,cc,355.0,170.0,7.1222018767429995,0.0,3.88722,0.0,12425.887452,0.0,248.39999999999998,8,5,1
223_STEAM_1,Area_2,steam,155.0,62.0,9.325666666666665,94.94266666666681,2.11399,0.0,14569.830479,0.0,180.0,8,8,1
223_STEAM_2,Area_2,steam,155.0,62.0,9.325666666666665,94.94266666666681,2.11399,0.0,14569.830479,0.0,180.0,8,8,1
223_STEAM_3,Area_2,steam,350.0,140.0,10.493333333333332,102.99333333333334,2.11399,0.0,20649.877118,0.0,240.0,24,48,1
223_CT_4,Area_2,ct,55.0,22.0,10.165333333333336,211.83066666666662,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
223_CT_5,Area_2,ct,55.0,22.0,10.165333333333336,211.83066666666662,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
223_CT_6,Area_2,ct,55.0,22.0,10.165333333333336,211.83066666666662,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
301_CT_1,Area_3,ct,20.0,8.0,9.415,41.42400000000001,10.3494,0.0,51.747,0.0,180.0,1,1,1
301_CT_2,Area_3,ct,20.0,8.0,9.415,41.42400000000001,10.3494,0.0,51.747,0.0,180.0,1,1,1
301_CT_3,Area_3,ct,55.0,22.0,8.703666666666667,96.49933333333334,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
301_CT_4,Area_3,ct,55.0,22.0,8.703666666666667,96.49933333333334,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
302_CT_1,Area_3,ct,20.0,8.0,9.415,41.42400000000001,10.3494,0.0,51.747,0.0,180.0,1,1,1
302_CT_2,Area_3,ct,20.0,8.0,9.415,41.42400000000001,10.3494,0.0,51.747,0.0,180.0,1,1,1
302_CT_3,Area_3,ct,55.0,22.0,9.501999999999999,129.64600000000002,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
302_CT_4,Area_3,ct,55.0,22.0,9.501999999999999,129.64600000000002,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
307_CT_1,Area_3,ct,55.0,22.0,7.939666666666666,119.09333333333336,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
307_CT_2,Area_3,ct,55.0,22.0,7.939666666666666,119.09333333333336,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
313_CC_1,Area_3,cc,355.0,170.0,6.537666661887281,237.3766672627305,3.88722,0.0,12425.887452,0.0,248.39999999999998,8,5,1
315_STEAM_1,Area_3,steam,12.0,5.0,9.660333333403049,23.748333351983426,10.3494,0.0,393.2772,0.0,60.0,4,2,1
315_STEAM_2,Area_3,steam,12.0,5.0,9.660333333403049,23.748333351983426,10.3494,0.0,393.2772,0.0,60.0,4,2,1
315_STEAM_3,Area_3,steam,12.0,5.0,9.660333333403049,23.748333351983426,10.3494,0.0,393.2772,0.0,60.0,4,2,1
315_STEAM_4,Area_3,steam,12.0,5.0,9.660333333403049,23.748333351983426,10.3494,0.0,393.2772,0.0,60.0,4,2,1
315_STEAM_5,Area_3,steam,12.0,5.0,9.660333333403049,23.748333351983426,10.3494,0.0,393.2772,0.0,60.0,4,2,1
315_CT_6,Area_3,ct,55.0,22.0,7.301999999999999,66.88000000000002,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
315_CT_7,Area_3,ct,55.0,22.0,7.301999999999999,66.88000000000002,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
315_CT_8,Area_3,ct,55.0,22.0,7.301999999999999,66.88000000000002,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
316_STEAM_1,Area_3,steam,155.0,62.0,10.987,53.25800000000004,2.11399,0.0,14569.830479,0.0,180.0,8,8,1
318_CC_1,Area_3,cc,355.0,170.0,7.344666665824902,103.24666671563,3.88722,0.0,12425.887452,0.0,248.39999999999998,8,5,1
321_CC_1,Area_3,cc,355.0,170.0,7.081999997632055,24.65000038007588,3.88722,0.0,12425.887452,0.0,248.39999999999998,8,5,1
322_CT_5,Area_3,ct,55.0,22.0,6.665333333333334,118.77066666666667,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
322_CT_6,Area_3,ct,55.0,22.0,6.665333333333334,118.77066666666667,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
323_CC_1,Area_3,cc,355.0,170.0,7.486441313858,0.0,3.88722,0.0,12425.887452,0.0,248.39999999999998,8,5,1
323_CC_2,Area_3,cc,355.0,170.0,7.486441313858,0.0,3.88722,0.0,12425.887452,0.0,248.39999999999998,8,5,1
121_NUCLEAR_1,Area_1,nuclear,400.0,396.0,0.0,3960.0,0.81035,0.0,8102.68965,0.0,1200.0,24,48,1
122_HYDRO_1,Area_1,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
122_HYDRO_2,Area_1,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
122_HYDRO_3,Area_1,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
122_HYDRO_4,Area_1,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
122_HYDRO_5,Area_1,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
122_HYDRO_6,Area_1,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
201_HYDRO_4,Area_2,ror,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
215_HYDRO_1,Area_2,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
215_HYDRO_2,Area_2,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
215_HYDRO_3,Area_2,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
222_HYDRO_1,Area_2,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
222_HYDRO_2,Area_2,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
222_HYDRO_3,Area_2,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
222_HYDRO_4,Area_2,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
222_HYDRO_5,Area_2,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
222_HYDRO_6,Area_2,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
322_HYDRO_1,Area_3,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
322_HYDRO_2,Area_3,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
322_HYDRO_3,Area_3,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
322_HYDRO_4,Area_3,hydro,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,1,1
320_PV_1,Area_3,pv,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6,1,1,1
314_PV_1,Area_3,pv,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6,1,1,1
314_PV_2,Area_3,pv,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6,1,1,1
313_PV_1,Area_3,pv,95.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1,1,1,1
314_PV_3,Area_3,pv,92.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7,1,1,1
314_PV_4,Area_3,pv,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6,1,1,1
313_PV_2,Area_3,pv,93.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,1,1,1
310_PV_1,Area_3,pv,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.7,1,1,1
324_PV_1,Area_3,pv,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.7,1,1,1
312_PV_1,Area_3,pv,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,1,1,1
310_PV_2,Area_3,pv,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6,1,1,1
324_PV_2,Area_3,pv,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6,1,1,1
324_PV_3,Area_3,pv,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1,1,1
113_PV_1,Area_1,pv,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6,1,1,1
319_PV_1,Area_3,pv,188.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.2,1,1,1
215_PV_1,Area_2,pv,125.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.1,1,1,1
102_PV_1,Area_1,pv,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,1,1,1
101_PV_1,Area_1,pv,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,1,1,1
102_PV_2,Area_1,pv,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,1,1,1
104_PV_1,Area_1,pv,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,1,1,1
212_CSP_1,Area_2,csp,200.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,200.0,1,1,1
101_PV_2,Area_1,pv,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,1,1,1
101_PV_3,Area_1,pv,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,1,1,1
101_PV_4,Area_1,pv,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,1,1,1
103_PV_1,Area_1,pv,61.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,1,1,1
119_PV_1,Area_1,pv,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.6,1,1,1
308_RTPV_1,Area_3,rtpv,100.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.9,1,1,1
313_RTPV_1,Area_3,rtpv,101.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.7,1,1,1
313_RTPV_2,Area_3,rtpv,63.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.1,1,1,1
313_RTPV_3,Area_3,rtpv,65.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.4,1,1,1
313_RTPV_4,Area_3,rtpv,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1,1,1
313_RTPV_5,Area_3,rtpv,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8,1,1,1
313_RTPV_6,Area_3,rtpv,63.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.8,1,1,1
313_RTPV_7,Area_3,rtpv,64.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1,1,1,1
313_RTPV_8,Area_3,rtpv,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.6,1,1,1
313_RTPV_9,Area_3,rtpv,62.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.4,1,1,1
313_RTPV_10,Area_3,rtpv,66.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9,1,1,1
313_RTPV_11,Area_3,rtpv,65.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.2,1,1,1
313_RTPV_12,Area_3,rtpv,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1,1,1
320_RTPV_1,Area_3,rtpv,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,1,1,1
320_RTPV_2,Area_3,rtpv,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1,1,1
320_RTPV_3,Area_3,rtpv,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,1,1,1
313_RTPV_13,Area_3,rtpv,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,1,1,1
320_RTPV_4,Area_3,rtpv,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1,1,1
320_RTPV_5,Area_3,rtpv,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,1,1,1
118_RTPV_1,Area_1,rtpv,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,1,1,1
118_RTPV_2,Area_1,rtpv,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,1,1,1
118_RTPV_3,Area_1,rtpv,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,1,1,1
118_RTPV_4,Area_1,rtpv,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1,1,1
118_RTPV_5,Area_1,rtpv,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1,1,1
118_RTPV_6,Area_1,rtpv,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,1,1,1
320_RTPV_6,Area_3,rtpv,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,1,1,1
118_RTPV_7,Area_1,rtpv,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,1,1,1
118_RTPV_8,Area_1,rtpv,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,1,1,1
118_RTPV_9,Area_1,rtpv,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,1,1,1
118_RTPV_10,Area_1,rtpv,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1,1,1
213_RTPV_1,Area_2,rtpv,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,1,1,1
309_WIND_1,Area_3,wind,148.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.3,1,1,1
317_WIND_1,Area_3,wind,799.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.1,1,1,1
303_WIND_1,Area_3,wind,847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0,1,1,1
122_WIND_1,Area_1,wind,713.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.5,1,1,1
