hour,nuclear_north,coal_north,ct_north,wind_north,ccgt_south_1,ccgt_south_2,ct_south,solar_south,coal_east,ccgt_east,ct_east,wind_east
50,1.0,1.0,1.0,0.9526,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1984
51,1.0,1.0,1.0,0.9362,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1441
52,1.0,1.0,1.0,0.9515,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0909
53,1.0,1.0,1.0,0.9549,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2401
54,1.0,1.0,1.0,0.9145,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2505
55,1.0,1.0,1.0,0.9245,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.421
56,1.0,1.0,1.0,0.897,1.0,1.0,1.0,0.1005,1.0,1.0,1.0,0.5539
57,1.0,1.0,1.0,0.8198,1.0,1.0,1.0,0.2575,1.0,1.0,1.0,0.4096
58,1.0,1.0,1.0,0.8321,1.0,1.0,1.0,0.3528,1.0,1.0,1.0,0.4426
59,1.0,1.0,1.0,0.8223,1.0,1.0,1.0,0.4124,1.0,1.0,1.0,0.3364
60,1.0,1.0,1.0,0.8786,1.0,1.0,1.0,0.517,1.0,1.0,1.0,0.3174
61,1.0,1.0,1.0,0.8794,1.0,1.0,1.0,0.4257,1.0,1.0,1.0,0.197
62,1.0,1.0,1.0,0.9004,1.0,1.0,1.0,0.2962,1.0,1.0,1.0,0.1282
63,1.0,1.0,1.0,0.9102,1.0,1.0,1.0,0.1468,1.0,1.0,1.0,0.1033
64,1.0,1.0,1.0,0.9313,1.0,1.0,1.0,0.0899,1.0,1.0,1.0,0.092
65,1.0,1.0,1.0,0.9021,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0988
66,1.0,1.0,1.0,0.9025,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0752
67,1.0,1.0,1.0,0.8921,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0843
68,1.0,1.0,1.0,0.9072,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.128
69,1.0,1.0,1.0,0.9092,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1458
70,1.0,1.0,1.0,0.8831,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1492
71,1.0,1.0,1.0,0.8636,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1719
72,1.0,1.0,1.0,0.9147,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1164
73,1.0,1.0,1.0,0.847,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1631
74,1.0,1.0,1.0,0.8711,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1183
75,1.0,1.0,1.0,0.9081,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1966
76,1.0,1.0,1.0,0.9188,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2501
77,1.0,1.0,1.0,0.9546,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2946
78,1.0,1.0,1.0,0.9639,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3453
79,1.0,1.0,1.0,0.9653,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3489
80,1.0,1.0,1.0,0.9554,1.0,1.0,1.0,0.1128,1.0,1.0,1.0,0.2926
81,1.0,1.0,1.0,0.9575,1.0,1.0,1.0,0.2582,1.0,1.0,1.0,0.2335
82,1.0,1.0,1.0,0.9631,1.0,1.0,1.0,0.389,1.0,1.0,1.0,0.3676
83,1.0,1.0,1.0,0.9597,1.0,1.0,1.0,0.5046,1.0,1.0,1.0,0.3792
84,1.0,1.0,1.0,0.9436,1.0,1.0,1.0,0.5371,1.0,1.0,1.0,0.295
85,1.0,1.0,1.0,0.91,1.0,1.0,1.0,0.4791,1.0,1.0,1.0,0.3392
86,1.0,1.0,1.0,0.9098,1.0,1.0,1.0,0.3705,1.0,1.0,1.0,0.3707
87,1.0,1.0,1.0,0.8489,1.0,1.0,1.0,0.2785,1.0,1.0,1.0,0.3472
88,1.0,1.0,1.0,0.8193,1.0,1.0,1.0,0.0998,1.0,1.0,1.0,0.283
89,1.0,1.0,1.0,0.6498,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3437
90,1.0,1.0,1.0,0.7096,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4258
91,1.0,1.0,1.0,0.7813,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4552
92,1.0,1.0,1.0,0.7799,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4621
93,1.0,1.0,1.0,0.8666,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3956
94,1.0,1.0,1.0,0.9079,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4388
95,1.0,1.0,1.0,0.9161,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3862
96,1.0,1.0,1.0,0.9076,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2902
97,1.0,1.0,1.0,0.8906,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3831
98,1.0,1.0,1.0,0.9032,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3047
99,1.0,1.0,1.0,0.8928,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1874
100,1.0,1.0,1.0,0.9047,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2754
101,1.0,1.0,1.0,0.9171,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1749
102,1.0,1.0,1.0,0.9049,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1619
103,1.0,1.0,1.0,0.929,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1213
104,1.0,1.0,1.0,0.9182,1.0,1.0,1.0,0.1275,1.0,1.0,1.0,0.1018
105,1.0,1.0,1.0,0.9133,1.0,1.0,1.0,0.2908,1.0,1.0,1.0,0.2082
106,1.0,1.0,1.0,0.8749,1.0,1.0,1.0,0.4186,1.0,1.0,1.0,0.2085
107,1.0,1.0,1.0,0.8575,1.0,1.0,1.0,0.4777,1.0,1.0,1.0,0.2368
108,1.0,1.0,1.0,0.924,1.0,1.0,1.0,0.6553,1.0,1.0,1.0,0.2971
109,1.0,1.0,1.0,0.892,1.0,1.0,1.0,0.6163,1.0,1.0,1.0,0.2565
110,1.0,1.0,1.0,0.9006,1.0,1.0,1.0,0.5228,1.0,1.0,1.0,0.341
111,1.0,1.0,1.0,0.8788,1.0,1.0,1.0,0.3231,1.0,1.0,1.0,0.3752
112,1.0,1.0,1.0,0.7594,1.0,1.0,1.0,0.1562,1.0,1.0,1.0,0.4419
113,1.0,1.0,1.0,0.7881,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3816
114,1.0,1.0,1.0,0.7469,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4218
115,1.0,1.0,1.0,0.762,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4227
116,1.0,1.0,1.0,0.8142,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5226
117,1.0,1.0,1.0,0.8203,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4741
118,1.0,1.0,1.0,0.8307,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6475
119,1.0,1.0,1.0,0.7758,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6694
120,1.0,1.0,1.0,0.8111,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6549
121,1.0,1.0,1.0,0.7941,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6305
122,1.0,1.0,1.0,0.6485,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6256
123,1.0,1.0,1.0,0.7081,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5684
124,1.0,1.0,1.0,0.7788,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.622
125,1.0,1.0,1.0,0.851,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6169
126,1.0,1.0,1.0,0.9207,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7577
127,1.0,1.0,1.0,0.9342,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7214
128,1.0,1.0,1.0,0.9402,1.0,1.0,1.0,0.1126,1.0,1.0,1.0,0.7065
129,1.0,1.0,1.0,0.9551,1.0,1.0,1.0,0.2426,1.0,1.0,1.0,0.6676
130,1.0,1.0,1.0,0.9345,1.0,1.0,1.0,0.4055,1.0,1.0,1.0,0.7905
131,1.0,1.0,1.0,0.8804,1.0,1.0,1.0,0.5379,1.0,1.0,1.0,0.6856
132,1.0,1.0,1.0,0.8547,1.0,1.0,1.0,0.6571,1.0,1.0,1.0,0.6871
133,1.0,1.0,1.0,0.8974,1.0,1.0,1.0,0.6044,1.0,1.0,1.0,0.7048
134,1.0,1.0,1.0,0.867,1.0,1.0,1.0,0.4362,1.0,1.0,1.0,0.6099
135,1.0,1.0,1.0,0.8791,1.0,1.0,1.0,0.333,1.0,1.0,1.0,0.7951
136,1.0,1.0,1.0,0.8936,1.0,1.0,1.0,0.1615,1.0,1.0,1.0,0.7285
137,1.0,1.0,1.0,0.8959,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7245
138,1.0,1.0,1.0,0.838,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8212
139,1.0,1.0,1.0,0.8477,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7933
140,1.0,1.0,1.0,0.8206,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7945
141,1.0,1.0,1.0,0.8883,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7665
142,1.0,1.0,1.0,0.9177,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7562
143,1.0,1.0,1.0,0.9009,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8137
144,1.0,1.0,1.0,0.9407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7829
145,1.0,1.0,1.0,0.9429,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5775
146,1.0,1.0,1.0,0.8945,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5718
147,1.0,1.0,1.0,0.8859,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5744
148,1.0,1.0,1.0,0.9284,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5883
149,1.0,1.0,1.0,0.9004,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5695
150,1.0,1.0,1.0,0.8923,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4918
151,1.0,1.0,1.0,0.8289,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.47
152,1.0,1.0,1.0,0.7527,1.0,1.0,1.0,0.1737,1.0,1.0,1.0,0.6222
153,1.0,1.0,1.0,0.6879,1.0,1.0,1.0,0.3445,1.0,1.0,1.0,0.6146
154,1.0,1.0,1.0,0.5842,1.0,1.0,1.0,0.434,1.0,1.0,1.0,0.6635
155,1.0,1.0,1.0,0.529,1.0,1.0,1.0,0.462,1.0,1.0,1.0,0.573
156,1.0,1.0,1.0,0.6734,1.0,1.0,1.0,0.5304,1.0,1.0,1.0,0.5451
157,1.0,1.0,1.0,0.6665,1.0,1.0,1.0,0.5228,1.0,1.0,1.0,0.4558
158,1.0,1.0,1.0,0.721,1.0,1.0,1.0,0.4907,1.0,1.0,1.0,0.5692
159,1.0,1.0,1.0,0.7868,1.0,1.0,1.0,0.2854,1.0,1.0,1.0,0.4313
160,1.0,1.0,1.0,0.7071,1.0,1.0,1.0,0.1092,1.0,1.0,1.0,0.4649
161,1.0,1.0,1.0,0.638,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4951
162,1.0,1.0,1.0,0.6943,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5188
163,1.0,1.0,1.0,0.6403,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3208
164,1.0,1.0,1.0,0.6915,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1918
165,1.0,1.0,1.0,0.7978,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2048
166,1.0,1.0,1.0,0.6953,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1623
167,1.0,1.0,1.0,0.6633,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1395
168,1.0,1.0,1.0,0.6441,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1286
169,1.0,1.0,1.0,0.5973,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0974
170,1.0,1.0,1.0,0.543,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0697
171,1.0,1.0,1.0,0.4995,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0748
172,1.0,1.0,1.0,0.4989,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0427
173,1.0,1.0,1.0,0.5141,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.0393
174,1.0,1.0,1.0,0.5965,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.0344
175,1.0,1.0,1.0,0.5923,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.0374
176,1.0,1.0,1.0,0.6806,1.0,1.0,0.6,0.1469,1.0,1.0,1.0,0.0898
177,1.0,1.0,1.0,0.6294,1.0,1.0,0.6,0.3225,1.0,1.0,1.0,0.0696
178,1.0,1.0,1.0,0.524,1.0,1.0,0.6,0.4302,1.0,1.0,1.0,0.0851
179,1.0,1.0,1.0,0.4973,1.0,1.0,0.6,0.561,1.0,1.0,1.0,0.0972
180,1.0,1.0,1.0,0.5385,1.0,1.0,0.6,0.6336,1.0,1.0,1.0,0.1226
181,1.0,1.0,1.0,0.6115,1.0,1.0,0.6,0.6686,1.0,1.0,1.0,0.1207
182,1.0,1.0,1.0,0.7219,1.0,1.0,0.6,0.5379,1.0,1.0,1.0,0.194
183,1.0,1.0,1.0,0.7369,1.0,1.0,0.6,0.3149,1.0,1.0,1.0,0.2415
184,1.0,1.0,1.0,0.78,1.0,1.0,0.6,0.1717,1.0,1.0,1.0,0.2959
185,1.0,1.0,1.0,0.8468,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.2078
186,1.0,1.0,1.0,0.8003,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.2198
187,1.0,1.0,1.0,0.7818,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.1963
188,1.0,1.0,1.0,0.9012,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.1583
189,1.0,1.0,1.0,0.9203,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.1367
190,1.0,1.0,1.0,0.9279,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.1407
191,1.0,1.0,1.0,0.9423,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.1683
192,1.0,1.0,1.0,0.9044,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.2304
193,1.0,1.0,1.0,0.8762,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.3005
194,1.0,1.0,1.0,0.8244,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.3275
195,1.0,1.0,1.0,0.8389,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.3361
196,1.0,1.0,1.0,0.8137,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.3151
197,1.0,1.0,1.0,0.8125,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.3012
198,1.0,1.0,1.0,0.7885,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.2513
199,1.0,1.0,1.0,0.6705,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.2294
200,1.0,1.0,1.0,0.7314,1.0,1.0,0.6,0.1715,1.0,1.0,1.0,0.2585
201,1.0,1.0,1.0,0.5885,1.0,1.0,0.6,0.3314,1.0,1.0,1.0,0.3811
202,1.0,1.0,1.0,0.5238,1.0,1.0,0.6,0.4834,1.0,1.0,1.0,0.3716
203,1.0,1.0,1.0,0.4098,1.0,1.0,0.6,0.5331,1.0,1.0,1.0,0.3112
204,1.0,1.0,1.0,0.341,1.0,1.0,0.6,0.4963,1.0,1.0,1.0,0.3933
205,1.0,1.0,1.0,0.3622,1.0,1.0,0.6,0.4211,1.0,1.0,1.0,0.2453
206,1.0,1.0,1.0,0.4717,1.0,1.0,0.6,0.3631,1.0,1.0,1.0,0.3258
207,1.0,1.0,1.0,0.3422,1.0,1.0,0.6,0.284,1.0,1.0,1.0,0.2298
208,1.0,1.0,1.0,0.3045,1.0,1.0,0.6,0.1216,1.0,1.0,1.0,0.2799
209,1.0,1.0,1.0,0.1962,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.2524
210,1.0,1.0,1.0,0.1712,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.2803
211,1.0,1.0,1.0,0.1822,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.4531
212,1.0,1.0,1.0,0.2341,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.3828
213,1.0,1.0,1.0,0.1314,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.3066
214,1.0,1.0,1.0,0.163,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.3172
215,1.0,1.0,1.0,0.1274,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.4472
216,1.0,1.0,1.0,0.0922,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.4643
217,1.0,1.0,1.0,0.1005,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.4687
218,1.0,1.0,1.0,0.1297,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.4838
219,1.0,1.0,1.0,0.1325,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.3973
220,1.0,1.0,1.0,0.0996,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.4149
221,1.0,1.0,1.0,0.1026,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.3839
222,1.0,1.0,1.0,0.0867,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.5005
223,1.0,1.0,1.0,0.1121,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.5693
224,1.0,1.0,1.0,0.1641,1.0,1.0,0.6,0.1782,1.0,1.0,1.0,0.4514
225,1.0,1.0,1.0,0.2276,1.0,1.0,0.6,0.3902,1.0,1.0,1.0,0.4279
226,1.0,1.0,1.0,0.2334,1.0,1.0,0.6,0.5604,1.0,1.0,1.0,0.4752
227,1.0,1.0,1.0,0.3192,1.0,1.0,0.6,0.6703,1.0,1.0,1.0,0.3913
228,1.0,1.0,1.0,0.2518,1.0,1.0,0.6,0.7084,1.0,1.0,1.0,0.3082
229,1.0,1.0,1.0,0.3942,1.0,1.0,0.6,0.6703,1.0,1.0,1.0,0.2792
230,1.0,1.0,1.0,0.3158,1.0,1.0,0.6,0.5604,1.0,1.0,1.0,0.3097
231,1.0,1.0,1.0,0.1889,1.0,1.0,0.6,0.3902,1.0,1.0,1.0,0.3973
232,1.0,1.0,1.0,0.2824,1.0,1.0,0.6,0.1641,1.0,1.0,1.0,0.4194
233,1.0,1.0,1.0,0.2404,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.6328
234,1.0,1.0,1.0,0.255,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.5717
235,1.0,1.0,1.0,0.1982,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.6311
236,1.0,1.0,1.0,0.3716,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.5326
237,1.0,1.0,1.0,0.5327,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.6656
238,1.0,1.0,1.0,0.6618,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.7579
239,1.0,1.0,1.0,0.6649,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.7947
240,1.0,1.0,1.0,0.7335,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.6693
241,1.0,1.0,1.0,0.7245,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.7166
242,1.0,1.0,1.0,0.7914,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.6481
243,1.0,1.0,1.0,0.76,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.679
244,1.0,1.0,1.0,0.8424,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.5536
245,1.0,1.0,1.0,0.8127,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.5747
246,1.0,1.0,1.0,0.7867,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.5415
247,1.0,1.0,1.0,0.7513,1.0,1.0,0.6,0.0,1.0,1.0,1.0,0.4717
248,1.0,1.0,1.0,0.7582,1.0,1.0,0.6,0.1798,1.0,1.0,1.0,0.5238
249,1.0,1.0,1.0,0.7263,1.0,1.0,0.6,0.3916,1.0,1.0,1.0,0.5181
250,1.0,1.0,1.0,0.754,1.0,1.0,0.6,0.5615,1.0,1.0,1.0,0.4991
251,1.0,1.0,1.0,0.7153,1.0,1.0,1.0,0.6713,1.0,1.0,1.0,0.5627
252,1.0,1.0,1.0,0.7637,1.0,1.0,1.0,0.7092,1.0,1.0,1.0,0.7128
253,1.0,1.0,1.0,0.8419,1.0,1.0,1.0,0.6713,1.0,1.0,1.0,0.7263
254,1.0,1.0,1.0,0.8392,1.0,1.0,1.0,0.5342,1.0,1.0,1.0,0.5775
255,1.0,1.0,1.0,0.9155,1.0,1.0,1.0,0.3291,1.0,1.0,1.0,0.4392
256,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.1539,1.0,1.0,1.0,0.4464
257,1.0,1.0,1.0,0.967,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.537
258,1.0,1.0,1.0,0.963,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5471
259,1.0,1.0,1.0,0.9298,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5891
260,1.0,1.0,1.0,0.9056,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5809
261,1.0,1.0,1.0,0.8792,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6573
262,1.0,1.0,1.0,0.8313,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6996
263,1.0,1.0,1.0,0.686,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6133
264,1.0,1.0,1.0,0.7543,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6464
