hour,NORTH,SOUTH,EAST
367,1123.56,947.22,655.58
368,1172.67,998.27,687.85
369,1207.47,1034.12,706.61
370,1218.25,1048.17,703.94
371,1248.13,1050.04,721.91
372,1258.45,1046.88,710.8
373,1255.84,1048.27,694.02
374,1260.73,1037.3,697.32
375,1303.34,1048.07,699.83
376,1332.89,1076.14,721.92
377,1359.14,1128.32,759.58
378,1430.48,1157.04,803.24
379,1406.62,1123.77,799.35
380,1343.64,1087.13,757.98
381,1273.74,1034.66,714.67
382,1149.98,935.44,651.86
383,1035.79,864.31,602.92
384,956.71,829.09,568.0
385,901.16,796.74,542.14
386,882.88,773.96,516.51
387,876.67,756.52,495.87
388,890.94,769.58,493.77
389,921.61,814.76,532.08
390,985.82,899.42,577.55
391,1078.08,981.09,636.65
392,1118.28,1010.33,658.57
393,1149.29,1038.9,670.6
394,1172.33,1057.75,677.71
395,1186.85,1072.73,699.02
396,1198.83,1076.02,704.1
397,1190.96,1089.43,700.44
398,1198.75,1081.64,711.01
399,1199.99,1110.03,711.78
400,1232.26,1131.94,741.08
401,1293.38,1201.19,782.9
402,1353.12,1262.03,817.84
403,1334.77,1245.59,807.62
404,1284.68,1213.88,767.11
405,1198.71,1140.89,709.89
406,1103.87,1039.65,647.87
407,1020.87,946.71,586.55
408,938.84,903.46,555.37
409,879.56,867.22,526.75
410,842.55,832.97,515.89
411,809.03,819.57,511.93
412,815.72,831.47,511.95
413,870.46,868.93,531.89
414,957.18,981.51,583.9
415,1050.31,1071.26,631.51
416,1112.52,1112.63,651.56
417,1156.04,1148.07,679.8
418,1167.75,1151.47,674.12
419,1200.04,1173.38,698.78
420,1201.69,1147.97,701.39
421,1178.36,1129.02,702.91
422,1170.65,1141.32,709.78
423,1161.8,1171.13,721.14
424,1184.37,1191.13,755.37
425,1237.11,1231.42,779.12
426,1297.47,1281.91,804.29
427,1316.21,1259.46,788.36
428,1238.67,1199.34,738.4
429,1167.22,1133.34,686.09
430,1064.07,1037.09,647.64
431,981.95,926.78,591.6
432,925.2,860.13,570.65
433,861.42,818.97,555.19
434,851.26,780.47,558.01
435,835.23,768.84,560.03
436,842.47,767.13,579.31
437,876.96,826.59,608.42
438,959.44,935.11,667.14
439,1055.71,1007.32,726.1
440,1100.07,1053.45,752.3
441,1129.78,1062.65,764.65
442,1148.73,1070.27,774.59
443,1181.32,1106.11,774.19
444,1177.6,1100.06,758.99
445,1146.52,1086.17,751.91
446,1164.22,1074.37,743.31
447,1172.26,1101.29,743.15
448,1224.42,1088.78,761.24
449,1288.47,1136.06,791.41
450,1332.92,1178.99,828.29
451,1327.63,1161.99,817.36
452,1300.06,1126.72,790.21
453,1245.97,1073.05,739.42
454,1147.74,973.72,679.28
455,1050.93,916.85,621.46
456,930.64,790.52,535.36
457,874.51,765.03,510.27
458,853.74,747.21,501.05
459,840.57,733.22,498.89
460,853.26,739.86,496.39
461,887.77,779.23,512.35
462,957.06,860.14,559.48
463,1017.88,928.54,619.99
464,1046.74,965.7,646.6
465,1063.23,977.01,652.63
466,1071.61,973.46,647.15
467,1110.06,975.25,648.06
468,1125.52,963.84,642.42
469,1101.68,952.8,644.04
470,1106.77,961.57,652.04
471,1112.24,975.46,649.88
472,1140.87,1031.66,674.88
473,1197.55,1051.97,711.76
474,1250.15,1099.1,726.43
475,1234.37,1092.3,719.55
476,1196.12,1057.83,691.22
477,1104.32,1000.88,648.48
478,1018.93,922.26,585.79
479,962.63,847.32,537.82
480,908.35,792.42,511.35
481,877.36,760.5,495.87
482,853.99,724.66,479.04
483,846.69,723.54,469.57
484,855.49,734.04,474.72
485,896.86,769.11,501.6
486,975.79,844.96,552.46
487,1068.37,921.52,607.07
488,1100.14,977.01,623.68
489,1129.81,1036.64,639.43
490,1153.83,1060.56,640.0
491,1167.78,1061.93,645.45
492,1161.61,1068.26,659.23
493,1154.5,1064.48,641.74
494,1148.19,1051.03,639.84
495,1170.03,1044.17,636.42
496,1175.92,1072.88,656.88
497,1224.85,1133.24,697.23
498,1237.82,1150.33,723.94
499,1205.55,1130.6,716.92
500,1174.19,1089.48,697.03
501,1111.95,1020.78,654.96
502,1016.68,957.6,609.59
503,914.5,861.67,562.36
504,894.0,898.49,550.14
505,847.18,838.21,523.01
506,853.82,796.7,503.15
507,848.46,786.39,491.99
508,854.92,786.56,508.39
509,906.46,828.88,532.98
510,979.14,912.34,600.19
511,1066.42,994.37,643.49
512,1114.65,1026.61,661.79
513,1137.99,1054.91,682.03
514,1162.72,1062.8,686.23
515,1180.56,1089.7,695.97
516,1191.48,1088.35,695.35
517,1170.86,1066.25,687.84
518,1184.87,1045.66,685.7
519,1220.4,1056.26,694.39
520,1240.4,1072.13,720.41
521,1284.52,1106.54,768.86
522,1352.66,1158.54,793.79
523,1337.54,1126.34,782.78
524,1300.65,1102.14,743.8
525,1210.34,1037.51,708.72
526,1134.81,959.28,658.4
527,1039.3,869.49,588.8
528,980.8,830.79,542.14
529,948.47,792.39,511.01
530,918.16,767.39,500.11
531,894.41,761.42,494.0
532,900.32,757.2,504.41
533,951.7,783.16,530.3
534,1026.36,852.78,593.87
535,1127.82,939.38,653.92
536,1166.52,982.98,681.52
537,1205.74,1020.72,704.34
538,1182.07,1022.07,696.71
539,1182.75,1043.61,702.72
540,1159.48,1045.48,703.89
541,1138.76,1026.23,702.1
542,1145.05,1035.03,687.47
543,1156.03,1047.51,692.38
544,1188.13,1072.37,716.37
545,1243.89,1126.8,754.53
546,1294.39,1168.74,792.76
547,1269.57,1159.9,792.59
548,1228.21,1106.94,756.85
549,1161.72,1022.47,713.69
550,1078.04,947.57,655.9
551,995.04,861.91,601.06
552,941.57,805.3,571.35
553,918.1,767.01,542.39
554,892.94,757.76,529.97
555,877.37,752.28,528.05
556,880.67,759.64,538.41
557,915.53,796.54,573.46
558,992.48,886.6,645.63
559,1072.32,940.64,707.03
560,1118.09,994.53,729.72
561,1147.25,993.7,745.81
562,1160.97,989.63,754.2
563,1162.8,998.01,763.77
564,1177.92,1032.66,773.35
565,1178.51,1048.82,748.36
566,1176.96,1060.77,758.41
567,1179.77,1077.87,778.24
568,1223.25,1085.14,801.76
569,1284.19,1141.18,840.5
570,1307.39,1176.68,863.92
571,1296.84,1157.63,852.58
572,1246.16,1112.92,818.14
573,1155.29,1038.83,767.88
574,1069.82,971.61,710.49
575,963.54,870.2,651.96
576,925.17,824.34,617.66
577,894.73,777.84,589.5
578,869.54,756.66,565.05
579,862.41,752.42,560.16
580,848.76,754.08,576.4
581,882.23,798.56,603.28
582,969.29,879.16,670.89
583,1045.83,954.34,720.6
584,1102.76,991.85,746.66
585,1155.95,1013.64,752.69
586,1151.72,1017.34,768.42
587,1152.87,1031.58,786.1
588,1158.85,1031.92,781.12
589,1173.03,1017.91,779.54
590,1156.52,1043.13,789.18
591,1173.18,1061.77,791.89
592,1235.71,1089.76,811.3
593,1267.93,1145.65,851.29
594,1294.07,1174.0,868.9
595,1278.58,1160.75,858.25
596,1217.58,1109.09,836.2
597,1154.37,1025.19,774.49
598,1069.67,953.83,717.32
599,959.53,870.72,657.18
600,912.17,820.35,615.3
601,863.18,777.37,583.8
602,856.44,789.14,576.91
603,839.78,773.58,569.59
604,845.7,765.18,578.41
605,898.02,791.56,615.87
606,998.69,882.87,671.28
607,1096.55,982.84,720.0
608,1119.59,1017.37,760.68
609,1151.55,1057.19,772.73
610,1149.52,1079.13,783.6
611,1166.24,1088.26,780.39
612,1147.56,1086.04,779.82
613,1145.7,1079.35,759.37
614,1136.49,1092.12,756.78
615,1131.82,1108.57,755.62
616,1178.78,1131.49,767.12
617,1240.76,1182.59,797.94
618,1278.07,1255.2,802.76
619,1293.45,1247.43,784.11
620,1232.29,1204.7,756.71
621,1156.25,1133.92,710.88
622,1071.66,1047.74,646.73
623,975.21,959.32,595.95
624,860.85,849.12,516.82
625,814.51,812.87,495.83
626,790.79,792.69,482.21
627,794.92,774.29,473.83
628,795.93,786.75,479.53
629,814.05,825.96,520.17
630,916.33,903.73,566.23
631,1032.92,1015.17,618.67
632,1070.73,1036.01,649.6
633,1066.91,1066.4,654.14
634,1074.79,1063.71,647.54
635,1083.08,1073.77,649.14
636,1082.33,1103.84,655.37
637,1058.94,1078.03,646.37
638,1069.13,1066.53,644.66
639,1088.53,1074.63,658.26
640,1100.86,1092.82,670.54
641,1165.06,1154.33,701.27
642,1239.51,1186.15,713.24
643,1231.81,1183.42,710.71
644,1173.74,1112.68,682.34
645,1097.63,1018.85,645.57
646,1020.42,937.45,587.34
647,915.13,842.61,537.1
648,864.87,810.89,499.02
649,819.57,757.38,474.05
650,817.62,729.52,471.23
651,805.17,725.03,463.57
652,832.35,730.53,462.35
653,863.98,755.88,483.43
654,956.85,855.26,522.17
655,1047.24,922.72,561.98
656,1078.89,960.62,592.68
657,1102.64,979.14,595.27
658,1129.29,999.42,605.91
659,1134.83,1016.28,614.14
660,1111.31,1007.03,612.0
661,1100.76,994.82,610.01
662,1089.11,993.64,604.63
663,1096.04,1014.3,619.33
664,1127.7,1029.77,633.37
665,1156.95,1106.89,661.81
666,1176.55,1136.4,683.26
667,1177.09,1127.49,685.7
668,1121.36,1064.13,662.25
669,1018.8,981.95,601.12
670,953.4,897.82,558.44
671,879.31,814.38,501.77
672,885.44,824.42,508.81
673,830.97,777.01,485.52
674,821.92,766.83,472.98
675,817.54,751.58,471.88
676,856.06,755.56,484.45
677,906.97,794.44,506.51
678,1003.38,888.67,553.31
679,1093.13,975.15,605.66
680,1150.87,1017.38,620.67
681,1183.0,1021.75,632.02
682,1212.29,1020.29,652.47
683,1215.44,1017.37,648.36
684,1208.5,1039.82,648.29
685,1189.73,1040.64,639.87
686,1201.07,1032.45,659.55
687,1233.83,1038.6,663.33
688,1260.98,1061.18,680.4
689,1312.05,1102.55,705.14
690,1363.07,1153.96,733.18
691,1346.3,1144.26,731.98
692,1301.49,1128.3,694.48
693,1185.09,1075.53,660.93
694,1082.41,1009.4,613.39
695,982.54,932.38,569.13
696,900.28,875.24,535.45
697,848.18,838.82,511.83
698,819.37,813.85,498.21
699,809.4,819.04,501.37
700,834.81,833.24,509.12
701,878.31,878.92,536.29
702,956.09,967.18,586.96
703,1045.56,1075.45,636.8
704,1106.98,1099.48,665.98
705,1117.79,1144.36,686.69
706,1118.81,1150.65,687.92
707,1141.32,1140.74,696.18
708,1141.14,1129.48,698.17
709,1142.41,1096.1,694.78
710,1144.59,1105.3,680.64
711,1168.12,1102.17,680.3
712,1188.18,1137.06,689.3
713,1246.03,1207.22,723.68
714,1289.63,1240.08,742.86
715,1261.63,1225.72,733.96
716,1186.14,1154.41,693.53
717,1124.42,1077.07,648.45
718,1035.49,1026.29,591.68
719,938.81,948.33,549.6
720,886.36,891.29,523.37
721,858.19,841.21,500.34
722,814.24,819.1,487.03
723,791.1,809.49,469.59
724,795.72,816.03,474.98
725,858.11,864.51,497.15
726,950.98,939.91,551.12
727,1051.19,1013.83,608.55
728,1082.18,1061.81,638.75
729,1091.69,1068.36,664.01
730,1113.14,1089.96,667.15
731,1128.63,1101.25,670.04
732,1140.15,1077.57,680.58
733,1129.52,1070.69,676.64
734,1136.48,1050.14,675.66
735,1152.46,1072.54,698.99
736,1199.72,1102.4,724.49
737,1270.18,1183.2,756.66
738,1290.71,1242.59,777.35
739,1246.18,1216.38,783.52
740,1211.18,1135.78,751.12
741,1153.82,1055.67,703.28
742,1052.4,961.1,653.66
743,943.4,903.44,604.4
744,892.63,853.84,572.96
745,861.69,822.97,549.83
746,860.39,799.89,537.52
747,855.25,788.52,532.75
748,863.26,799.67,534.11
749,899.52,854.17,573.04
750,990.91,943.52,619.84
751,1078.36,1016.39,677.36
752,1110.77,1080.59,693.34
753,1164.12,1098.13,705.63
754,1201.65,1102.84,707.06
755,1229.02,1075.83,714.66
756,1214.31,1086.54,717.09
757,1214.13,1079.08,701.61
758,1221.98,1081.89,701.22
759,1238.53,1088.35,719.7
760,1290.8,1113.4,728.3
761,1358.03,1162.09,754.42
762,1415.03,1212.8,789.77
763,1409.18,1213.62,783.54
764,1349.18,1158.74,750.67
765,1234.14,1098.82,711.26
766,1137.29,1012.97,649.3
767,1032.94,922.44,590.72
768,957.03,873.19,552.78
769,927.96,817.39,523.78
770,920.96,799.85,518.92
771,920.75,775.32,501.55
772,932.89,777.22,501.22
773,993.97,799.45,519.48
774,1089.58,880.85,582.77
775,1187.25,984.6,631.73
776,1217.41,1026.72,656.43
777,1244.09,1058.35,657.28
778,1253.72,1102.13,663.3
779,1243.82,1118.66,678.89
780,1240.86,1108.48,682.38
781,1225.73,1090.08,676.08
782,1249.46,1091.09,664.1
783,1271.34,1094.13,669.54
784,1304.48,1119.34,692.01
785,1365.6,1187.69,717.09
786,1411.25,1246.51,751.12
787,1392.21,1211.45,754.73
788,1312.04,1148.48,718.42
789,1224.36,1070.95,680.11
790,1117.77,996.93,627.32
791,1007.57,927.08,583.42
792,887.76,840.75,524.67
793,847.96,794.52,492.29
794,808.17,769.77,484.12
795,796.66,764.6,484.96
796,817.38,767.95,485.27
797,871.14,806.73,507.05
798,969.11,882.79,553.75
799,1056.27,932.75,603.24
800,1087.99,974.7,625.83
801,1094.7,993.42,637.11
802,1109.92,1020.45,650.26
803,1125.46,1031.09,641.65
804,1142.14,1016.01,634.73
805,1144.36,1004.41,634.96
806,1140.59,979.93,640.06
807,1133.16,976.99,638.46
808,1160.5,1016.79,662.36
809,1217.14,1063.95,705.29
810,1256.73,1117.94,730.15
811,1236.67,1083.36,715.2
812,1186.28,1036.42,691.94
813,1103.77,967.73,661.49
814,1010.37,906.54,603.23
815,929.13,839.39,552.54
816,870.99,800.09,527.76
817,831.29,776.69,502.25
818,812.84,753.74,478.85
819,791.21,756.39,475.14
820,797.67,756.76,475.78
821,855.29,786.53,493.35
822,927.75,874.12,531.83
823,986.78,936.72,590.18
824,1006.12,984.11,609.3
825,1029.93,1006.09,625.22
826,1043.59,1030.21,636.86
827,1055.15,1039.71,645.03
828,1074.31,1040.67,647.99
829,1030.55,1037.21,645.2
830,1039.42,1028.86,646.57
831,1073.59,1030.3,647.07
832,1091.12,1066.9,659.37
833,1139.5,1116.79,690.18
834,1172.08,1151.42,714.63
835,1152.23,1141.05,713.14
836,1101.32,1113.28,691.98
837,1053.72,1036.56,650.78
838,996.58,950.57,594.41
839,909.86,852.79,530.23
840,944.06,866.05,533.59
841,898.37,831.46,500.15
842,893.69,818.99,484.27
843,880.02,809.43,480.99
844,892.26,829.75,489.4
845,942.32,880.62,528.73
846,1073.98,980.56,585.92
847,1179.55,1080.41,654.83
848,1215.02,1143.63,687.84
849,1249.69,1161.11,710.24
850,1252.95,1151.84,713.35
851,1254.66,1170.09,710.51
852,1264.81,1178.38,706.54
853,1249.71,1185.4,699.68
854,1250.44,1198.98,694.44
855,1259.49,1232.61,692.99
856,1297.56,1271.25,717.36
857,1361.29,1328.03,742.23
858,1375.12,1348.58,755.23
859,1371.85,1336.91,739.85
860,1294.96,1266.46,707.6
861,1190.67,1185.11,656.14
862,1097.17,1090.47,605.45
863,1005.6,1001.1,560.59
864,938.96,941.0,534.06
865,902.28,902.07,504.94
866,864.8,849.26,485.16
867,849.65,838.66,476.83
868,855.49,860.39,488.96
869,900.96,923.18,521.99
870,995.47,1020.76,577.96
871,1073.51,1130.9,641.06
872,1129.8,1175.49,682.54
873,1154.3,1194.34,692.06
874,1139.65,1208.62,711.46
875,1124.86,1215.63,715.62
876,1128.23,1200.6,723.89
877,1117.58,1178.5,722.09
878,1119.44,1160.47,704.41
879,1133.17,1176.63,702.87
880,1172.4,1208.16,712.72
881,1244.85,1256.81,730.54
882,1273.74,1290.9,766.6
883,1247.14,1285.62,780.55
884,1179.91,1238.98,744.4
885,1112.89,1142.78,704.41
886,1046.06,1036.88,661.06
887,954.9,960.01,606.21
888,873.1,890.62,570.95
889,815.46,852.69,540.94
890,789.75,846.51,529.93
891,777.7,850.1,527.71
892,788.03,866.88,536.76
893,834.41,917.66,566.8
894,918.71,1032.49,621.9
895,1021.14,1092.94,664.71
896,1058.62,1129.75,699.17
897,1072.26,1161.32,701.52
898,1094.59,1165.42,713.27
899,1087.67,1191.1,726.02
900,1098.61,1187.43,715.44
901,1094.25,1174.85,703.09
902,1096.6,1168.29,720.87
903,1134.39,1169.99,726.22
904,1161.03,1193.98,735.57
905,1250.65,1251.99,776.92
906,1293.57,1283.09,796.61
907,1264.1,1285.08,771.36
908,1212.92,1236.77,743.07
909,1122.82,1170.78,688.35
910,1028.55,1063.42,637.98
911,949.57,953.12,578.89
912,902.8,899.2,551.42
913,853.9,884.42,526.05
