hour,122_HYDRO_1,122_HYDRO_2,122_HYDRO_3,122_HYDRO_4,122_HYDRO_5,122_HYDRO_6,201_HYDRO_4,215_HYDRO_1,215_HYDRO_2,215_HYDRO_3,222_HYDRO_1,222_HYDRO_2,222_HYDRO_3,222_HYDRO_4,222_HYDRO_5,222_HYDRO_6,322_HYDRO_1,322_HYDRO_2,322_HYDRO_3,322_HYDRO_4,320_PV_1,314_PV_1,314_PV_2,313_PV_1,314_PV_3,314_PV_4,313_PV_2,310_PV_1,324_PV_1,312_PV_1,310_PV_2,324_PV_2,324_PV_3,113_PV_1,319_PV_1,215_PV_1,102_PV_1,101_PV_1,102_PV_2,104_PV_1,212_CSP_1,101_PV_2,101_PV_3,101_PV_4,103_PV_1,119_PV_1,308_RTPV_1,313_RTPV_1,313_RTPV_2,313_RTPV_3,313_RTPV_4,313_RTPV_5,313_RTPV_6,313_RTPV_7,313_RTPV_8,313_RTPV_9,313_RTPV_10,313_RTPV_11,313_RTPV_12,320_RTPV_1,320_RTPV_2,320_RTPV_3,313_RTPV_13,320_RTPV_4,320_RTPV_5,118_RTPV_1,118_RTPV_2,118_RTPV_3,118_RTPV_4,118_RTPV_5,118_RTPV_6,320_RTPV_6,118_RTPV_7,118_RTPV_8,118_RTPV_9,118_RTPV_10,213_RTPV_1,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1
10,0.076,0.076,0.076,0.076,0.076,0.076,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.704,0.704,0.704,0.704,0.68217,0.68023,0.69961,0.67508,0.69579,0.69961,0.70096,0.68085,0.70624,0.70138,0.68023,0.69961,0.70784,0.71688,0.73804,0.69225,0.73828,0.7027,0.73913,0.68284,0.1665,0.71161,0.73664,0.72481,0.73008,0.66216,0.63925,0.63422,0.6355,0.61315,0.6,0.61574,0.60815,0.63495,0.63213,0.67147,0.61435,0.68098,0.65827,0.67033,0.67778,0.63604,0.65441,0.63333,0.66312,0.64516,0.61856,0.6383,0.67033,0.63736,0.62887,0.62766,0.58475,0.64286,0.64078,0.66667,0.60606,0.18476,0.37717,0.00283,0.13034
11,0.076,0.076,0.076,0.076,0.076,0.076,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.71,0.71,0.71,0.71,0.65116,0.64922,0.70155,0.70032,0.69364,0.70155,0.71919,0.67311,0.70624,0.71838,0.67636,0.68411,0.69216,0.72222,0.69926,0.67946,0.72266,0.67568,0.72332,0.66045,0.0,0.69663,0.71756,0.74806,0.79675,0.68769,0.66402,0.65978,0.65769,0.65902,0.63881,0.64043,0.64263,0.66615,0.63514,0.6891,0.6577,0.71472,0.70144,0.71429,0.72222,0.67491,0.69118,0.67778,0.69858,0.67742,0.64948,0.68085,0.7033,0.68132,0.64948,0.67021,0.62712,0.6875,0.6699,0.71111,0.62879,0.41065,0.13853,0.06635,0.00883
12,0.076,0.076,0.076,0.076,0.076,0.076,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.702,0.702,0.702,0.702,0.6531,0.65116,0.68023,0.67718,0.69148,0.68023,0.69453,0.65377,0.68612,0.69607,0.65698,0.6531,0.66078,0.71047,0.71041,0.67546,0.70703,0.6834,0.70751,0.66418,0.0,0.68165,0.70611,0.73256,0.76423,0.68018,0.64817,0.64307,0.66561,0.65443,0.62239,0.64506,0.63793,0.63651,0.62462,0.65385,0.63677,0.69172,0.69784,0.71062,0.71852,0.67138,0.70588,0.65556,0.71277,0.66667,0.63918,0.64894,0.69231,0.64835,0.63918,0.6383,0.61017,0.66964,0.65049,0.68889,0.60606,0.13756,0.09874,0.10803,0.00533
13,0.084,0.084,0.084,0.084,0.084,0.084,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.428,0.428,0.428,0.428,0.64922,0.64922,0.65504,0.64564,0.64509,0.65504,0.66238,0.64797,0.66197,0.66631,0.65116,0.63178,0.63922,0.67628,0.68757,0.64668,0.6875,0.67568,0.68775,0.66045,0.0,0.66292,0.68321,0.6938,0.66179,0.59459,0.58672,0.5821,0.58796,0.57645,0.54776,0.56944,0.5815,0.5897,0.56456,0.60417,0.56801,0.61656,0.61151,0.62271,0.62963,0.59011,0.63971,0.58519,0.64539,0.58065,0.5567,0.59574,0.6044,0.59341,0.56701,0.58511,0.55932,0.59821,0.57282,0.6,0.55303,0.01079,0.13503,0.12161,0.00154
14,0.084,0.084,0.084,0.084,0.084,0.084,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.338,0.338,0.338,0.338,0.57558,0.57558,0.62209,0.56151,0.57713,0.62209,0.57878,0.60735,0.62978,0.58236,0.6124,0.58527,0.5902,0.58868,0.60521,0.57234,0.60547,0.59846,0.6087,0.58582,0.0,0.58427,0.60305,0.60853,0.48293,0.44294,0.47572,0.47099,0.46434,0.44343,0.43284,0.44907,0.45768,0.46022,0.44144,0.47276,0.43348,0.46319,0.46043,0.46886,0.47407,0.44523,0.47794,0.44444,0.47872,0.43011,0.41237,0.45745,0.43956,0.45055,0.41237,0.44681,0.44068,0.47321,0.45631,0.48889,0.40152,0.0,0.02791,0.04687,0.0
15,0.264,0.264,0.264,0.264,0.264,0.264,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.388,0.388,0.388,0.388,0.42054,0.41085,0.44767,0.33018,0.35491,0.44767,0.35155,0.4236,0.4507,0.36663,0.43605,0.40698,0.41176,0.33547,0.40276,0.32854,0.39453,0.37066,0.39526,0.38433,0.0,0.37828,0.39313,0.39535,0.2065,0.20871,0.22993,0.22714,0.23455,0.21713,0.21642,0.22531,0.23041,0.21841,0.21171,0.22436,0.20329,0.24233,0.22662,0.23077,0.23333,0.20848,0.23162,0.20741,0.2234,0.2043,0.19588,0.20213,0.20879,0.21978,0.18557,0.20213,0.21186,0.22321,0.2233,0.22222,0.15909,0.01753,0.03078,0.10354,0.0
16,0.254,0.254,0.254,0.254,0.254,0.254,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.302,0.302,0.302,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25556,0.01352,0.10897,0.00126
17,0.264,0.264,0.264,0.264,0.264,0.264,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.472,0.472,0.472,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31625,0.30434,0.10555,0.38725
18,0.18,0.18,0.18,0.18,0.18,0.18,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.662,0.662,0.662,0.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16183,0.46953,0.10673,0.38248
19,0.084,0.084,0.084,0.084,0.084,0.084,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.768,0.768,0.768,0.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16183,0.7113,0.09575,0.48437
20,0.076,0.076,0.076,0.076,0.076,0.076,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.816,0.816,0.816,0.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18476,0.79602,0.20413,0.57701
21,0.076,0.076,0.076,0.076,0.076,0.076,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.748,0.748,0.748,0.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04383,0.90001,0.38595,0.52782
22,0.076,0.076,0.076,0.076,0.076,0.076,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.82,0.82,0.82,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00877,0.91966,0.30307,0.78669
23,0.076,0.076,0.076,0.076,0.076,0.076,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00067,0.9124,0.16659,0.79664
24,0.056,0.056,0.056,0.056,0.056,0.056,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.188,0.188,0.188,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00539,0.94744,0.0621,0.88297
25,0.056,0.056,0.056,0.056,0.056,0.056,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.606,0.606,0.606,0.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01821,0.94281,0.02054,0.94226
26,0.056,0.056,0.056,0.056,0.056,0.056,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07687,0.91891,0.01051,0.92684
27,0.056,0.056,0.056,0.056,0.056,0.056,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.462,0.462,0.462,0.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1234,0.90627,0.00826,0.91661
28,0.056,0.056,0.056,0.056,0.056,0.056,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.452,0.452,0.452,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15914,0.90815,0.0137,0.91717
29,0.056,0.056,0.056,0.056,0.056,0.056,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.35,0.35,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16588,0.93605,0.02751,0.93399
30,0.066,0.066,0.066,0.066,0.066,0.066,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.222,0.222,0.222,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06945,0.95645,0.01901,0.96244
31,0.048,0.048,0.048,0.048,0.048,0.048,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.454,0.454,0.454,0.454,0.45349,0.44961,0.44961,0.32808,0.3452,0.44767,0.33441,0.37137,0.44869,0.27843,0.37209,0.3469,0.35098,0.54167,0.50956,0.5044,0.58594,0.57143,0.58103,0.55597,0.0,0.55805,0.57252,0.5814,0.24065,0.1997,0.12785,0.12881,0.1458,0.12232,0.12537,0.1358,0.1395,0.14665,0.12913,0.15064,0.142,0.15184,0.15108,0.15385,0.15556,0.15548,0.15809,0.14815,0.15603,0.17204,0.16495,0.17021,0.16484,0.16484,0.15464,0.15957,0.15254,0.16071,0.15534,0.17778,0.17424,0.03776,0.95645,0.0242,0.96608
32,0.066,0.066,0.066,0.066,0.066,0.066,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.522,0.522,0.522,0.522,0.6124,0.61047,0.62403,0.5184,0.54585,0.62403,0.53055,0.61509,0.62978,0.53348,0.61628,0.58333,0.5902,0.69551,0.67535,0.6291,0.71094,0.7027,0.71146,0.68657,0.0,0.68165,0.70611,0.72093,0.48455,0.42042,0.35679,0.35497,0.35975,0.33639,0.33582,0.34568,0.35737,0.37285,0.34685,0.38301,0.35277,0.37883,0.3777,0.38462,0.38889,0.37102,0.37868,0.36296,0.38298,0.3871,0.37113,0.39362,0.3956,0.38462,0.37113,0.38298,0.34746,0.375,0.36893,0.37778,0.37879,0.02495,0.9577,0.04156,0.95837
33,0.048,0.048,0.048,0.048,0.048,0.048,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.528,0.528,0.528,0.528,0.64729,0.64535,0.6938,0.64038,0.67314,0.6938,0.65702,0.67505,0.70221,0.65781,0.68217,0.65504,0.66275,0.72863,0.71998,0.67386,0.73828,0.72201,0.73913,0.70149,0.3465,0.71161,0.73282,0.74806,0.66341,0.57508,0.52924,0.52606,0.52932,0.50612,0.49403,0.51235,0.53448,0.5507,0.52102,0.5641,0.51271,0.55675,0.56115,0.57509,0.57778,0.54064,0.55147,0.52963,0.56028,0.54839,0.52577,0.56383,0.57143,0.56044,0.52577,0.54255,0.5,0.53571,0.51456,0.55556,0.5303,0.00539,0.97798,0.03943,0.97912
34,0.056,0.056,0.056,0.056,0.056,0.056,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.64,0.64,0.64,0.64,0.68992,0.68992,0.68798,0.68665,0.72276,0.68992,0.70847,0.68279,0.69618,0.70563,0.68605,0.66279,0.67059,0.73397,0.71679,0.70104,0.73047,0.71429,0.73123,0.69776,0.6595,0.70412,0.72901,0.74031,0.74797,0.66066,0.61843,0.61455,0.62441,0.60245,0.60746,0.60802,0.63793,0.65679,0.62462,0.67468,0.60538,0.65491,0.66906,0.68132,0.68889,0.64311,0.66176,0.62222,0.67021,0.64516,0.61856,0.67021,0.65934,0.65934,0.62887,0.64894,0.59322,0.63393,0.61165,0.64444,0.59848,0.0,0.98336,0.02704,1.0
