hour,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_201,Node_202,Node_203,Node_204,Node_205,Node_206,Node_207,Node_208,Node_209,Node_210,Node_211,Node_212,Node_213,Node_214,Node_215,Node_216,Node_217,Node_218,Node_219,Node_220,Node_221,Node_222,Node_223,Node_224,Node_301,Node_302,Node_303,Node_304,Node_305,Node_306,Node_307,Node_308,Node_309,Node_310,Node_311,Node_312,Node_313,Node_314,Node_315,Node_316,Node_317,Node_318,Node_319,Node_320,Node_321,Node_322,Node_323,Node_324,Node_325
10,43.6997,39.2488,72.8328,29.9424,28.7285,55.0292,50.5783,69.1911,70.8096,78.9022,0.0,0.0,107.226,78.4975,128.2666,40.4626,0.0,134.7406,73.2374,51.7922,0.0,0.0,0.0,0.0,44.7606,40.2016,74.601,30.6693,29.4259,56.3652,51.8062,70.8709,72.5287,80.8177,0.0,0.0,109.8292,80.4033,131.3806,41.445,0.0,138.0118,75.0154,53.0496,0.0,0.0,0.0,0.0,63.9937,57.4758,106.6561,43.8475,42.0699,80.5846,74.0668,101.3233,103.6935,115.5441,0.0,0.0,157.0215,114.9516,187.8333,59.2534,0.0,197.3138,107.2487,75.8444,0.0,0.0,0.0,0.0,0.0
11,42.7912,38.4328,71.3187,29.3199,28.1312,53.8852,49.5268,67.7527,69.3376,77.2619,0.0,0.0,104.9969,76.8657,125.6001,39.6215,0.0,131.9395,71.7149,50.7155,0.0,0.0,0.0,0.0,44.4886,39.9573,74.1476,30.4829,29.2471,56.0227,51.4914,70.4403,72.088,80.3266,0.0,0.0,109.1618,79.9147,130.5822,41.1931,0.0,137.1731,74.5596,52.7272,0.0,0.0,0.0,0.0,64.8307,58.2276,108.0512,44.4211,42.6202,81.6387,75.0356,102.6487,105.0498,117.0555,0.0,0.0,159.0755,116.4552,190.2903,60.0285,0.0,199.8948,108.6515,76.8364,0.0,0.0,0.0,0.0,0.0
12,41.9762,37.7009,69.9604,28.7615,27.5955,52.859,48.5836,66.4624,68.0171,75.7905,0.0,0.0,102.9973,75.4018,123.2081,38.8669,0.0,129.4268,70.3491,49.7496,0.0,0.0,0.0,0.0,44.5226,39.9879,74.2043,30.5062,29.2695,56.0655,51.5308,70.4941,72.1431,80.388,0.0,0.0,109.2452,79.9758,130.682,41.2246,0.0,137.278,74.6166,52.7675,0.0,0.0,0.0,0.0,64.3524,57.798,107.254,44.0933,42.3058,81.0364,74.482,101.8913,104.2748,116.1919,0.0,0.0,157.9018,115.596,188.8863,59.5856,0.0,198.42,107.8499,76.2695,0.0,0.0,0.0,0.0,0.0
13,41.4552,37.2329,69.092,28.4045,27.253,52.2029,47.9806,65.6374,67.1728,74.8497,0.0,0.0,101.7188,74.4659,121.6787,38.3845,0.0,127.8203,69.4759,49.1321,0.0,0.0,0.0,0.0,44.0296,39.5451,73.3827,30.1684,28.9454,55.4447,50.9602,69.7135,71.3442,79.4979,0.0,0.0,108.0356,79.0902,129.235,40.7681,0.0,135.7579,73.7903,52.1832,0.0,0.0,0.0,0.0,64.5233,57.9514,107.5388,44.2104,42.4181,81.2515,74.6797,102.1618,104.5516,116.5003,0.0,0.0,158.3209,115.9029,189.3877,59.7438,0.0,198.9467,108.1362,76.472,0.0,0.0,0.0,0.0,0.0
14,41.2147,37.0169,68.6912,28.2397,27.0949,51.9,47.7023,65.2567,66.7832,74.4155,0.0,0.0,101.1288,74.0339,120.9729,38.1618,0.0,127.0788,69.0729,48.8471,0.0,0.0,0.0,0.0,43.8596,39.3924,73.0993,30.0519,28.8336,55.2306,50.7634,69.4444,71.0688,79.1909,0.0,0.0,107.6184,78.7848,128.736,40.6107,0.0,135.2337,73.5054,51.9817,0.0,0.0,0.0,0.0,63.8228,57.3224,106.3714,43.7305,41.9576,80.3695,73.869,101.0528,103.4166,115.2357,0.0,0.0,156.6023,114.6447,187.3319,59.0952,0.0,196.7871,106.9624,75.6419,0.0,0.0,0.0,0.0,0.0
15,41.3617,37.1489,68.9362,28.3404,27.1915,52.0851,47.8723,65.4894,67.0213,74.6809,0.0,0.0,101.4894,74.2979,121.4043,38.2979,0.0,127.5319,69.3191,49.0213,0.0,0.0,0.0,0.0,44.0296,39.5451,73.3827,30.1684,28.9454,55.4447,50.9602,69.7135,71.3442,79.4979,0.0,0.0,108.0356,79.0902,129.235,40.7681,0.0,135.7579,73.7903,52.1832,0.0,0.0,0.0,0.0,62.8833,56.4785,104.8054,43.0867,41.3399,79.1863,72.7816,99.5652,101.8942,113.5392,0.0,0.0,154.2969,112.957,184.574,58.2252,0.0,193.8901,105.3877,74.5283,0.0,0.0,0.0,0.0,0.0
16,44.3543,39.8367,73.9238,30.3909,29.1588,55.8535,51.336,70.2276,71.8704,80.0841,0.0,0.0,108.8323,79.6734,130.188,41.0688,0.0,136.759,74.3345,52.568,0.0,0.0,0.0,0.0,45.2366,40.6292,75.3943,30.9954,29.7389,56.9646,52.3572,71.6246,73.3,81.6772,0.0,0.0,110.9972,81.2583,132.7777,41.8857,0.0,139.4795,75.8132,53.6137,0.0,0.0,0.0,0.0,64.1645,57.6292,106.9408,43.9646,42.1822,80.7997,74.2645,101.5938,103.9703,115.8526,0.0,0.0,157.4407,115.2585,188.3347,59.4116,0.0,197.8406,107.535,76.0468,0.0,0.0,0.0,0.0,0.0
17,48.5092,43.5684,80.8486,33.2378,31.8903,61.0856,56.1449,76.8062,78.6028,87.586,0.0,0.0,119.0271,87.1368,142.3833,44.9159,0.0,149.5699,81.2977,57.4923,0.0,0.0,0.0,0.0,53.3965,47.958,88.9942,36.5865,35.1033,67.24,61.8015,84.5445,86.5221,96.4104,0.0,0.0,131.0192,95.9159,156.7286,49.4412,0.0,164.6392,89.4886,63.2847,0.0,0.0,0.0,0.0,71.5786,64.2882,119.2977,49.0446,47.0563,90.136,82.8456,113.3328,115.9839,129.2392,0.0,0.0,175.6327,128.5764,210.0965,66.2765,0.0,220.7007,119.9605,84.8339,0.0,0.0,0.0,0.0,0.0
18,47.9748,43.0884,79.9579,32.8716,31.539,60.4127,55.5263,75.96,77.7369,86.6211,0.0,0.0,117.7159,86.1769,140.8148,44.4211,0.0,147.9222,80.4022,56.859,0.0,0.0,0.0,0.0,54.1275,48.6145,90.2125,37.0874,35.5838,68.1606,62.6476,85.7019,87.7066,97.7302,0.0,0.0,132.8128,97.229,158.8742,50.1181,0.0,166.8931,90.7137,64.1511,0.0,0.0,0.0,0.0,70.4853,63.3062,117.4755,48.2955,46.3376,88.7593,81.5802,111.6017,114.2123,127.2651,0.0,0.0,172.95,126.6125,206.8874,65.2642,0.0,217.3296,118.1281,83.5381,0.0,0.0,0.0,0.0,0.0
19,47.1865,42.3805,78.6442,32.3315,31.0208,59.4201,54.6141,74.712,76.4597,85.1979,0.0,0.0,115.7818,84.761,138.5012,43.6912,0.0,145.4918,79.0811,55.9248,0.0,0.0,0.0,0.0,53.3115,47.8816,88.8525,36.5283,35.0474,67.133,61.7031,84.4099,86.3844,96.2569,0.0,0.0,130.8106,95.7633,156.4791,49.3625,0.0,164.3771,89.3461,63.184,0.0,0.0,0.0,0.0,68.1107,61.1735,113.5179,46.6685,44.7765,85.7691,78.8319,107.842,110.3646,122.9777,0.0,0.0,167.1235,122.347,199.9176,63.0655,0.0,210.0081,114.1485,80.7238,0.0,0.0,0.0,0.0,0.0
20,45.6502,41.0006,76.0836,31.2788,30.0108,57.4854,52.8358,72.2794,73.9702,82.4239,0.0,0.0,112.012,82.0012,133.9917,42.2687,0.0,140.7547,76.5063,54.1039,0.0,0.0,0.0,0.0,51.9685,46.6754,86.6142,35.6081,34.1645,65.4418,60.1487,82.2835,84.2082,93.832,0.0,0.0,127.5153,93.3509,152.5372,48.119,0.0,160.2363,87.0954,61.5923,0.0,0.0,0.0,0.0,65.0187,58.3964,108.3644,44.5498,42.7438,81.8754,75.2531,102.9462,105.3543,117.3948,0.0,0.0,159.5365,116.7928,190.8418,60.2025,0.0,200.4742,108.9665,77.0592,0.0,0.0,0.0,0.0,0.0
21,42.3503,38.0369,70.5839,29.0178,27.8414,53.33,49.0166,67.0547,68.6232,76.4659,0.0,0.0,103.9151,76.0737,124.306,39.2133,0.0,130.5802,70.976,50.193,0.0,0.0,0.0,0.0,49.1465,44.1409,81.9109,33.6745,32.3093,61.8882,56.8826,77.8154,79.6356,88.7368,0.0,0.0,120.5911,88.2818,144.2542,45.5061,0.0,151.5352,82.366,58.2478,0.0,0.0,0.0,0.0,60.6966,54.5146,101.161,41.5884,39.9024,76.4328,70.2507,96.103,98.351,109.5911,0.0,0.0,148.9315,109.0291,178.1558,56.2006,0.0,187.1479,101.723,71.9367,0.0,0.0,0.0,0.0,0.0
22,39.0772,35.0971,65.1286,26.7751,25.6896,49.2083,45.2282,61.8722,63.3195,70.556,0.0,0.0,95.8838,70.1942,114.6988,36.1826,0.0,120.488,65.4905,46.3137,0.0,0.0,0.0,0.0,45.8826,41.2093,76.471,31.4381,30.1635,57.7781,53.1048,72.6474,74.3468,82.8435,0.0,0.0,112.5822,82.4187,134.6739,42.4839,0.0,141.4713,76.8958,54.3793,0.0,0.0,0.0,0.0,55.5204,49.8655,92.534,38.0418,36.4995,69.9146,64.2597,87.9073,89.9636,100.2452,0.0,0.0,136.2306,99.7311,162.9627,51.4078,0.0,171.1879,93.0481,65.802,0.0,0.0,0.0,0.0,0.0
23,37.5542,33.7292,62.5903,25.7316,24.6884,47.2905,43.4655,59.4608,60.8517,67.8062,0.0,0.0,92.1468,67.4584,110.2285,34.7724,0.0,115.7921,62.938,44.5087,0.0,0.0,0.0,0.0,43.1456,38.7511,71.9093,29.5627,28.3642,54.3315,49.937,68.3139,69.9119,77.9018,0.0,0.0,105.8665,77.5023,126.6403,39.9496,0.0,133.0323,72.3088,51.1355,0.0,0.0,0.0,0.0,50.1734,45.0631,83.6223,34.378,32.9843,63.1813,58.071,79.4412,81.2994,90.5908,0.0,0.0,123.1106,90.1262,147.2681,46.4568,0.0,154.7012,84.0868,59.4647,0.0,0.0,0.0,0.0,0.0
24,36.7927,33.0453,61.3211,25.2098,24.1878,46.3315,42.5841,58.2551,59.6178,66.4312,0.0,0.0,90.2783,66.0905,107.9933,34.0673,0.0,113.4441,61.6618,43.6061,0.0,0.0,0.0,0.0,41.5816,37.3465,69.3027,28.4911,27.3361,52.362,48.1269,65.8376,67.3776,75.0779,0.0,0.0,102.029,74.6929,122.0497,38.5015,0.0,128.21,69.6877,49.2819,0.0,0.0,0.0,0.0,46.8421,42.0712,78.0702,32.0955,30.7944,58.9864,54.2154,74.1667,75.9016,84.5761,0.0,0.0,114.9367,84.1424,137.4904,43.3724,0.0,144.4299,78.504,55.5166,0.0,0.0,0.0,0.0,0.0
25,36.6992,32.9613,61.1653,25.1457,24.1263,46.2138,42.4759,58.107,59.4662,66.2624,0.0,0.0,90.0489,65.9226,107.7188,33.9807,0.0,113.1557,61.5051,43.4953,0.0,0.0,0.0,0.0,41.0206,36.8426,68.3677,28.1067,26.9673,51.6556,47.4776,64.9493,66.4686,74.065,0.0,0.0,100.6524,73.6852,120.4031,37.9821,0.0,126.4802,68.7475,48.617,0.0,0.0,0.0,0.0,45.0142,40.4295,75.0237,30.8431,29.5927,56.6846,52.0998,71.2725,72.9397,81.2757,0.0,0.0,110.4516,80.8589,132.1251,41.6798,0.0,138.7939,75.4405,53.3502,0.0,0.0,0.0,0.0,0.0
26,37.0599,33.2853,61.7665,25.3929,24.3634,46.668,42.8934,58.6781,60.0507,66.9137,0.0,0.0,90.9339,66.5705,108.7776,34.3147,0.0,114.2679,62.1096,43.9228,0.0,0.0,0.0,0.0,40.7316,36.583,67.886,27.9087,26.7773,51.2917,47.1431,64.4917,66.0003,73.5432,0.0,0.0,99.9433,73.1661,119.5549,37.7145,0.0,125.5892,68.2632,48.2745,0.0,0.0,0.0,0.0,43.7159,39.2634,72.8599,29.9535,28.7392,55.0497,50.5971,69.2169,70.836,78.9315,0.0,0.0,107.2659,78.5267,128.3143,40.4777,0.0,134.7907,73.2646,51.8115,0.0,0.0,0.0,0.0,0.0
27,38.329,34.4252,63.8817,26.2625,25.1978,48.2662,44.3623,60.6877,62.1072,69.2052,0.0,0.0,94.0481,68.8503,112.5028,35.4899,0.0,118.1812,64.2366,45.427,0.0,0.0,0.0,0.0,40.8166,36.6594,68.0277,27.9669,26.8331,51.3987,47.2415,64.6263,66.138,73.6967,0.0,0.0,100.1519,73.3187,119.8043,37.7932,0.0,125.8513,68.4056,48.3753,0.0,0.0,0.0,0.0,43.1009,38.711,71.8349,29.5321,28.3349,54.2752,49.8853,68.2431,69.8394,77.8211,0.0,0.0,105.7569,77.422,126.5092,39.9083,0.0,132.8945,72.2339,51.0826,0.0,0.0,0.0,0.0,0.0
28,41.6022,37.3649,69.337,28.5052,27.3496,52.3879,48.1507,65.8701,67.4109,75.115,0.0,0.0,102.0794,74.7298,122.1101,38.5205,0.0,128.2734,69.7222,49.3063,0.0,0.0,0.0,0.0,41.5816,37.3465,69.3027,28.4911,27.3361,52.362,48.1269,65.8376,67.3776,75.0779,0.0,0.0,102.029,74.6929,122.0497,38.5015,0.0,128.21,69.6877,49.2819,0.0,0.0,0.0,0.0,43.3913,38.9718,72.3189,29.7311,28.5258,54.6409,50.2214,68.7029,70.31,78.3455,0.0,0.0,106.4695,77.9437,127.3616,40.1772,0.0,133.7899,72.7207,51.4268,0.0,0.0,0.0,0.0,0.0
29,46.2781,41.5646,77.1301,31.7091,30.4236,58.2761,53.5626,73.2736,74.9876,83.5576,0.0,0.0,113.5527,83.1291,135.8347,42.8501,0.0,142.6907,77.5586,54.8481,0.0,0.0,0.0,0.0,43.7746,39.3161,72.9577,29.9937,28.7777,55.1236,50.665,69.3098,70.9311,79.0375,0.0,0.0,107.4099,78.6321,128.4865,40.532,0.0,134.9717,73.363,51.881,0.0,0.0,0.0,0.0,45.9709,41.2887,76.6182,31.4986,30.2216,57.8893,53.2071,72.7873,74.4899,83.003,0.0,0.0,112.799,82.5773,134.9331,42.5656,0.0,141.7436,77.0438,54.484,0.0,0.0,0.0,0.0,0.0
30,48.282,43.3644,80.4701,33.0821,31.741,60.7996,55.882,76.4466,78.2348,87.1759,0.0,0.0,118.4698,86.7288,141.7167,44.7056,0.0,148.8696,80.9171,57.2232,0.0,0.0,0.0,0.0,46.8516,42.0796,78.0859,32.102,30.8006,58.9983,54.2263,74.1816,75.9169,84.5931,0.0,0.0,114.9599,84.1593,137.518,43.3811,0.0,144.459,78.5198,55.5278,0.0,0.0,0.0,0.0,51.0104,45.8149,85.0174,34.9516,33.5346,64.2354,59.0399,80.7665,82.6558,92.1022,0.0,0.0,125.1645,91.6299,149.7251,47.2319,0.0,157.2822,85.4897,60.4568,0.0,0.0,0.0,0.0,0.0
31,46.4117,41.6846,77.3528,31.8006,30.5114,58.4443,53.7172,73.4852,75.2041,83.7989,0.0,0.0,113.8805,83.3691,136.2269,42.9738,0.0,143.1027,77.7825,55.0064,0.0,0.0,0.0,0.0,46.0526,41.362,76.7543,31.5545,30.2753,57.9921,53.3016,72.9166,74.6222,83.1505,0.0,0.0,112.9994,82.7241,135.1728,42.6413,0.0,141.9954,77.1807,54.5808,0.0,0.0,0.0,0.0,54.0683,48.5614,90.1139,37.0468,35.5449,68.086,62.5791,85.6082,87.6107,97.6234,0.0,0.0,132.6677,97.1227,158.7006,50.0633,0.0,166.7107,90.6145,64.081,0.0,0.0,0.0,0.0,0.0
32,44.5146,39.9807,74.191,30.5007,29.2642,56.0554,51.5215,70.4814,72.1301,80.3736,0.0,0.0,109.2256,79.9614,130.6586,41.2172,0.0,137.2533,74.6032,52.758,0.0,0.0,0.0,0.0,45.6276,40.9803,76.046,31.2633,29.9959,57.4569,52.8097,72.2437,73.9336,82.3831,0.0,0.0,111.9566,81.9606,133.9254,42.2478,0.0,140.685,76.4684,54.0771,0.0,0.0,0.0,0.0,58.1854,52.2591,96.9756,39.8678,38.2515,73.2705,67.3442,92.1269,94.2819,105.0569,0.0,0.0,142.7697,104.5182,170.7849,53.8754,0.0,179.4049,97.5144,68.9605,0.0,0.0,0.0,0.0,0.0
33,43.5928,39.1528,72.6546,29.8691,28.6582,54.8946,50.4546,69.0219,70.6364,78.7092,0.0,0.0,106.9638,78.3055,127.9529,40.3637,0.0,134.4111,73.0583,51.6655,0.0,0.0,0.0,0.0,45.2026,40.5986,75.3376,30.9721,29.7165,56.9218,52.3178,71.5708,73.2449,81.6158,0.0,0.0,110.9137,81.1972,132.6779,41.8542,0.0,139.3746,75.7562,53.5734,0.0,0.0,0.0,0.0,61.2945,55.0516,102.1575,41.9981,40.2955,77.1857,70.9427,97.0497,99.3198,110.6707,0.0,0.0,150.3986,110.1031,179.9108,56.7542,0.0,188.9915,102.7251,72.6454,0.0,0.0,0.0,0.0,0.0
34,42.7645,38.4088,71.2741,29.3016,28.1137,53.8516,49.4959,67.7104,69.2943,77.2136,0.0,0.0,104.9313,76.8177,125.5216,39.5967,0.0,131.8571,71.6701,50.6838,0.0,0.0,0.0,0.0,44.9136,40.3391,74.856,30.7741,29.5265,56.5578,51.9833,71.1132,72.7766,81.094,0.0,0.0,110.2046,80.6781,131.8297,41.5867,0.0,138.4836,75.2718,53.2309,0.0,0.0,0.0,0.0,63.9083,57.3991,106.5138,43.789,42.0138,80.4771,73.9679,101.1881,103.555,115.3899,0.0,0.0,156.8119,114.7982,187.5826,59.1743,0.0,197.0505,107.1055,75.7431,0.0,0.0,0.0,0.0,0.0
35,42.4706,38.1449,70.7843,29.1002,27.9205,53.4814,49.1557,67.2451,68.818,76.683,0.0,0.0,104.2102,76.2897,124.659,39.3246,0.0,130.9509,71.1775,50.3355,0.0,0.0,0.0,0.0,44.6246,40.0795,74.3743,30.5761,29.3365,56.1939,51.6488,70.6556,72.3084,80.5722,0.0,0.0,109.4955,80.159,130.9814,41.3191,0.0,137.5925,74.7875,52.8884,0.0,0.0,0.0,0.0,65.702,59.0101,109.5033,45.018,43.193,82.7358,76.044,104.0282,106.4616,118.6286,0.0,0.0,161.2132,118.0202,192.8475,60.8352,0.0,202.5811,110.1117,77.869,0.0,0.0,0.0,0.0,0.0
36,42.1633,37.8689,70.2721,28.8897,27.7185,53.0945,48.8001,66.7585,68.3201,76.1282,0.0,0.0,103.4562,75.7378,123.7571,39.0401,0.0,130.0035,70.6625,49.9713,0.0,0.0,0.0,0.0,44.1146,39.6214,73.5243,30.2267,29.0013,55.5517,51.0586,69.8481,71.482,79.6513,0.0,0.0,108.2441,79.2429,129.4845,40.8468,0.0,136.02,73.9328,52.284,0.0,0.0,0.0,0.0,66.4707,59.7006,110.7846,45.5448,43.6984,83.7039,76.9337,105.2453,107.7072,120.0166,0.0,0.0,163.0995,119.4011,195.1039,61.547,0.0,204.9514,111.4,78.7801,0.0,0.0,0.0,0.0,0.0
37,41.7491,37.4969,69.5819,28.6059,27.4462,52.573,48.3208,66.1028,67.6491,75.3804,0.0,0.0,102.44,74.9938,122.5414,38.6566,0.0,128.7265,69.9685,49.4805,0.0,0.0,0.0,0.0,44.0976,39.6062,73.496,30.215,28.9901,55.5303,51.0389,69.8212,71.4544,79.6207,0.0,0.0,108.2024,79.2123,129.4346,40.8311,0.0,135.9676,73.9043,52.2638,0.0,0.0,0.0,0.0,67.6153,60.7286,112.6922,46.329,44.4508,85.1452,78.2585,107.0576,109.5618,122.0832,0.0,0.0,165.9079,121.4571,198.4635,62.6068,0.0,208.4805,113.3183,80.1367,0.0,0.0,0.0,0.0,0.0
